Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,64.70700,14.24300,50.46400,14.46000,38.47100,52.93100,-2.46700,-0.04300,-2.51000,0.05600,-2.56600,-2.56600,-2.56600,0.40600,-2.46700,81.27900,81.27900,-0.03000,-0.03000,0.75210,,77.98850,-3.81260,-3.81260,-3.87900,-3.96560,0.28580,1.82350,49.35700,-9.80100,41.00350,-1.13340,-9.80100,0.32060,0.1131,0.1057
2024-06-30,60.63700,12.54400,48.09300,12.23900,36.80700,49.04600,-0.95300,0.82300,-0.13000,0.60800,-0.73800,-0.73800,-0.73800,1.66600,-0.95300,80.57100,80.57100,-0.01000,-0.01000,0.80180,,79.31300,-1.57160,-1.57160,-0.21440,-1.21710,0.27280,1.56960,57.33780,-3.14810,-21.36660,-0.33210,-3.14810,0.28970,0.0893,0.0768
2024-03-31,58.98200,12.69600,46.28600,13.53900,35.43100,48.97000,-2.68400,0.45500,-2.22900,0.50400,-2.73300,-2.73300,-2.73300,-0.16400,-2.68400,79.36200,79.36200,-0.03000,-0.03000,0.76610,,78.47480,-4.55050,-4.55050,-3.77910,-4.63360,0.26880,1.42960,62.95360,-14.30520,130.95330,-1.24540,-14.30520,0.23790,0.12680,0.12220
2023-12-31,56.75500,11.85900,44.89600,13.70600,32.27500,45.98100,-1.08500,-2.08500,-3.17000,0.23800,-3.40800,-3.40800,-3.40800,1.48500,-1.08500,77.75300,77.75300,-0.05000,-0.05000,0.79480,1.60800,79.10490,-1.91170,-1.91170,-5.58540,-6.00480,0.23750,1.18560,75.90890,-21.92060,161.89990,-1.42590,-21.92060,0.19770,0.0476,0.0553
2023-09-30,54.83300,10.58000,44.25300,14.19900,34.93900,49.13800,-4.88500,1.06100,-3.82400,1.01400,-4.83800,-4.83800,-4.83800,-2.30900,-4.88500,78.12200,78.12200,-0.06000,-0.06000,0.75110,2.05220,80.70510,-8.90890,-8.90890,-6.97390,-8.82320,0.25100,1.57930,56.98760,-39.71440,72.85060,-2.21490,-39.71430,0.15560,-0.0612,-0.0628
2023-06-30,53.68100,12.57500,41.10600,13.90200,36.96100,50.86300,-9.75700,0.61000,-9.14700,0.14600,-9.29300,-9.29300,-9.29300,-7.18500,-9.75700,77.57900,77.57900,-0.12000,-0.12000,0.74380,2.04000,76.57460,-18.17590,-18.17590,-17.03960,-17.31150,0.23750,1.65130,54.50200,-75.83030,119.60110,-4.11180,-75.83030,0.15720,-0.0297,-0.0355
2023-03-31,52.75000,12.07600,40.67400,14.35100,39.40300,53.75400,-13.08000,1.35500,-11.72500,0.10900,-11.83400,-11.83400,-11.83400,-10.54000,-13.08000,76.86200,76.86200,-0.15000,-0.15000,0.75870,1.59670,77.10710,-24.79620,-24.79620,-22.22750,-22.43410,0.22290,1.40680,63.97590,-75.58280,212.46010,-5.00000,-75.58280,0.20270,0.00420,-0.01610
2022-12-31,51.34600,12.42600,38.92000,13.97700,39.53700,53.51400,-14.59400,-0.08500,-14.67900,0.31900,-14.99800,-14.99800,-14.99800,-12.12200,-14.59400,75.71700,75.71700,-0.19000,-0.19000,0.78580,1.13890,75.79950,-28.42290,-28.42290,-28.58840,-29.20970,0.20870,1.34620,66.85410,-68.32490,3144.26500,-6.09560,-68.32490,0.28720,-0.1635,-0.1573
2022-09-30,50.02200,13.74900,36.27300,15.15600,41.73200,56.88800,-20.61500,-0.62700,-21.24200,-0.24900,-20.99300,-20.99300,-20.99300,-18.26100,-20.61500,75.97540,75.97540,-0.28000,-0.28000,0.82190,0.78900,72.51410,-41.21190,-41.21190,-42.46530,-41.96750,0.19880,1.99690,45.07020,-66.25530,-267.39220,-8.34480,-66.25530,0.41680,-0.2845,-0.3864
2022-06-30,47.58600,14.00400,33.58200,16.05800,43.99000,60.04800,-26.46600,4.60100,-21.86500,0.19600,-22.06100,-22.06100,-22.06100,-23.75700,-26.46600,75.66100,75.66100,-0.29000,-0.29000,0.90600,,70.57120,-55.61720,-55.61720,-45.94840,-46.36030,0.18330,1.76800,50.90470,-46.46670,-99.61170,-8.49880,-46.46670,0.62530,-0.1726,-0.3813
