Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6.84500,6.84500,13.51500,4.28600,-10.95600,1.34300,-9.61300,,-9.61300,-9.61300,-9.61300,-11.76400,-10.95600,6.35100,6.35100,-1.51000,-1.51000,2.35890,,,100.00000,-160.05850,-160.05850,-140.43830,-140.43830,0.06830,,,-36.96890,-36.96880,-9.58790,-36.96880,4.09240,-1.6996,-1.6991
2024-06-30,8.53300,8.53300,16.25900,4.47700,-12.20300,1.45700,-10.74600,0.40600,-11.15200,-11.15200,-11.15200,-13.13100,-12.20300,5.64300,5.64300,-1.98000,-1.98000,2.73610,,,100.00000,-143.00950,-143.00950,-125.93460,-130.69260,0.07400,,,-32.15500,-32.15500,-9.67020,-32.15500,5.46520,-2.9357,-2.9381
2024-03-31,5.78500,5.78500,11.87900,4.63500,-10.72900,1.65200,-9.07700,,-9.07700,-9.07700,-9.07700,-11.96100,-10.72900,5.48300,5.48300,-1.66000,-1.66000,3.02350,,,100.00000,-185.46240,-185.46240,-156.90580,-156.90580,0.04830,134.53490,0.66900,-27.84270,-27.84270,-7.57150,-27.84270,5.94580,-3.34930,-3.35180
2023-12-31,,,11.00600,8.70800,-19.71400,1.62200,-10.92900,,-10.96200,-10.96200,-10.96200,-20.68100,-12.55100,4.57700,4.57700,-1.75000,-1.75000,3.41080,,,,,,,,,,,-26.67350,-26.67350,-8.01180,-26.67350,7.49530,16.5909,16.5824
2023-09-30,,,10.82400,4.22400,-15.04800,0.62800,-14.42000,,-14.42000,-14.42000,-14.42000,-15.24500,-15.04800,4.38000,4.38000,-3.29000,-3.29000,6.96470,,,,,,,,,,,-34.56880,-34.56870,-27.93000,-34.56870,9.51780,-3.1131,-3.144
2023-06-30,,,12.52300,4.96500,-17.48800,0.59200,-16.89600,,-16.89600,-16.89600,-16.89600,-17.53100,-17.48800,4.35500,4.35500,-3.88000,-3.88000,7.25640,,,,,,,,,,,-30.74850,-30.74850,-25.37810,-30.74850,12.57650,-2.9976,-3.0087
2023-03-31,,,14.54700,5.01200,-19.55900,0.60900,-18.95000,,-18.95000,-18.95000,-18.95000,-19.48700,-19.55900,4.25100,4.25100,-4.46000,-4.46000,7.99840,,,,,,,,,,,-26.94330,-26.94330,-22.79950,-26.94330,16.23250,-5.51120,-5.51120
2022-12-31,,,16.85300,6.12500,-22.97800,0.58300,-22.39500,,-22.39500,-22.39500,-22.39500,-22.93300,-22.97800,4.03400,4.03400,-5.43290,-5.43290,5.95040,,,,,,,,,,,-27.09160,-27.09160,-22.00030,-27.09160,20.28560,-4.7798,-4.7799
2022-09-30,,,18.13000,5.27100,-23.40100,0.25600,-23.14500,,-23.14500,-23.14500,-23.14500,-23.24700,-23.40100,4.03570,4.03570,-5.76230,-5.76230,7.44310,,,,,,,,,,,-22.60170,-22.60170,-19.04690,-22.60170,25.35710,-4.8756,-4.9008
2022-06-30,,,17.79200,6.78100,-24.57300,0.11200,-24.46100,,-24.46100,-24.46100,-24.46100,-24.38800,-24.57300,4.02280,4.02280,-6.12240,-6.12240,8.30790,,,,,,,,,,,-19.72980,-19.72980,-17.05230,-19.72980,30.77470,-4.4219,-4.4219
