Date,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.09900,-1.09900,0.72000,,0.73400,-1.83300,0.19500,-1.63800,,-1.63800,-1.63800,-1.63800,-1.81900,-1.83300,122.34200,122.34200,-0.01000,-0.01000,17.75900,,,-8.62010,-8.62010,-8.14840,-8.62010,0.15470,-0.0088,-0.0102
2024-06-30,0.64500,-0.64500,0.76300,16.90900,-16.13200,15.48700,0.14600,15.63300,,15.63300,15.63300,15.63300,15.50100,15.48700,121.92200,125.42200,0.13000,0.12000,25.60270,,,77.62160,77.62160,74.54580,77.62170,0.16470,-0.0106,-0.011
2024-03-31,0.76500,-0.76500,1.24300,,1.25500,-2.02000,0.94700,-1.07300,,-1.07300,-1.07300,-1.07300,-2.00800,-2.02000,121.21800,121.21800,-0.01000,-0.01000,10.58900,,,-25.93670,-25.93670,-6.99930,-25.93670,0.03400,-0.01170,-0.00470
2023-12-31,0.92800,-0.92800,0.75000,,0.76000,-1.68800,0.03100,-1.65700,,-1.65700,-1.65700,-1.65700,-1.67800,-1.68800,120.47100,120.47100,-0.01000,-0.01000,6.93820,,,-33.46810,-33.46800,-18.54710,-33.46800,0.04090,-0.0149,-0.015
2023-09-30,0.84800,-0.84800,0.66600,,0.67600,-1.52400,0.07000,-1.45400,,-1.45400,-1.45400,-1.45400,-1.51400,-1.52400,121.08800,121.08800,-0.01000,-0.01000,5.43540,,,-22.36920,-22.36920,-19.43070,-22.36920,0.05370,-0.009,-0.0093
2023-06-30,0.68200,-0.68200,0.87800,,0.88800,-1.57000,0.06700,-1.50300,,-1.50300,-1.50300,-1.50300,-1.56000,-1.57000,120.63800,120.63800,-0.01000,-0.01000,8.34830,,,-19.13920,-19.13920,-17.38180,-19.13920,0.06490,-0.0099,-0.0099
2023-03-31,0.80400,-0.80400,1.16800,,1.17800,-1.98200,0.01100,-1.97100,,-1.97100,-1.97100,-1.97100,-1.97200,-1.98200,119.04100,119.04100,-0.02000,-0.02000,8.45170,,,-23.05800,-23.05800,-20.92360,-23.05800,0.07140,-0.01490,-0.01490
2022-12-31,0.83300,-0.83300,0.71100,,3.60500,-4.43800,2.94300,-1.49500,,-1.49500,-1.49500,-1.49500,-4.42700,-4.43800,118.00500,118.00500,-0.01000,-0.01000,9.26800,,,-14.90680,-14.90680,-13.60820,-14.90680,0.08460,-0.0141,-0.0142
2022-09-30,0.91600,-0.91600,0.77900,,0.78900,-1.70500,0.01300,-1.69200,,-1.69200,-1.69200,-1.69200,-1.69500,-1.70500,118.12800,118.12800,-0.02000,-0.02000,10.96530,,,-15.08020,-15.08020,-13.93510,-15.08020,0.09500,-0.0127,-0.0126
2022-06-30,0.98400,-0.98400,0.87600,,0.88600,-1.87000,0.44600,-1.42400,,-1.42400,-1.42400,-1.42400,-1.86000,-1.87000,118.08100,118.08100,-0.01000,-0.01000,11.19980,,,-11.12330,-11.12330,-10.27790,-11.12330,0.10840,-0.0151,-0.0152
2022-03-31,1.78900,-1.78900,1.40100,2.88300,-1.46800,-0.32100,0.00100,-0.32000,,-0.32000,-0.32000,-0.32000,-0.30700,-0.32100,117.44400,117.44400,0.00000,0.00000,8.76780,,,-2.27100,-2.27100,-2.01280,-2.27100,0.11940,-0.02090,-0.02090
2021-12-31,1.93600,-1.93600,0.88100,,6.39400,-8.33000,0.01400,-8.31600,,-8.31600,-8.31600,-8.31600,-8.31700,-8.33000,110.26300,110.26300,-0.08000,-0.08000,7.80310,,,-58.17820,-58.17830,-50.88420,-58.17830,0.12200,-0.0319,-0.0323
2021-09-30,2.26900,-2.26900,0.81800,,0.83100,-3.10000,0.03100,-3.06900,,-3.06900,-3.06900,-3.06900,-3.08700,-3.10000,115.58600,115.58600,-0.02000,-0.02000,8.52150,,,-13.67040,-13.67040,-12.43010,-13.67040,0.19160,-0.0186,-0.019
2021-06-30,1.98600,-1.98600,0.93100,,0.94300,-2.92900,2.17600,-0.75300,,-0.75300,-0.75300,-0.75300,-2.91700,-2.92900,104.56500,104.56500,-0.01000,-0.01000,4.27210,,,-5.76660,-5.76660,-5.02300,-5.76660,0.12450,-0.0214,-0.0219
2021-03-31,1.75100,-1.75100,1.31500,,1.32600,-3.07700,-0.02200,-3.09900,,-3.09900,-3.09900,-3.09900,-3.06600,-3.07700,103.51200,103.51200,-0.03000,-0.03000,3.66740,,,-23.10450,-23.10450,-19.51630,-23.10450,0.12900,-0.02440,-0.02440
2020-12-31,1.60300,-1.60300,0.63300,,6.75500,-8.35800,6.15600,-2.20200,,-2.20200,-2.20200,-2.20200,-8.34400,-8.35800,101.81400,101.81400,-0.03000,-0.04000,8.35440,,,-13.89190,-13.89190,-12.78000,-13.89190,0.15360,-0.0238,-0.0245
2020-09-30,1.03400,-1.03400,0.89100,3.54000,-2.63800,1.60400,2.61600,4.22000,,4.22000,4.22000,4.22000,1.61500,1.60400,102.36800,105.50400,0.05000,0.05000,13.74680,0.00020,0.00020,24.28920,24.28920,22.94600,24.28500,0.16920,-0.0131,-0.0131
2020-06-30,0.96000,-0.96000,0.87700,2.56800,-1.68000,0.72000,1.18200,1.90200,,1.90200,1.90200,1.90200,0.73100,0.72000,101.37200,103.86300,0.01000,0.02000,2.32260,0.00040,0.00040,15.35480,15.35480,11.67160,15.34860,0.12130,-0.0141,-0.0141
2020-03-31,0.94800,-0.94800,1.37600,,1.38800,-2.33600,-1.16400,-3.50000,,-3.50000,-3.50000,-3.50000,-2.32400,-2.33600,100.69800,100.69800,-0.03000,-0.03000,6.55530,0.00060,0.00060,-36.70310,-36.70300,-25.68240,-36.67990,0.09470,-0.01730,-0.01730
2019-12-31,0.79900,-0.79900,0.86100,,0.87300,-1.67200,0.48000,-1.19200,,-1.19200,-1.19200,-1.19200,-1.66000,-1.67200,100.53300,100.53300,-0.01000,-0.01000,8.24860,0.00060,0.00060,-9.42590,-9.42590,-7.14460,-9.41990,0.12560,-0.0186,-0.0186
2019-09-30,1.40100,-1.40100,0.86500,,0.87900,-2.28000,-0.21800,-2.49800,,-2.49800,-2.49800,-2.49800,-2.26600,-2.28000,100.60700,100.60700,-0.02000,-0.02000,7.92290,0.00120,0.00120,-18.28030,-18.28030,-15.50590,-18.25890,0.13580,-0.0179,-0.0179
2019-06-30,0.94700,-0.94700,1.06700,,1.08100,-2.02800,-1.01600,-3.04400,,-3.04400,-3.04400,-3.04400,-2.01400,-2.02800,100.53800,100.53800,-0.03000,-0.03000,12.40330,0.00250,0.00250,-18.97170,-18.97160,-16.62030,-18.92450,0.15960,-0.0162,-0.0162
2019-03-31,0.94600,-0.94600,1.14700,,1.15900,-2.10500,-0.54700,-2.65200,,-2.65200,-2.65200,-2.65200,-2.09300,-2.10500,100.32400,100.32400,-0.03000,-0.03000,11.59370,0.00340,0.00340,-14.20230,-14.20230,-13.43130,-14.15460,0.18570,-0.01750,-0.01790
2018-12-31,1.24300,-1.24300,0.79200,,2.52300,-3.76600,-0.01500,-3.78100,,-3.78100,-3.78100,-3.78100,-3.03500,-3.76600,99.73800,99.73800,-0.04000,-0.04000,16.13530,,,-17.78960,-17.78960,-17.08850,-17.78960,0.21200,-0.0223,-0.022
2018-09-30,0.96000,-0.96000,0.96900,,0.98100,-1.94100,-0.12100,-2.06200,,-2.06200,-2.06200,-2.06200,-1.92900,-1.94100,99.80500,99.80500,-0.02000,-0.02000,16.72160,,,-8.30550,-8.30550,-7.99880,-8.30550,0.24800,-0.0134,-0.0139
2018-06-30,1.05500,-1.05500,0.88800,,0.90000,-1.95500,0.03200,-1.92300,,-1.92300,-1.92300,-1.92300,-1.94300,-1.95500,99.54800,99.54800,-0.02000,-0.02000,23.61950,,,-7.18260,-7.18260,-6.98710,-7.18260,0.26890,-0.018,-0.0184
2018-03-31,1.54500,-1.54500,1.42300,,1.65100,-3.19600,2.24800,-0.94800,,-0.94800,-0.94800,-0.94800,-2.96800,-3.19600,99.44580,99.44580,-0.01000,-0.01000,18.00370,,,-3.33400,-3.33400,-3.21030,-3.33400,0.28570,-0.03220,-0.03220
2017-12-31,2.23600,-2.23600,0.90800,,1.10800,-3.34400,-0.50700,-3.85100,,-3.85100,-3.85100,-3.85100,-3.14400,-3.34400,98.62700,98.62700,-0.03320,-0.03000,10.26000,,,-13.24140,-13.24140,-12.36630,-13.24140,0.29260,-0.0279,-0.0279
2017-09-30,1.63500,-1.63500,0.82300,,0.96000,-2.59500,-0.06000,-2.65500,,-2.65500,-2.65500,-2.65500,-2.45800,-2.59500,98.99300,98.99300,-0.02680,-0.03000,15.44830,,,-8.11010,-8.11010,-7.76360,-8.11010,0.32930,-0.0202,-0.0202
2017-06-30,1.30800,-1.30800,0.77500,,0.92400,-2.23200,-0.45000,-2.68200,,-2.68200,-2.68200,-2.68200,-2.08300,-2.23200,98.19630,98.19630,-0.03000,-0.03000,18.48300,,,-7.57580,-7.57580,-7.29720,-7.57580,0.36050,-0.0167,-0.0167
2017-03-31,1.75200,-1.75200,1.02100,0.35800,0.83200,-2.58400,-0.26300,-2.84700,,-2.84700,-2.84700,-2.84700,-2.41500,-2.58400,97.89470,97.89470,-0.03000,-0.03000,23.51430,,,-7.50830,-7.50830,-7.28640,-7.50830,0.38610,-0.02440,-0.02440
2016-12-31,1.32400,-1.32400,0.62500,,0.81200,-2.13600,0.16300,-1.97300,,-1.97300,-1.97300,-1.97300,-1.94900,-2.13600,89.06430,89.06430,-0.03000,-0.03000,27.25850,,,-4.86860,-4.86860,-4.74190,-4.86860,0.41440,-0.0118,-0.0119
2016-09-30,1.16800,-1.16800,0.58100,,0.72500,-1.89300,-0.19000,-2.08300,,-2.08300,-2.08300,-2.08300,-1.74900,-1.89300,92.54320,92.54320,-0.02000,-0.02000,50.87730,,,-4.91850,-4.91850,-4.84950,-4.91850,0.43310,-0.0123,-0.0124
2016-06-30,0.82400,-0.82400,0.65000,,0.78400,-1.60800,3.24500,1.63700,,1.63700,1.63700,1.63700,-1.47400,-1.60800,82.90410,83.99070,0.02000,0.02000,31.05090,,,5.77220,5.77220,5.66610,5.77220,0.34210,-0.0192,-0.0194
2016-03-31,0.98700,-0.98700,1.08800,0.15000,1.09100,-2.07800,1.36400,-0.71400,,-0.71400,-0.71400,-0.71400,-1.92500,-2.07800,82.88900,82.88900,-0.01000,-0.01000,17.68300,,,-2.69330,-2.69330,-2.61070,-2.69330,0.31980,-0.01310,-0.01310
2015-12-31,1.00000,-1.00000,1.21400,-1.14400,2.52100,-3.52100,0.21000,-3.31100,,-3.31100,-3.31100,-2.16700,-3.35800,-3.52100,82.57100,83.75500,-0.03000,-0.03000,18.93150,,,-12.23350,-12.23350,-11.88100,-12.23350,0.32660,-0.0214,-0.0228
2015-09-30,1.30600,-1.30600,0.83200,0.57200,0.42300,-1.72900,3.40900,1.68000,,1.68000,1.68000,0.53600,-1.56600,-1.72900,82.61880,82.79010,0.01000,0.01000,15.38590,,,5.77320,5.77320,5.56130,5.77320,0.35110,0.0258,0.0257
2015-06-30,0.98400,-0.98400,0.79800,,0.97500,-1.95900,5.54800,3.58900,,3.58900,3.58900,3.58900,-1.78200,-1.95900,82.39000,82.39000,0.04000,0.04000,12.04910,,,12.65290,12.65290,12.08010,12.65290,0.34430,0.048,0.0479
2015-03-31,0.97500,-0.97500,1.04400,1.95800,-0.72300,-0.25200,-0.69500,-0.94700,,-0.94700,-0.94700,-0.94700,-0.06100,-0.25200,82.39000,82.39000,-0.01000,-0.01000,6.73370,,,-3.85900,-3.85900,-3.58430,-3.85900,0.29790,-0.01650,-0.01650
2014-12-31,0.81500,-0.81500,1.30100,,7.06700,-7.88200,-2.07700,-9.95900,,-9.95900,-9.95900,-9.95900,-7.67900,-7.88200,82.29400,82.29400,-0.12000,-0.12000,13.73880,,,-39.39010,-39.39010,-38.14250,-39.39010,0.30690,-0.0188,-0.0188
2014-09-30,0.75500,-0.75500,0.13400,,0.35300,-1.10800,-3.80000,-4.90800,,-4.90800,-4.90800,-4.90800,-0.88900,-1.10800,82.27500,82.27500,-0.06000,-0.06000,4.10540,,,-14.33620,-14.33620,-12.98280,-14.33620,0.41610,-0.0158,-0.0159
2014-06-30,1.00300,-1.00300,1.08800,,1.31200,-2.31500,-0.60400,-2.91900,,-2.91900,-2.91900,-2.91900,-2.09100,-2.31500,82.27500,82.27500,-0.04000,-0.04000,3.94030,,,-7.34080,-7.34080,-6.54410,-7.34080,0.48330,-0.0236,-0.0236
2014-03-31,1.41800,-1.41800,1.27500,,1.49200,-2.91000,1.77000,-1.14000,,-1.14000,-1.14000,-1.14000,-2.69300,-2.91000,82.27500,82.27500,-0.01000,-0.01000,4.02510,,,-2.69250,-2.69250,-2.38950,-2.69250,0.51460,-0.02760,-0.02760
2013-12-31,0.38000,-0.38000,1.33300,,1.56200,-1.94200,-6.09800,-8.04000,0.00200,-8.04200,-8.04200,-8.04000,-1.71300,-1.94200,81.81300,81.81300,-0.09000,-0.09000,8.05560,0.13140,0.15130,-18.69670,-18.69670,-15.14670,-16.24020,0.52280,-0.037,0.0497
2013-09-30,2.21300,-2.21300,1.06000,,1.31000,-3.52300,0.49700,-3.02600,-0.00100,-3.02500,-3.02500,-3.02700,-3.27300,-3.52300,81.78900,81.78900,-0.04000,-0.04000,1.59790,,0.19000,-5.92600,-5.92600,-4.17960,-5.92600,0.62410,-0.0608,-0.0618
2013-06-30,5.87700,-5.87700,1.22500,,1.49200,-7.36900,-18.05700,-25.42600,-4.41100,-21.01500,-21.01500,-21.01500,-7.10200,-7.36900,81.74500,81.74500,-0.26000,-0.26000,1.61320,,0.17740,-39.23630,-39.23640,-27.94100,-39.23640,0.65490,-0.0848,-0.0868
2013-03-31,7.13000,-7.13000,1.91000,,2.18500,-9.31500,-29.05400,-38.36900,-10.96300,-27.40600,-27.40600,-27.40600,-9.04000,-9.31500,81.59700,81.59700,-0.34000,-0.34000,2.08750,,0.13040,-36.61360,-36.61360,-26.19500,-36.61360,0.91590,-0.11700,-0.14200
2012-12-31,8.77700,-8.77700,2.28000,1.76800,0.71100,-9.48800,-45.57800,-55.06600,-13.87100,-41.19500,-41.19500,-41.19500,-9.29000,-9.48800,74.35100,74.35100,-0.53000,-0.53000,2.94110,,,-40.64910,-40.64910,-30.95860,-40.64910,1.24250,-0.1033,-0.0459
2012-09-30,6.29400,-6.29400,1.73900,1.00000,0.87100,-7.16500,29.35900,22.19400,9.92500,12.26900,12.26900,12.26900,-7.03200,-7.16500,75.85900,76.72500,0.16000,0.16000,66.49410,,,9.36610,9.36610,7.53890,9.36610,1.69400,-0.0915,-0.0945
2012-06-30,6.75800,-6.75800,2.00300,-0.06000,2.19500,-8.95300,-34.76100,-43.71400,-13.21000,-30.50400,-30.50400,-30.50400,-8.82100,-8.95300,72.11300,72.11300,-0.42000,-0.42000,3.37450,,,-29.58850,-29.58850,-24.20030,-29.58850,1.42780,-0.1123,-0.1646
2012-03-31,5.70700,-5.70700,2.07400,-0.02400,2.22400,-7.93100,-6.28600,-14.21700,-2.99100,-11.22600,-11.22600,-11.22600,-7.80500,-7.93100,71.54800,71.54800,-0.16000,-0.16000,5.62190,,,-8.52660,-8.52660,-6.68710,-8.52660,1.83550,-0.09850,-0.05440
2011-12-31,8.16800,-8.16800,2.30700,77.79100,-75.31100,67.14300,-68.24100,-1.09800,1.97600,-3.07400,-3.07400,-3.07400,67.31600,67.14300,68.45800,69.29600,-0.03000,-0.04000,6.25810,,,-2.17670,-2.17670,-1.70210,-2.17670,1.97500,-0.1322,-0.1429
2011-09-30,5.80300,-5.80300,1.31200,0.01200,1.38700,-7.19000,27.88000,20.69000,9.95700,10.73300,10.73300,10.73300,-7.10300,-7.19000,71.21400,72.78200,0.15000,0.15000,11.94030,,,7.48850,7.48850,5.98600,7.48850,2.00640,-0.0847,-0.0943
2011-06-30,4.85400,-4.85400,1.65800,,1.73900,-6.59300,77.94600,71.35300,23.58900,47.76400,47.76400,47.76400,-6.51200,-6.59300,69.08900,69.53600,0.69000,0.69000,19.45300,,,36.16270,36.16270,30.33060,36.16270,1.85680,-0.0715,-0.0723
2011-03-31,2.94900,-2.94900,1.09800,,1.17700,-4.12600,0.24900,-3.87700,,-3.87700,-3.87700,-3.87700,-4.04700,-4.12600,61.92100,61.92100,-0.06000,-0.06000,11.73460,,,-7.10360,-7.10360,-6.93830,-7.10360,0.88070,-0.07220,-0.07340
2010-12-31,3.58800,-3.58800,1.37900,,2.98600,-6.57400,1.46500,-5.10900,,-5.10900,-5.10900,-5.10900,-6.48800,-6.57400,47.33600,47.33600,-0.09000,-0.09000,1.73060,,0.39420,-8.75700,-8.75700,-6.15750,-8.75700,0.94220,-0.0722,-0.1219
2010-09-30,3.32400,-3.32400,0.83700,,0.90700,-4.23100,0.08600,-4.14500,,-4.14500,-4.14500,-4.14500,-4.16100,-4.23100,46.05870,46.58700,-0.09000,-0.09000,0.63720,,0.33510,-6.36140,-6.36140,-4.64810,-6.36140,1.39870,-0.0801,-0.0803
2010-06-30,4.11700,-4.11700,1.07600,,1.13600,-5.25300,-2.02500,-7.27800,,-7.27800,-7.27800,-7.27800,-5.25800,-5.25300,46.40500,46.40500,-0.16000,-0.16000,0.83580,,0.31960,-10.98550,-10.98550,-8.20290,-10.98550,1.42220,-0.1279,-0.1301
2010-03-31,2.41800,-2.41800,0.99100,,1.06300,-3.48100,-0.00700,-3.48800,,-3.48800,-3.48800,-3.48800,-3.34400,-3.48100,44.67900,44.67900,-0.08000,-0.08000,0.99140,,0.39630,-5.38800,-5.38800,-3.78770,-5.38800,1.44890,-0.08090,-0.08360
2009-12-31,5.87000,-5.87000,1.28900,,1.37100,-7.24100,0.23900,-7.00200,,-6.24500,-6.24500,-6.24500,-7.15900,-7.24100,37.26800,37.26800,-0.17000,-0.17000,32.73970,0.27280,0.37510,-9.39380,-9.39380,-6.74600,-6.83120,1.48790,-0.1459,-0.1141
2009-09-30,0.41200,-0.41200,1.32000,,1.38600,-1.79800,0.05700,-1.74100,-0.02400,-1.71700,-1.71700,-1.71700,-1.73200,-1.79800,35.40800,35.40800,-0.05000,-0.05000,23.13180,0.26200,0.35490,-2.51450,-2.51450,-1.82140,-1.85580,1.53110,-0.024,-0.0641
2009-06-30,0.26800,-0.26800,0.97400,,1.03600,-1.30400,6.18300,4.87900,0.98900,3.89000,3.89000,3.89000,-1.24200,-1.30400,34.47600,34.47600,0.11000,0.11000,34.34050,0.33470,0.50310,7.91790,7.91790,5.21520,5.26760,1.42500,-0.0882,-0.1072
2009-03-31,0.33300,-0.33300,1.01200,,1.06400,-1.39700,-0.69100,-2.08800,-0.20800,-1.88000,-1.88000,-1.88000,-1.34500,-1.39700,34.47600,34.47600,-0.05000,-0.05000,13.25250,0.32220,0.47530,-3.70820,-3.70820,-2.45420,-2.51350,1.47050,-0.03430,-0.06680
