Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-07-31,18.81320,14.88710,3.92610,3.20620,3.20620,0.71990,0.16620,0.88600,0.25920,0.62680,0.62680,0.62680,0.95140,0.71990,5.70860,5.70860,0.11000,0.11000,3.65330,0.00010,0.07710,20.86870,3.82640,3.82640,4.70970,3.33170,0.56920,1.02630,2.15920,41.68270,2.54060,2.59200,1.89640,2.54030,4.32170,0.3185,0.3104
2024-04-30,18.99590,15.29190,3.70400,3.77060,3.77070,-0.06670,-0.03280,-0.09950,-0.07760,-0.02180,-0.02180,-0.02180,0.12670,-0.06670,5.70860,5.70860,-0.00380,-0.00380,3.27080,0.00020,0.12490,19.49880,-0.35090,-0.35090,-0.52370,-0.11500,0.54390,0.98580,2.28550,39.37880,-0.09080,-0.09280,-0.06250,-0.09080,4.21190,-0.2109,-0.2502
2024-01-31,19.54040,16.06010,3.48030,2.86340,2.86340,0.61690,-0.12360,0.49340,0.14230,0.35100,0.35100,0.35100,0.85370,0.61690,5.70860,5.70860,0.06000,0.06000,2.75900,0.00010,0.19560,17.81080,3.15710,3.15710,2.52480,1.79640,0.52000,0.94400,2.07380,43.39880,1.45860,1.48980,0.93410,1.45850,4.21580,0.80490,0.80490
2023-10-31,18.76220,15.40450,3.35780,3.10070,3.10070,0.25700,-0.00150,0.25550,0.08730,0.16820,0.16820,0.16820,0.49550,0.25700,5.70860,5.70860,0.02000,0.02000,2.20950,0.00010,0.40600,17.89650,1.36990,1.36990,1.36190,0.89670,0.44470,0.81130,1.63450,55.06230,0.70950,0.72510,0.39880,0.70940,4.15430,-0.0258,-0.0496
2023-07-31,15.76440,13.31560,2.44880,2.85200,2.85200,-0.40320,0.25110,-0.15210,-0.04030,-0.11190,-0.11190,-0.11190,-0.16950,-0.40320,5.70860,5.70860,-0.02000,-0.02000,2.24990,0.00020,0.38340,15.53350,-2.55800,-2.55800,-0.96500,-0.70970,0.40100,0.77690,2.23940,40.18910,-0.47510,-0.48590,-0.28460,-0.47510,4.12480,-0.0762,-0.0959
2023-04-30,15.32070,12.48850,2.83220,3.21660,3.21670,-0.38450,-0.12340,-0.50780,-0.14800,-0.35980,-0.35980,-0.35980,-0.16090,-0.38450,5.70860,5.70860,-0.06000,-0.06000,9.32890,0.24130,0.31830,18.48600,-2.50940,-2.50940,-3.31470,-2.34870,0.41040,0.78920,2.07660,43.33910,-1.52100,-1.55560,-0.96400,-1.15390,4.14440,-0.2749,-0.3462
2023-01-31,18.32610,16.00580,2.32030,3.12130,3.12130,-0.80100,0.10170,-0.69940,-0.16730,-0.53210,-0.53210,-0.53210,-0.58120,-0.80100,5.70860,5.70860,-0.09000,-0.09000,5.74830,0.25770,0.34730,12.66120,-4.37090,-4.37090,-3.81620,-2.90350,0.44860,0.95860,2.41110,37.32730,-2.21540,-2.26580,-1.30270,-1.64460,4.20740,0.49110,0.45570
2022-10-31,15.49060,13.88660,1.60400,3.59010,6.35960,-4.75570,-0.07630,-4.83190,-0.79420,-4.03780,-4.03780,-3.78990,-4.17670,-4.75570,5.70860,5.70860,-0.67000,-0.67000,4.92300,0.25320,0.33920,10.35470,-30.70030,-30.70030,-31.19280,-24.46610,0.36280,0.72130,1.79390,50.17140,-16.44670,-16.81820,-9.45780,-12.28270,4.30060,-0.4585,-0.4063
2022-07-31,17.01330,13.86770,3.14560,2.90610,2.90610,0.23950,-0.06050,0.17900,0.04660,0.13240,0.13240,0.13240,0.45860,0.23950,5.70860,5.70860,0.02000,0.02000,5.51180,0.17640,0.21430,18.48890,1.40760,1.40760,1.05230,0.77810,0.38880,0.72080,2.13930,42.07010,0.46300,0.52380,0.30250,0.38130,5.00880,-0.2318,-0.3169
2022-04-30,16.49820,14.50540,1.99280,3.36620,3.36620,-1.37350,-0.05120,-1.42470,-0.38570,-1.03900,-1.03900,-0.36810,-1.17140,-1.37350,5.70860,5.70860,-0.06000,-0.06000,3.09350,0.00040,0.20810,12.07860,-8.32500,-8.32500,-8.63530,-2.23110,0.40350,0.90810,2.17160,41.44390,-3.65600,-4.14060,-2.54120,-3.65460,4.97820,-0.0461,-0.191
