Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,91.16500,13.57000,77.59500,17.39200,-11.54600,42.50300,35.09200,-0.73800,34.35400,2.29700,32.05700,32.05700,4.26400,49.26800,46.37700,20.24800,20.24800,0.21000,0.21000,1.52830,1.47770,85.11490,38.49280,50.87150,37.68330,4.67720,0.14720,0.19540,460.61460,14.55110,14.55110,5.17660,14.55110,2.55950,3.6129,3.4279
2024-06-30,86.28100,12.80800,73.47300,20.08600,-10.44600,43.98600,29.48700,-0.89700,28.59000,0.91400,27.67600,27.67600,3.06600,43.53900,40.45100,19.67590,19.67590,0.16000,0.16000,1.56780,1.49620,85.15550,34.17550,46.88290,33.13590,3.55350,0.15060,0.19950,451.12240,13.72210,13.72210,4.82920,13.72210,1.81890,6.8486,6.6333
2024-03-31,63.21400,9.51200,53.70200,19.77800,-14.48500,48.41800,5.28400,5.25100,10.53500,0.40400,10.13100,10.13100,5.53700,19.98900,16.71400,19.20540,86.24350,0.29000,0.10000,1.55660,1.52580,84.95270,8.35890,26.44040,16.66560,8.75910,0.11220,0.15270,589.21570,5.13500,5.13500,1.79880,5.13500,1.77870,0.86300,0.83830
2023-12-31,65.75100,12.55900,53.19200,18.71800,-10.78500,44.48200,8.71000,-5.73500,2.97500,1.03400,1.94100,1.94100,-5.56700,24.24500,20.78100,16.39120,16.39120,-0.35000,-0.35000,1.50630,1.72200,80.89920,13.24700,31.60560,4.52460,-8.46680,0.10930,0.14130,636.94930,1.00040,1.00040,0.32270,1.00040,1.75200,5.5461,5.4014
2023-09-30,75.66800,14.07500,61.59300,18.51100,-12.30500,46.01200,15.58100,0.41400,15.99500,0.46300,15.53200,15.53200,2.16900,31.37100,27.65800,16.77200,17.05800,0.13000,0.13000,1.45970,1.81390,81.39900,20.59130,36.55180,21.13840,2.86650,0.12600,0.16110,558.51670,8.18190,8.18190,2.58610,8.18190,1.71650,3.792,3.6801
2023-06-30,74.57700,13.40000,61.17700,19.46200,-8.83300,42.84300,18.33400,0.43000,18.76400,0.68800,18.07600,18.07600,2.14200,33.39600,29.56500,15.63210,15.87380,0.14000,0.14000,1.43620,1.87520,82.03200,24.58400,39.64360,25.16060,2.87220,0.12920,0.16580,542.81180,10.21300,10.21300,3.13070,10.21300,1.60440,4.4082,4.2555
2023-03-31,57.18600,10.52800,46.65800,17.63200,-10.53400,42.92800,3.73000,0.34600,4.07600,0.14600,3.93000,3.93000,0.25100,19.25600,15.10100,15.03730,15.18990,0.02000,0.02000,1.40810,2.02010,81.58990,6.52260,26.40680,7.12760,0.43890,0.10210,0.13590,662.25370,2.39450,2.39450,0.70170,2.39450,1.49490,4.32110,4.18190
2022-12-31,48.45400,12.46600,35.98800,16.10000,-15.23600,45.60200,-9.61400,2.38100,-7.23300,-2.03400,-5.19900,-5.19900,3.13500,5.86300,1.12700,13.91360,84.25610,0.21000,-0.02270,1.36390,2.17600,74.27250,-19.84150,2.32590,-14.92760,6.47010,0.08360,0.10530,854.30510,-3.26670,-3.26670,-0.89660,-3.26670,1.45080,-9.4407,-8.8716
2022-09-30,52.62600,12.86100,39.76500,17.58000,-10.60700,40.73400,-0.96900,1.32300,0.35400,1.01500,-0.66100,-0.66100,-0.57100,11.69800,8.12600,13.97300,13.97300,-0.04000,-0.04000,1.39310,2.06030,75.56150,-1.84130,15.44100,0.67270,-1.08500,0.09070,0.11390,789.97200,-0.39950,-0.39950,-0.11400,-0.39950,1.51230,11.1088,10.4644
2022-06-30,65.15200,19.07900,46.07300,18.60600,-9.82100,39.67100,6.40200,3.29700,9.69900,0.20200,9.49700,9.49700,3.45800,18.54300,14.28000,13.52500,84.28300,0.26000,0.10000,1.40740,2.00250,70.71620,9.82630,21.91800,14.88670,5.30760,0.11270,0.14310,628.91980,5.73840,5.73840,1.64290,5.73840,1.51330,0.69,0.6531
