Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.00160,0.13250,-0.13090,3.47190,3.72910,7.20110,-7.33190,-0.55590,-7.88790,-7.88790,-7.88790,-7.88790,-6.86020,-7.33190,69.55800,69.55800,-0.11000,-0.11000,0.74060,0.36540,3.11100,,,,,,0.00010,0.04470,0.01180,7620.59100,-212.07900,328.16260,-34.60180,-134.59540,0.04310,-0.0051,-0.0044
2024-06-30,0.02260,0.49040,-0.46770,4.59720,3.75880,11.22060,-11.68830,0.63460,-11.05370,-11.05370,-11.05370,-11.05370,-11.20870,-11.68830,53.12200,53.12200,-0.21000,-0.21000,0.45960,2.09590,-5.94020,-2067.34200,-51661.20000,-51661.20000,-48856.13000,-48856.13000,0.00120,0.16070,0.18220,493.94780,466.41970,130.15300,-58.19280,-511.15090,-0.04250,-0.1279,-0.1284
2024-03-31,0.00500,0.00500,,4.43160,3.83520,10.26680,-10.26680,-0.65530,-10.92210,-10.92210,-10.92210,-10.92210,-9.83490,-10.26680,46.60680,46.60680,-0.23000,-0.23000,0.87800,0.78810,8.20470,,-205624.30000,-205624.30000,-218748.30000,-218748.30000,0.00020,0.00140,0.05670,1587.03200,-600.84850,253.69720,-41.72380,-127.34160,0.03840,-0.21220,-0.21470
2023-12-31,0.00260,-0.00960,0.01220,4.06470,3.41410,7.47870,-7.46660,-0.50060,-7.96710,-7.96710,-7.96710,-7.96710,-7.00480,-7.46660,41.03300,41.03300,-0.17000,-0.17000,2.17270,0.49880,1.58760,,-288395.30000,-288395.30000,-307730.20000,-307730.20000,0.00010,-0.08770,0.02090,4304.73900,-88.53260,-115.86620,-27.68350,-44.36950,0.19760,-0.1446,-0.1466
2023-09-30,0.00120,0.01340,-0.01220,3.57810,2.92990,6.50800,-6.52020,-0.81850,-7.33870,-7.33870,-7.33870,-7.33870,-6.01760,-6.52020,40.14000,40.14000,-0.18000,-0.18000,4.05190,0.41290,0.89370,,,,,,0.00000,0.26670,0.00300,29825.76000,-46.50740,-53.73690,-21.04870,-27.30580,0.36780,-0.1299,-0.1416
2023-06-30,,,,2.81110,3.14980,,-5.96090,-0.25500,-6.21590,-6.21590,-6.21590,-6.21590,-5.67280,-5.96090,38.09400,38.09400,-0.16000,-0.16000,5.72730,0.55600,1.34230,,,,,,,,,,-59.07520,-59.07520,-21.18060,-26.22900,0.27570,-0.1204,-0.1537
2023-03-31,,,,2.52200,2.93690,,-5.45880,-0.28050,-5.73940,-5.73940,-5.73940,-5.73940,-5.24620,-5.45880,37.41060,37.41060,-0.15000,-0.15000,5.08540,0.32050,0.59370,,,,,,,,,,-36.29330,-36.29330,-19.58190,-24.65960,0.41620,-0.18600,-0.20840
2022-12-31,,,,2.20240,3.16990,,-5.37230,-0.75110,-6.12340,-6.12340,-6.12340,-6.12340,-4.96050,-5.37230,33.64980,33.64980,-0.16000,-0.16000,6.12600,0.32720,0.50660,,,,,,,,,,-35.52970,-35.52970,-19.72970,-23.90420,0.47000,-0.1772,-0.187
2022-09-30,,,,3.87690,3.35340,,-7.23020,-0.07880,-7.30900,-7.30900,-7.30900,-7.30900,-7.12100,-7.23020,34.63180,34.63180,-0.21000,-0.21000,2.67050,,0.35560,,,,,,,,,,-35.95320,-35.95330,-23.27300,-35.95330,0.57220,-0.186,-0.1903
2022-06-30,,,,3.58690,3.53460,,-7.12150,-0.11760,-7.23910,-7.23910,-7.23910,-7.23910,-7.11450,-7.12150,33.64490,33.64490,-0.22000,-0.22000,2.13760,,0.31470,,,,,,,,,,-30.66020,-30.66020,-20.33110,-30.66020,0.70220,-0.1102,-0.1151
2022-03-31,,,,3.71260,3.47500,,-7.18750,-0.15210,-7.33970,-7.33970,-7.33970,-7.33970,-6.99620,-7.18750,30.00820,30.00820,-0.24000,-0.24000,2.92890,,0.25980,,,,,,,,,,-24.63450,-24.63450,-18.26330,-24.63450,0.93990,-0.27270,-0.27970
2021-12-31,10.00000,,10.00000,3.29150,3.65520,,3.05330,-0.07000,2.98330,2.98330,2.98330,2.98330,3.15310,3.05330,26.32410,26.32410,0.12000,0.12000,1.96930,,0.34940,100.00000,30.53320,30.53320,29.83280,29.83280,0.31590,,5.54000,16.24560,14.57630,14.57630,9.42310,14.57630,0.72000,-0.2173,-0.2341
2021-09-30,,,,3.55210,2.37300,,-5.92510,0.35650,-5.56860,-5.56860,-5.56860,-5.56860,-5.82560,-5.92510,26.05350,26.05350,-0.21000,-0.21000,1.13220,,1.71500,,,,,,,,,,-131.14520,-131.14500,-22.28190,-131.14500,0.16350,-0.1937,-0.2135
2021-06-30,2.00000,0.80000,1.20000,3.68460,2.29750,5.98210,-4.78210,-0.05930,-4.84140,-4.84140,-4.84140,-4.84140,-4.72470,-4.78210,25.92730,25.92730,-0.19000,-0.19000,2.02580,0.43760,0.88480,60.00000,-239.10700,-239.10700,-242.07000,-242.07000,0.06540,,2.22390,40.46990,-53.84990,-53.84980,-15.83040,-30.28630,0.34650,-0.2014,-0.2127
2021-03-31,2.00000,0.80000,1.20000,4.32260,2.24400,6.56660,-5.36660,0.01500,-5.35170,-5.35170,-5.35170,-5.35170,-5.33340,-5.36660,25.33060,25.33060,-0.21000,-0.21000,1.71240,0.02470,0.08990,60.00000,-268.33190,-268.33190,-267.58330,-267.58330,0.06930,,2.20210,40.87040,-44.08250,-44.08250,-18.54890,-42.99420,0.47380,-0.18060,-0.19420
2020-12-31,,,,3.45000,1.95670,,-6.20660,-0.00020,-4.20690,-4.20690,-4.20690,-4.20690,-6.18280,-4.20660,21.05470,21.05470,-0.15000,-0.15000,1.83490,0.02330,0.03030,,,,,,,,,,-27.48890,-27.48890,-12.40720,-26.84710,0.61270,0.2306,0.2273
2020-09-30,,,,3.36380,1.72840,,-5.09210,-0.00440,-5.09650,-5.09650,-5.09650,-5.09650,-5.06980,-5.09210,22.20620,22.20620,-0.23000,-0.23000,3.76560,0.02220,0.03060,,,,,,,,,,-27.32690,-27.32690,-19.71760,-26.71900,0.74950,-0.0335,-0.0359
2020-06-30,,,,2.91530,2.10420,,-5.01940,0.00380,-5.01560,-5.01560,-5.01560,-5.01560,-4.99830,-5.01940,19.82120,19.82120,-0.25000,-0.25000,3.99040,0.03570,0.08770,,,,,,,,,,-60.28830,-60.28830,-43.88940,-58.13830,0.41710,-0.1584,-0.1597
2020-03-31,,,,3.63430,1.83680,,-5.47110,0.02020,-5.45090,-5.45090,-5.45090,-5.45090,-5.44280,-5.47110,17.30880,17.30880,-0.31000,-0.31000,5.72010,,0.03430,,,,,,,,,,-44.22540,-44.22540,-36.56230,-44.22540,0.62320,-0.34190,-0.34730
