Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,603.12500,441.91700,161.20800,47.08100,78.83700,82.37100,-45.25000,37.12100,11.66400,25.45700,26.28900,,26.32000,115.79500,82.37100,135.96100,138.13000,0.19000,0.19000,1.09700,0.55490,1.28850,26.72880,13.65740,13.65740,6.15480,4.36390,0.16600,1.64110,54.84000,1.99990,6.11950,0.72360,0.89020,9.40820,0.7426,0.6235
2024-06-30,607.18500,443.52900,163.65600,52.19800,83.51100,80.14500,-133.89800,-53.75300,-20.37900,-33.37400,-32.56300,,-32.51300,113.47800,80.14500,130.51800,130.51800,-0.25000,-0.25000,1.26110,0.57590,1.37730,26.95320,13.19940,13.19940,-8.85280,-5.35470,0.16660,1.58090,56.92910,-2.54290,-8.27940,-0.89360,-1.07830,9.17610,0.2223,0.035
2024-03-31,605.67200,441.67500,163.99700,53.07000,84.43500,79.56200,-48.86000,30.70200,8.07100,22.63100,22.65900,,22.66800,113.83600,79.56200,122.49700,130.98700,0.15000,0.14000,1.26270,0.56750,1.34530,27.07690,13.13620,13.13620,5.06910,3.74260,0.16440,1.69790,53.00650,1.73150,5.40680,0.61500,0.74890,10.34820,0.65510,0.54230
2023-12-31,608.28210,441.94100,166.34110,51.58400,82.58100,83.76010,-54.64900,29.11100,5.36300,23.74800,25.16100,,25.23200,117.82410,83.76000,121.90800,123.69800,0.17000,0.17000,1.20810,0.57220,1.38060,27.34600,13.76990,13.76990,4.78580,4.14810,0.16460,1.55960,57.70690,1.95000,6.30240,0.68070,0.83430,10.23350,0.4395,0.2974
2023-09-30,602.78500,440.66700,162.11800,47.35600,78.52900,83.58900,-53.27400,30.31500,6.52100,23.79400,24.50300,,24.51900,117.92000,83.58900,122.06600,123.43300,0.17000,0.16000,1.24310,0.58720,1.47260,26.89480,13.86710,13.86710,5.02920,4.06760,0.16180,1.69080,53.22810,1.94690,6.71130,0.65790,0.80380,9.98290,0.9762,0.9202
2023-06-30,593.89100,428.12800,165.76300,41.69200,73.38300,92.38000,-53.19200,39.18800,11.15300,28.03500,29.52500,,29.57100,127.05200,92.38000,122.04500,123.27800,0.20000,0.20000,1.30170,0.59970,1.52220,27.91140,15.55500,15.55500,6.59850,4.97920,0.16170,1.69220,53.18570,2.39580,8.78170,0.80410,0.95890,9.77490,0.1307,0.0055
2023-03-31,608.20900,433.49200,174.71700,50.13400,82.05700,92.66000,-53.22600,39.43400,12.36200,27.07200,27.99400,,28.00300,127.40700,92.66000,121.43200,125.13900,0.19000,0.19000,1.26550,0.61120,1.60940,28.72650,15.23490,15.23490,6.48360,4.60420,0.16430,1.74100,51.69330,2.33470,9.34340,0.75620,0.90770,9.51970,0.75710,0.64850
2022-12-31,620.68210,429.72300,190.95900,49.09400,81.73530,109.22380,-53.88800,55.33600,14.79300,40.54300,41.52800,,41.53000,144.65780,109.22390,121.04000,122.28100,0.29000,0.28000,1.26940,0.62400,1.69760,30.76600,17.59740,17.59740,8.91540,6.69100,0.16510,1.49060,60.37860,3.56440,15.83820,1.10440,1.34040,9.39130,0.5653,0.4198
2022-09-30,616.68300,436.21000,180.47300,50.02200,82.35200,98.12100,-49.63400,48.48700,11.24600,37.24100,38.31200,,38.33700,132.90700,98.12100,121.15400,122.42600,0.26000,0.26000,1.20660,0.63870,1.80770,29.26510,15.91110,15.91110,7.86250,6.21660,0.16650,1.60720,55.99710,3.44970,18.76850,1.03420,1.24660,8.95220,0.4477,0.8522
2022-06-30,588.17700,411.79100,176.38600,49.29600,81.31200,95.07400,-23.98300,71.09100,18.89800,52.19300,53.67300,,53.72700,128.99700,95.07400,121.11900,121.88100,0.37000,0.37000,2.62950,0.72740,2.68430,29.98860,16.16420,16.16420,12.08670,9.13450,0.12910,1.55150,58.00760,5.01700,33.61890,1.17820,1.36790,8.62750,0.4064,0.3537
