Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1038.77100,617.25300,421.51800,68.48500,-285.61500,404.30800,17.21000,-16.17800,1.03200,-6.50900,7.54100,7.54100,6.91200,72.55200,17.21000,85.06300,86.16400,0.08000,0.08000,0.30750,0.81680,4.45840,40.57850,1.65680,1.65680,0.09930,0.66540,0.30250,8.57900,3.07830,-1.63500,0.21960,0.56400,2.88780,-0.053,-0.875
2024-06-30,1118.86600,664.97600,453.89000,61.15200,-297.08200,407.75900,46.13100,-14.80200,31.32900,1.69800,29.63100,29.63100,28.40300,101.43800,46.13100,86.68800,88.63200,0.33000,0.32000,0.34620,0.77570,3.45880,40.56700,4.12300,4.12300,2.80010,2.53860,0.32960,8.97630,10.22840,-7.01750,0.87300,2.29400,3.37730,0.463,-0.2752
2024-03-31,1195.32700,701.03100,494.29600,66.77600,-301.14500,417.20300,77.09300,-149.41300,-72.32000,9.97000,-82.29000,-82.29000,-83.87200,134.60700,77.09300,87.02400,87.02400,-0.96000,-0.96000,0.33350,0.75710,3.11610,41.35240,6.44950,6.44950,-6.05020,-7.01670,0.35220,10.75020,-26.94190,19.98860,-2.42440,-6.54540,3.47830,0.84790,0.10240
2023-12-31,1194.19700,695.77490,498.42250,69.06200,-323.20500,441.57310,56.84920,-13.92100,42.92800,-2.62500,45.55300,45.55300,43.27000,112.76920,56.84910,87.23000,96.45300,0.55000,0.48000,0.34250,0.65460,1.89490,41.73700,4.76050,4.76040,3.59470,3.62340,0.34880,9.16230,11.05650,-14.82370,1.33040,3.81930,4.73740,1.7294,0.698
2023-09-30,1079.83300,636.29700,443.53600,62.24600,-275.07600,385.32000,58.21610,-12.84300,45.37300,-0.05800,45.43100,45.43100,44.52800,111.69810,58.21610,88.70700,98.54800,0.50000,0.45000,0.28390,0.66600,1.99370,41.07450,5.39120,5.39120,4.20190,4.12360,0.32230,9.01740,11.47480,-14.00760,1.35580,3.83300,4.54190,0.841,-0.0038
2023-06-30,1152.69400,677.16000,475.53390,63.35800,-275.16500,386.08800,89.44590,-12.96100,76.48500,6.48300,70.00200,70.00200,68.27700,143.16290,89.44590,88.55900,97.40100,0.77000,0.70000,0.27190,0.67260,2.05450,41.25410,7.75970,7.75970,6.63530,5.92330,0.35220,10.86460,18.82440,-20.09300,2.13870,6.16290,4.25780,1.0144,0.2122
2023-03-31,1244.74600,725.75600,518.99000,65.80400,-286.25100,398.35700,120.63290,-12.44400,108.18900,14.76100,93.42800,93.42800,91.31100,175.49490,120.63290,89.11600,98.01100,1.02000,0.93000,0.26930,0.70340,2.37880,41.69450,9.69140,9.69140,8.69170,7.33570,0.38520,10.68890,28.93930,-23.57120,2.89090,8.58290,3.69110,1.93520,1.27790
2022-12-31,1095.04800,628.81010,466.23790,60.74300,-276.94400,382.10090,84.13720,-14.32200,69.81490,9.67600,60.13890,60.13890,58.04500,135.18820,84.13700,88.84600,98.51200,0.66000,0.68000,0.35410,0.75150,3.02480,42.57690,7.68340,7.68340,6.37550,5.30070,0.32980,8.04890,21.95580,-13.44040,1.81120,5.45520,3.12340,0.8799,0.1153
2022-09-30,1055.76300,636.18300,419.58000,56.08900,-270.01100,368.27100,51.30900,-12.69600,38.61300,5.56300,33.05000,33.05000,31.98600,98.98900,51.30900,89.19200,94.73600,0.36000,0.34000,0.30250,0.77350,3.42170,39.74190,4.85990,4.85990,3.65740,3.02970,0.32800,7.64180,13.76250,-6.84360,1.02670,3.11680,2.71500,0.6269,0.0431
2022-06-30,1125.16200,673.21800,451.94400,59.24600,-263.72200,364.22500,87.71900,-137.86300,-50.14400,11.53600,-61.68000,-61.68000,-63.63500,135.37700,87.71900,88.89800,88.89800,-0.72000,-0.72000,0.32190,0.75280,3.05140,40.16700,7.79610,7.79610,-4.45660,-5.65560,0.34830,8.36480,-23.47560,13.16000,-1.90960,-5.80260,2.91450,1.0393,0.5626
