Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,return-on-tangible-equity,roa,roi,book-value-per-share
2024-09-30,19.93040,19.93040,0.85990,19.07050,19.07050,19.07050,19.07050,19.07050,19.07050,19.07050,14.57900,14.57900,1.31000,1.31000,39.03520,100.00000,95.68560,95.68560,95.68560,95.68560,2.27870,223.72060,218.04170,223.72060,0.58470
2024-06-30,22.78250,22.78250,0.70350,22.07900,22.07900,22.07900,22.07900,22.07900,22.07900,22.07900,14.57900,14.57900,1.51000,1.51000,11.20300,100.00000,96.91230,96.91230,96.91230,96.91230,2.69690,286.69660,261.36320,286.69660,0.52820
2024-03-31,20.91070,20.91070,0.98930,19.92140,19.92140,19.92140,19.92140,19.92140,19.92140,19.92140,14.57900,14.57900,1.37000,1.37000,13.98620,100.00000,95.26890,95.26890,95.26890,95.26890,1.94520,199.46080,185.31940,199.46070,0.68510
2023-12-31,34.35110,34.35110,0.80270,33.54840,33.54840,33.54840,33.54840,33.54840,33.54840,33.54840,14.57900,14.57900,2.30000,2.30000,10.62950,100.00000,97.66340,97.66340,97.66340,97.66340,3.63970,391.97110,355.46790,391.97110,0.58710
2023-09-30,14.49360,14.49360,0.76620,13.72750,13.72750,13.72750,13.72750,13.72750,13.72750,13.72750,14.57900,14.57900,0.94000,0.94000,2.76000,100.00000,94.71380,94.71380,94.71380,94.71380,1.48720,219.65650,140.85900,219.65650,0.42870
2023-06-30,17.58860,17.58860,0.88970,16.69880,16.69880,16.69880,16.69880,16.69880,16.69880,16.69880,14.57900,14.57900,1.15000,1.15000,5.01780,100.00000,94.94150,94.94150,94.94150,94.94150,2.05790,243.28390,195.37650,243.28390,0.47080
2023-03-31,27.38230,27.38230,1.10580,26.27650,26.27650,26.27650,26.27650,26.27650,26.27650,26.27650,14.57900,14.57900,1.80000,1.80000,6.72110,100.00000,95.96160,95.96160,95.96160,95.96160,1.88280,211.98430,180.67530,211.98430,0.85020
2022-12-31,33.95060,33.95060,0.66880,33.28180,33.28180,33.28180,33.28180,33.28180,33.28180,33.28180,14.57900,14.57900,2.29000,2.29000,3.31810,100.00000,98.03010,98.03000,98.03000,98.03000,2.08500,291.70230,204.39620,291.70240,0.78260
2022-09-30,40.05620,40.05620,0.96610,39.09010,39.09010,39.09010,39.09010,39.09010,39.09010,39.09010,14.57900,14.57900,2.68000,2.68000,5.72060,100.00000,97.58810,97.58810,97.58810,97.58810,1.94510,229.76180,189.81920,229.76180,1.16700
2022-06-30,28.04140,28.04140,0.73390,27.30750,27.30750,27.30750,27.30750,27.30750,27.30750,27.30750,14.57900,14.57900,1.87000,1.87000,10.07550,100.00000,97.38280,97.38280,97.38280,97.38280,2.47180,266.91600,240.70980,266.91600,0.70170
