Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,31.14000,1.30100,29.83900,33.54600,,33.95700,-4.11800,0.53600,-3.58200,0.34500,-3.92700,-3.92700,,-3.92700,-3.70700,-4.11800,5.35200,5.35200,-0.73000,-0.73000,1.08890,,95.82210,-13.22420,-13.22420,-11.50290,-12.61080,0.50550,0.93660,2.77140,32.47400,681.78420,681.77060,-6.37480,681.77090,-0.10760,-0.1227,-0.5826
2024-06-30,32.06100,1.30200,30.75900,29.78400,,30.19100,0.56800,0.64100,1.20900,-0.24100,1.45000,1.45000,,1.45000,0.97500,0.56800,5.35200,5.35200,0.27000,0.27000,1.42160,,95.93900,1.77160,1.77160,3.77090,4.52260,0.52300,1.02840,3.51550,25.60120,44.62890,44.62910,2.36520,44.62910,0.60690,0.2892,-0.2561
2024-03-31,31.10200,1.28400,29.81800,31.17600,,31.57400,-1.75600,0.61100,-1.14500,0.21800,-1.36300,-1.36300,,-1.36300,-1.35800,-1.75600,5.35200,5.35200,-0.25000,-0.25000,1.51430,,95.87160,-5.64590,-5.64590,-3.68140,-4.38240,0.53640,0.79210,3.62410,24.83380,-80.31810,-80.31810,-2.35090,-80.31820,0.31700,-0.59940,-0.61830
2023-12-31,33.98300,1.88100,32.10200,34.18000,,34.58200,-2.48000,0.34000,-2.14000,0.06700,-2.20700,-2.20700,,-2.20700,-2.07800,-2.48000,5.35200,5.35200,-0.42000,-0.42000,1.54380,,94.46490,-7.29780,-7.29780,-6.29730,-6.49440,0.54610,0.97460,3.42470,26.27990,-74.61100,-74.61120,-3.54630,-74.61120,0.55260,-0.1981,-0.2306
2023-09-30,34.49900,2.38200,32.11700,33.34300,,33.73100,-1.61400,0.34200,-1.27200,0.13900,-1.41100,-1.41100,,-1.41100,-1.22600,-1.61400,5.35200,5.35200,-0.26000,-0.26000,1.64850,,93.09550,-4.67840,-4.67840,-3.68710,-4.09000,0.51710,1.28060,3.31500,27.14950,-29.04490,-29.04490,-2.11510,-29.04490,0.90750,0.5086,0.485
2023-06-30,36.01200,2.34600,33.66600,34.52900,,34.88600,-1.22000,0.37800,-0.84200,0.02600,-0.86800,-0.86800,,-0.86800,-0.86300,-1.22000,5.35200,5.35200,-0.16000,-0.16000,1.80090,,93.48550,-3.38780,-3.38780,-2.33810,-2.41030,0.53070,1.11450,3.06900,29.32520,-12.16370,-12.16370,-1.27920,-12.16370,1.33310,-0.3477,-0.462
2023-03-31,35.20200,2.18400,33.01800,35.40100,,35.77400,-2.75600,0.36200,-2.39400,0.23200,-2.62600,-2.62600,,-2.62600,-2.38300,-2.75600,5.35200,5.35200,-0.49000,-0.49000,1.92440,,93.79580,-7.82910,-7.82910,-6.80080,-7.45980,0.50680,0.86090,3.03360,29.66760,-29.60200,-29.60210,-3.78030,-29.60210,1.65720,-0.18220,-0.22630
2022-12-31,39.10300,2.97600,36.12700,37.42700,-0.05800,38.06700,-1.94000,-0.19300,-2.13300,0.00800,-2.14100,-2.14100,,-2.14100,-1.35800,-1.94000,5.35200,5.35200,-0.41000,-0.41000,2.10580,,92.38930,-4.96130,-4.96130,-5.45480,-5.47530,0.54110,1.09210,2.78850,32.27550,-17.31780,-17.31780,-2.96270,-17.31780,2.30950,-0.7627,-0.8128
2022-09-30,37.68800,3.16100,34.52700,36.11900,,36.81800,-2.29100,-0.09400,-2.38500,0.20100,-2.58600,-2.58600,,-2.58600,-1.59200,-2.29100,5.35200,5.35200,-0.48000,-0.48000,2.08790,,91.61270,-6.07890,-6.07890,-6.32830,-6.86160,0.48700,1.71420,2.84310,31.65570,-10.45900,-10.45910,-3.34170,-10.45910,4.61890,-1.2304,-1.3161
2022-06-30,37.57300,2.50400,35.06900,36.52900,-0.10200,37.34700,-2.27800,0.02800,-2.25000,0.16500,-2.41500,-2.41500,,-2.41500,-1.56200,-2.27800,5.35200,5.35200,-0.45000,-0.45000,2.64570,,93.33560,-6.06290,-6.06290,-5.98830,-6.42750,0.39630,1.41470,2.76270,32.57660,-6.69610,-6.69610,-2.54700,-6.69610,6.73750,-0.5235,-0.6493
