Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,408.45600,408.45600,290.65300,-6.06100,111.74200,10.86100,122.60300,32.26200,90.34100,90.34100,83.79100,117.45600,111.74200,78.69000,78.70600,1.06000,1.06000,2.74830,0.24310,0.32120,100.00000,27.35720,27.35720,30.01620,20.51410,0.20050,3.45480,26.05060,8.33780,-124.40430,4.43380,6.31070,13.24370,1.51,1.547
2024-06-30,402.58300,402.58300,283.67600,-78.19000,40.71700,1.93900,42.65600,23.43100,19.22500,19.22500,16.29400,112.58200,40.71700,80.02600,80.02600,0.20000,0.20000,2.74560,0.25490,0.34210,100.00000,10.11390,10.11390,10.59560,4.04740,0.21060,3.45390,26.05730,1.89030,-15.42960,1.00580,1.40840,12.31130,1.1096,1.0348
2024-03-31,396.37100,396.37100,285.89000,-11.90000,98.58100,5.43700,104.01800,29.00800,75.01000,75.01000,71.63000,104.20600,98.58100,80.70900,80.71000,0.89000,0.89000,3.38660,0.23270,0.30320,100.00000,24.87090,24.87090,26.24260,18.07150,0.18990,3.27780,27.45720,6.53720,-119.73630,3.59420,5.01630,13.63400,0.17380,0.16680
2023-12-31,391.49700,391.49700,275.86600,-13.06100,102.56990,14.73700,117.30700,31.26000,86.04700,86.04700,78.48700,108.58790,102.56990,83.85800,83.86300,0.95000,0.95000,2.50830,0.23570,0.30830,100.00000,26.19940,26.19940,29.96370,20.04790,0.18630,3.14670,28.60140,7.62660,-97.39000,4.09390,5.82940,13.29700,1.5417,1.5168
2023-09-30,402.65600,402.65600,282.22400,-19.00800,101.42400,-0.41900,101.00500,26.73900,74.26600,74.26600,71.71600,107.51700,101.42400,83.71000,83.71000,0.86000,0.86000,2.78440,0.24020,0.31620,100.00000,25.18880,25.18880,25.08470,17.81070,0.19360,3.21650,27.98040,6.75120,-71.76220,3.56990,5.12950,12.75300,1.2752,1.2496
2023-06-30,433.23200,433.23200,314.65500,-20.18800,98.38900,2.15600,100.54500,27.54300,73.00200,73.00200,68.70400,105.09100,98.38900,84.93000,84.93900,0.81000,0.81000,2.96100,0.23470,0.30670,100.00000,22.71050,22.71050,23.20810,15.85850,0.21030,3.14220,28.64230,6.43840,-83.02280,3.54420,4.92740,12.84110,0.8375,0.8024
2023-03-31,382.18900,382.18900,283.61900,-13.40400,85.16600,7.30900,92.47500,21.00900,71.46600,71.46600,66.09200,93.18800,85.16600,84.87500,84.87500,0.78000,0.78000,2.99850,0.23900,0.31410,100.00000,22.28370,22.28370,24.19610,17.29300,0.19120,3.46650,25.96280,6.45760,-66.65420,3.57510,4.91400,12.36150,0.06390,0.05520
2022-12-31,373.89890,373.89890,269.23200,-40.91800,63.74900,11.40400,75.15300,13.51800,61.63500,61.63500,53.77400,70.63700,63.74900,85.76200,85.76600,0.62000,0.62000,2.52910,0.24950,0.33240,100.00000,17.04980,17.04980,20.09980,14.38200,0.18510,3.97730,22.62860,5.89420,-37.60940,3.05050,4.42380,11.71180,1.5114,1.5088
2022-09-30,381.14300,381.14300,268.31500,-16.04800,96.78000,-7.56600,89.21400,21.64000,67.57400,67.57400,65.91400,103.55400,96.78000,84.53100,84.53600,0.78000,0.78000,2.63800,0.29040,0.40920,100.00000,25.39200,25.39200,23.40700,17.29380,0.19320,4.67170,19.26510,6.95610,-32.18510,3.42570,4.93620,10.91560,1.3364,1.3217
2022-06-30,366.00800,366.00800,259.99900,-13.69100,92.31800,-22.67100,69.64700,18.88900,50.75800,50.75800,54.56000,99.27900,92.31800,85.56300,85.56300,0.64000,0.64000,2.71020,0.29110,0.41060,100.00000,25.22300,25.22300,19.02880,14.90680,0.18750,4.05160,22.21350,5.24420,-20.29530,2.60040,3.71760,10.85000,1.1473,1.1346
