Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,
2019-12-31,,,,,,,,,,,,,0.00000,,,,,,,,37.0266,37.0266
2019-03-31,-0.46410,-0.46410,1.19060,0.72650,0.72650,0.72650,0.72650,-0.46410,-0.46410,0.02930,0.02930,26.93260,26.93260,0.03670,,14.52970,14.52970,0.33970,14.52970,770.47340,-37.02660,-37.02660
2018-12-31,,-465.04720,-56.57860,-90.22180,-91.08380,-91.08380,-91.36080,-465.04720,-33.64320,0.02780,0.02780,-3285.78200,-3285.78200,0.69010,-0.71550,130.64220,62.92880,-47.63000,130.64220,-2505.26200,-340.4068,-367.8597
2018-09-30,-0.17800,-0.17800,1.00610,0.82810,0.82810,0.82810,0.82810,-0.17800,-0.17800,0.02930,0.02930,26.93260,26.93260,0.63550,,16.56210,16.56210,0.39480,16.56210,759.65130,-2.9975,-2.9975
2018-06-30,-0.14200,-0.14200,0.93200,0.79000,0.79000,0.79000,0.79000,-0.14200,-0.14200,0.02930,0.02930,26.93260,26.93260,0.91330,,15.79920,15.79920,0.37820,15.79920,749.12810,-4.12,-4.12
2018-03-31,-0.11180,-0.11180,0.63950,0.52770,0.52770,0.52770,0.52770,-0.11180,-0.11180,0.02930,0.02930,17.95510,17.95510,2.27090,,10.55400,10.55400,0.25420,10.55400,739.37970,-2.78840,-2.78840
2017-12-31,,,,,,,,,,,,,0.00000,,,,,,,,0.8687,0.8687
2017-09-30,-0.00260,-0.00260,0.00000,-0.00260,-0.00260,-0.00260,-0.00260,-0.00260,-0.00260,0.00450,0.00450,0.00000,0.00000,0.31920,,-24.46940,-24.46940,-0.42680,-24.46940,2.18730,-0.8687,-0.8687
2017-06-30,-0.00240,-0.00240,,-0.00240,-0.00240,-0.00240,-0.00240,-0.00240,-0.00240,,,,0.00000,,,,,,,,0,0
2016-12-31,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2016-09-30,-0.00500,-0.00500,0.00000,-0.00500,-0.00500,-0.00500,-0.00500,-0.00500,-0.00500,0.00150,0.00150,0.00000,0.00000,,,,,,,,0,0
