Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,0.12300,0.03800,0.08500,2.36700,0.91900,3.28600,-3.20100,0.02900,-3.17200,-3.17200,-3.17200,-3.17200,-3.15500,-3.20100,15.32600,15.32600,-0.30000,-0.30000,5.79480,69.10570,-2602.43900,-2602.43900,-2578.86200,-2578.86200,0.00800,0.17300,520.24390,-27.55390,-27.55390,-20.57870,-27.55390,0.75110,-0.3091,-0.3111
2024-03-31,0.10100,0.03400,0.06700,2.15800,0.81800,2.97600,-2.90900,1.37300,-1.53600,-1.53600,-1.53600,-1.53600,-2.84700,-2.90900,102.40000,102.40000,-0.01500,-0.01500,7.52280,66.33660,-2880.19800,-2880.19800,-1520.79200,-1520.79200,0.00540,0.10860,828.71290,-10.49760,-10.49750,-8.27450,-10.49750,0.95470,-0.02530,-0.02540
2023-12-31,0.13800,0.03900,0.09900,2.43200,0.96600,3.39800,-3.29900,-0.25500,-3.55400,-3.55400,-3.55400,-3.55400,-3.22500,-3.29900,11.04500,11.04500,-1.08000,-1.08000,7.92150,71.73910,-2390.58000,-2390.58000,-2575.36200,-2575.36200,0.00710,0.16450,547.17390,-22.21950,-22.21950,-18.40500,-22.21950,1.04370,-1.2167,-1.2265
2023-09-30,0.30400,0.08300,0.22100,2.88600,1.33200,4.21800,-3.99700,-0.20900,-4.20600,-4.20600,-4.20600,-4.20600,-3.93300,-3.99700,84.12000,84.12000,-0.05000,-0.05000,6.45280,72.69740,-1314.80200,-1314.80200,-1383.55300,-1383.55300,0.01620,0.33080,272.07240,-27.59120,-27.59120,-22.37120,-27.59120,,0.6068,0.6148
2023-06-30,,,,3.15000,1.19900,,-4.34900,-1.71500,-6.06400,-6.06400,-6.06400,-6.06400,-4.28400,-4.34900,10.76600,10.76600,-0.60000,-0.60000,9.20450,,,,,,,,,-32.10330,-32.10330,-27.24900,-32.10330,0.29240,-0.6732,-0.6813
2023-03-31,0.05500,0.02100,0.03400,3.11900,1.56100,4.68000,-4.64600,0.06000,-4.58600,-4.58600,-4.58600,-4.58600,-4.58600,-4.64600,65.51400,65.51400,-0.07000,-0.07000,11.31270,61.81820,-8447.27200,-8447.27200,-8338.18200,-8338.18200,0.00200,0.08280,1086.54500,-18.68710,-18.68710,-16.37100,-18.68710,,-0.06830,-0.06960
2022-12-31,0.09900,0.04400,0.05500,3.03500,1.55800,4.59300,-4.53800,0.71800,-3.82000,-3.82000,-3.82000,-3.82000,-4.48100,-4.53800,10.76060,10.76060,-1.82000,-1.82000,10.37780,55.55560,-4583.83900,-4583.84000,-3858.58600,-3858.58600,0.00300,0.11760,765.45450,-13.27170,-13.27170,-11.61340,-13.27170,2.67350,-1.3559,-1.38
2022-09-30,0.20300,0.09100,0.11200,3.00100,1.40700,4.40800,-4.29600,-1.42000,-5.71600,-5.71600,-5.71600,-5.71600,-4.24100,-4.29600,57.16000,57.16000,-0.10000,-0.10000,15.67970,55.17240,-2116.25600,-2116.25600,-2815.76400,-2815.76400,0.00570,0.20300,443.34980,-17.77360,-17.77360,-16.00220,-17.77360,,-0.1036,-0.1048
2022-06-30,0.21300,0.09000,0.12300,2.80600,1.44200,4.24800,-4.12500,-5.99100,-10.11600,-10.11600,-10.11600,-10.11600,-4.07000,-4.12500,64.55700,64.55700,-0.15000,-0.15000,15.02490,57.74650,-1936.62000,-1936.62000,-4749.29600,-4749.29600,0.00510,0.37170,242.11270,-27.01780,-27.01780,-24.38940,-27.01780,3.47920,-0.054,-0.0552
2022-03-31,0.03500,0.02700,0.00800,2.69200,1.81200,4.50400,-4.49600,2.47200,-2.02400,-2.02400,-2.02400,-2.02400,-4.44500,-4.49600,67.46700,67.46700,-0.03000,-0.03000,16.63900,22.85720,-12845.71000,-12845.71000,-5782.85700,-5782.85700,0.00070,0.03770,2386.28600,-4.29670,-4.29670,-3.92320,-4.29670,,-0.07160,-0.07420
2021-12-31,0.08000,0.03200,0.04800,2.64700,1.51700,4.16400,-4.11600,0.39000,-3.72600,-3.72600,-3.72600,-3.72600,-4.07600,-4.11600,10.71400,10.71400,-0.47990,-0.47990,17.14340,60.00000,-5145.00100,-5145.00100,-4657.50000,-4657.50000,0.00150,0.12120,742.50000,-7.66150,-7.66150,-6.96700,-7.66150,4.52100,-0.4205,-0.433
2021-09-30,0.04000,0.03500,0.00500,2.42800,1.30800,3.73600,-3.73100,-0.05400,-3.78500,-3.78500,-3.78500,-3.78500,-3.69200,-3.73100,12.61920,12.61920,-0.29990,-0.29990,19.04440,12.50000,-9327.50100,-9327.50100,-9462.50100,-9462.50100,0.00070,0.05930,1518.75000,-7.28770,-7.28770,-6.75310,-7.28770,,-0.1748,-0.1786
2021-06-30,,,,2.43600,1.30100,,-3.73700,0.57400,-3.16300,-3.16300,-3.16300,-3.16300,-3.70100,-3.73700,10.74660,10.74660,-0.29990,-0.29990,22.74410,,,,,,,,,-5.71530,-5.71530,-5.34160,-5.71530,5.14700,-0.3638,-0.3676
2021-03-31,,,,2.65900,1.70200,,-4.36100,-0.00100,-4.36200,-4.36200,-4.36200,-4.36200,-4.31700,-4.36100,10.38770,10.38770,-0.41990,-0.41990,15.02000,,,,,,,,,-7.52020,-7.52020,-6.88200,-7.52020,,-0.17260,-0.17440
2020-12-31,,,,2.18900,1.08800,,-3.27700,-0.73800,-4.01500,-4.01500,-4.01500,-4.01500,-3.21500,-3.27700,7.33200,7.33200,-0.26990,-0.26990,21.91650,,,,,,,,,-8.53440,-8.53440,-8.04240,-8.53440,4.51170,-0.606,-0.6074
2020-09-30,,,,2.15700,1.22500,,-3.38200,-0.59800,-3.98000,-3.98000,-3.98000,-3.98000,-3.32100,-3.38200,8.84630,8.84630,-0.44990,-0.44990,8.58730,,,,,,,,,-21.20740,-21.20740,-18.64520,-21.20740,,-0.7885,-0.7936
2020-06-30,,,,1.87600,0.86700,,-2.74300,-0.58800,-3.33100,-3.33100,-3.33100,-3.33100,-2.67800,-2.74300,33.33550,33.33550,-0.59990,-0.59990,10.11160,,,,,,,,,-15.01330,-15.01330,-13.41410,-15.01330,2.57420,0.4525,0.4533
2020-03-31,,,,2.34100,1.09300,,-3.43400,-0.61500,-4.04900,-4.04900,-4.04900,-4.04900,-3.36800,-3.43400,5.19200,5.19200,-0.77980,-0.77980,4.24570,,,,,,,,,-32.66900,-32.66900,-26.96100,-32.66900,,-0.62580,-0.62690
2019-12-31,,,,3.20300,0.53700,,-3.74000,-0.63000,-4.37000,-4.37000,-4.37000,-4.37000,-3.67400,-3.74000,4.98550,4.98550,-0.44990,-0.44990,5.24570,,,,,,,,,-26.82960,-26.82960,-22.60270,-26.82960,3.15900,-0.3625,-0.3665
2019-09-30,,,,2.54700,1.41200,,-3.95900,0.02800,-3.93100,-3.93100,-3.93100,-3.93100,-3.89300,-3.95900,4.36870,4.36870,-0.89980,-0.89980,7.04390,,,,,,,,,-19.35790,-19.35790,-16.83150,-19.35790,,-0.6736,-0.6811
2019-06-30,,,,2.39000,1.36400,,-3.75400,-0.06900,-3.82300,-3.82300,-3.82300,-3.82300,-3.68900,-3.75400,4.24870,4.24870,-0.89980,-0.89980,10.19150,,,,,,,,,-16.07180,-16.07180,-14.39000,-16.07180,,-0.7746,-0.7767
2019-03-31,,,,2.07000,1.50600,,-3.57600,0.26100,-3.31500,-3.31500,-3.31500,-3.31500,-3.51400,-3.57600,4.42090,4.42090,-0.74990,-0.74990,10.27570,,,,,,,,,-12.41160,-12.41160,-11.10290,-12.41160,,-0.56840,-0.57550
2018-12-31,,,,2.15900,1.09500,,-3.25400,-6.16000,-9.41400,-9.41400,-9.41400,-9.41400,-3.18900,-3.25400,4.02110,4.02110,0.77980,0.77980,12.78310,,,,,,,,,-39.94570,-39.94570,-37.87110,-39.94570,5.35770,-0.8886,-0.9013
2018-09-30,,,,2.21700,1.10600,,-3.32300,-0.43500,-3.75800,-3.75800,-3.75800,-3.75800,-3.24300,-3.32300,4.17630,4.17630,-0.89980,-0.89980,22.03380,,,,,,,,,-11.54110,-11.54110,-11.12130,-11.54110,,-0.4601,-0.5034
2018-06-30,,,,2.18700,1.12100,,-3.30800,-0.77500,-4.08300,-4.08300,-4.08300,-4.08300,-3.25700,-3.30800,3.40320,3.40320,-1.19980,-1.19980,13.68910,,,,,,,,,-13.39700,-13.39700,-12.43450,-13.39700,,-0.9058,-0.9677
2018-03-31,,,,2.07500,1.36100,,-3.43600,6.03400,2.59800,2.59800,2.59800,2.59800,-3.39700,-3.43600,4.33090,4.33090,0.59990,0.59990,15.94710,,,,,,,,,9.21900,9.21900,8.61690,9.21900,,-0.59870,-0.66310
2017-12-31,,,,1.67000,0.97100,,-2.64100,9.13500,6.49400,6.49400,6.49400,6.49400,-2.62200,-2.64100,3.14730,3.14730,5.69890,5.69890,21.50830,,,,,,,,,26.16760,26.16760,23.16390,26.16760,6.79770,-0.503,-0.549
2017-09-30,,,,1.14400,0.94700,,-2.09100,6.55700,4.46600,4.46600,4.46600,4.46600,-2.07600,-2.09100,3.72240,3.72240,1.19980,1.19980,27.49440,,,,,,,,,28.63190,28.63190,19.68530,28.63190,,-0.6066,-0.6344
2017-06-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,
2017-03-31,,,,0.49700,0.79200,,-1.28900,-4.16600,-5.45500,-5.45500,-5.45500,-5.45500,-1.28600,-1.28900,2.59820,2.59820,-2.09960,-2.09960,,,,,,,,,,,,,,,-0.41260,-0.42490
2016-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2016-09-30,,,,0.27700,0.55300,,-0.83000,1.35300,0.52300,0.52300,0.52300,0.52300,-0.83000,-0.83000,,,,0.00000,,,,,,,,,,,,,,,0,0
2015-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
