Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,0.52620,-0.84470,-1.37090,-0.01380,-1.38470,0.03840,-1.42310,-1.42310,-1.42310,-1.37090,-1.37090,5.70950,5.70950,-0.20000,-0.20000,0.00500,-0.28310,13.17920,13.17920,-8.79470,13.17920,-1.89110,-0.0453,-0.0453
2024-03-31,0.02520,-0.45990,-0.48510,0.15130,-0.33380,0.04710,-0.38080,-0.38080,-0.38080,-0.48510,-0.48510,5.70950,5.70950,-0.05000,-0.05000,0.01140,-0.28810,3.95230,3.95230,-2.39790,3.95230,-1.68760,-0.046,-0.046
2023-12-31,0.05040,-0.57150,-0.62190,0.32940,-0.29250,0.06780,-0.36030,-0.36030,-0.36030,-0.62190,-0.62190,5.70950,5.70950,-0.04000,-0.04000,0.00730,-0.30330,3.93560,3.93560,-1.38910,3.93560,-1.60340,-0.02020,-0.02020
2023-09-30,0.02800,-0.60990,-0.63780,0.38710,-0.25070,0.08970,-0.34050,-0.34050,-0.34050,-0.63780,-0.63780,5.70950,5.70950,0.01000,0.01000,0.01090,-0.30220,4.01190,4.01190,-1.33940,4.01190,-1.48620,-0.0821,-0.0821
2023-06-30,0.13440,-0.77590,-0.91030,0.43310,-0.47720,0.08240,-0.55960,-0.55960,-0.55960,-0.91030,-0.91030,5.70950,5.70950,-0.06000,-0.06000,0.00970,-0.29020,7.37550,7.37550,-1.50290,7.37550,-1.32900,-0.0343,-0.0343
2023-03-31,0.02800,-0.79070,-0.81870,0.97440,0.15570,0.18290,-0.02710,-0.02710,-0.02710,-0.81870,-0.81870,5.70950,5.70950,0.00000,0.00000,0.03340,-0.32220,0.39720,0.39720,-0.07340,0.39720,-1.19680,-0.1631,-0.1631
2022-12-31,0.02800,-0.39440,-0.42230,1.28970,0.86740,0.26030,0.60700,0.60700,0.60700,-0.42230,-0.42230,5.70950,5.70950,0.03000,0.03000,0.06190,-0.44090,-12.15590,-12.15590,0.39420,-12.15590,-0.87470,-0.04630,-0.04630
2022-09-30,0.02800,-0.50150,-0.52940,0.79780,0.26830,,0.12270,0.12270,0.12280,-0.52940,-0.52940,5.70950,5.70950,0.05520,0.05520,0.06500,-0.07990,-3.89560,-3.89560,0.08120,-3.89560,-0.55150,-0.1205,-0.1205
2022-06-30,0.02800,-1.52210,-1.55010,0.21300,-1.33710,,-1.33710,-1.33710,-1.33710,-1.55010,-1.55010,20.70950,20.70950,-0.06000,-0.06000,0.17410,-0.17560,48.59960,48.59980,-0.88720,48.59960,-0.48190,0.0154,0.0154
2022-03-31,0.02800,-0.35670,-0.38460,0.01220,-0.37230,,-0.37230,-0.37230,-0.37240,-0.38460,-0.38460,5.70950,5.70950,-0.06520,-0.06520,0.28120,,25.81560,25.81570,-0.24720,25.81560,-0.25260,-0.0133,-0.0133
2021-12-31,0.02800,-2.01100,-2.03900,0.00280,-2.03610,,-2.03610,-2.03610,-2.03610,-2.03900,-2.03900,5.70950,5.70950,-0.10000,-0.10000,0.40830,,185.49350,185.49390,-1.35050,185.49350,-0.19230,-0.04170,-0.04170
2021-09-30,,,,,,,,,,,,,,,0.00000,,,,,,,,0.0016,0.0016
2021-06-30,,-0.00200,-0.00200,,-0.00200,,-0.00200,-0.00200,-0.00200,0.00070,-0.00200,4.50000,4.50000,0.00000,0.00000,1.12670,5.36660,-7.98390,-7.98390,-0.89800,-7.98390,0.00480,-0.0016,-0.0016
2021-03-31,,0.00240,0.00240,,-0.00240,,-0.00240,-0.00240,-0.00240,0.00240,0.00240,4.00000,4.00000,0.00000,0.00000,,,,,,,,0,0
