Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.77420,2.62800,,-4.40220,0.17430,-4.22800,,-4.22800,-4.22800,-4.22800,-4.10490,-4.40220,49.67580,49.67580,-0.09000,-0.09000,0.39420,-0.02760,58.03540,114.19450,-65.12580,114.19450,-0.02510,0.303,0.303
2024-06-30,2.71430,2.43390,,-5.14820,2.69960,-2.44870,,-2.44870,-2.44870,-2.44870,-4.85500,-5.14820,16.19890,16.19890,-0.15000,-0.15000,0.48360,-0.10200,20.53970,98.66170,-33.22120,98.66170,-0.10920,-0.172,-0.172
2024-03-31,1.66820,2.88390,,-4.55210,2.25240,-2.29970,,-2.29970,-2.29970,-2.29970,-4.26580,-4.55210,14.11250,14.11250,-0.16000,-0.16000,0.47210,-0.10120,17.14020,57.79440,-25.40350,57.79440,-0.27060,-0.36000,-0.36000
2023-12-31,,0.77590,,3.45470,-0.01590,3.43880,,3.34400,3.34400,3.34400,3.45470,3.45470,2.30440,2.30440,0.26000,0.26000,0.56170,-0.01430,-7.95090,-7.95090,65.23130,-7.95090,-4.63750,-0.1287,-0.1287
2023-09-30,1.27760,0.25800,,-1.53560,0.18620,-1.34930,,-1.34930,-1.34930,-1.34930,-1.25420,-1.53560,9.06890,9.06890,-0.15000,-0.15000,1.76450,-0.10130,9.80120,9.80120,-15.92970,9.80120,-2.51180,-0.1451,-0.1451
2023-06-30,1.19310,1.22070,,-2.41370,0.32120,-2.09250,,-2.09250,-2.09250,-2.09250,-2.13630,-2.41370,9.06340,9.06340,-0.23000,-0.23000,3.19890,-0.08840,15.74330,15.74330,-14.82970,15.74330,-2.42500,-0.2288,-0.2288
2023-03-31,1.80000,0.63840,,-2.43830,0.00000,-2.43830,,-2.43830,-2.43830,-2.43830,-2.16480,-2.43830,9.05970,9.05970,-0.27000,-0.27000,4.38180,-0.05610,21.05880,21.05880,-16.89750,21.05880,-2.11250,-0.15860,-0.15860
2022-12-31,,1.37330,0.08600,-1.28740,1.56340,0.27600,0.53870,-0.26270,-0.26270,-0.26270,-1.28740,-1.28740,4.59630,4.59630,-0.01000,-0.01000,1.37790,-0.05910,2.38790,2.38790,-0.62000,2.38790,-2.00690,-0.0811,-0.0811
2022-09-30,,0.78670,-0.05000,-0.83670,0.98170,0.14500,0.06050,0.08450,0.08450,0.08450,-0.83670,-0.83670,4.59630,4.59630,0.00000,0.00000,0.89650,,-0.93300,-0.93300,0.04680,-0.93300,-1.65250,-0.038,-0.038
2022-06-30,,0.32660,-0.05000,-0.37660,0.26500,-0.11160,,-0.11160,-0.11160,-0.11160,-0.37660,-0.37660,4.59630,4.59630,0.00000,0.00000,3.61230,,1.36740,1.36740,-0.06210,1.36740,-1.48870,-0.0515,-0.0515
2022-03-31,,0.35480,-0.05000,-0.40480,0.02680,-0.37800,,-0.37800,-0.37800,-0.37800,-0.40480,-0.40480,4.59630,4.59630,-0.02000,-0.02000,6.28440,,4.69690,4.69690,-0.21030,4.69690,-1.46830,-0.06700,-0.06700
2021-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2021-09-30,,,,,,,,,,,,,4.67910,4.67910,,0.00000,0.08660,,,,,,0.00510,0,0
