Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,2.07400,,-2.07400,-0.01900,-2.09300,-2.09300,-2.09300,,-2.09300,-2.07100,-2.07400,0.91400,0.91400,-2.29000,-2.29000,12.21910,,,,,,,,,,,,-52.41660,-52.40360,-48.11490,-52.40360,4.36980,-2.2147,-2.2147
2024-03-31,,,,,1.06300,,-1.06300,0.00300,-1.06000,-1.06000,-1.06000,,-1.06000,-1.06100,-1.06300,0.85300,0.85300,-1.24000,-1.24000,11.82650,,,,,,,,,,,,-17.41700,-17.41420,-15.94940,-17.41420,6.65250,-0.71860,-0.71860
2023-12-31,-0.00100,,-0.00100,0.48600,1.44400,,-1.93100,-0.03900,-1.97000,-1.97000,-1.97000,,-1.97000,-1.90300,-1.93100,0.75200,0.75200,-2.67000,-2.67000,5.55260,,0.07530,,,,,,-0.00010,,-0.02170,-4140.05400,-29.66410,-29.65970,-24.36310,-29.65970,8.49360,-2.9765,-2.3066
2023-09-30,0.00400,,0.00400,0.42400,1.64100,,-2.06100,1.72300,-0.33800,-0.33800,-0.33800,,-0.33800,-2.03400,-2.06100,0.75080,0.75080,-0.40000,-0.40000,5.30490,,0.06150,100.00000,-51525.00000,-51525.00000,-8450.00400,-8449.99900,0.00040,,0.15380,585.00000,-4.15640,-4.15590,-3.38030,-4.15590,10.83250,-2.4451,-2.1415
2023-06-30,0.08300,,0.08300,0.44200,1.22900,,-1.58800,0.00200,-1.58600,-1.58600,-1.58600,,-1.58600,-1.54900,-1.58800,0.75100,0.75100,-2.11000,-2.11000,0.26980,,,100.00000,-1913.25300,-1913.25300,-1910.84400,-1910.84400,0.10220,,9.22220,9.75900,153.38540,153.38490,-195.32020,153.38490,-1.37720,-1.4807,-1.4807
2023-03-31,0.09800,,0.09800,0.56100,1.23400,,-1.69700,0.02200,-1.67500,-1.67500,-1.67500,,-1.67500,-1.65400,-1.69700,0.75100,0.75100,-2.23000,-2.23000,0.72950,,,100.00000,-1731.63300,-1731.63300,-1709.18400,-1709.18400,0.04520,,12.25000,7.34690,536.89130,536.85890,-77.26020,536.85890,-0.41560,-2.52860,-2.52860
2022-12-31,0.12000,,0.12000,1.44300,1.28800,,-2.61100,0.04500,-2.56600,-2.56600,-2.56600,,-2.56600,-2.11600,-2.61100,0.67200,0.67200,-3.19000,-3.19000,1.37000,,,100.00000,-2175.83400,-2175.83400,-2138.33400,-2138.33400,0.02960,,3.33330,27.00000,-188.26030,-188.26120,-63.23310,-188.26120,1.81490,-3.1485,-3.1485
2022-09-30,0.09500,,0.09500,0.93200,1.80600,,-2.64300,0.00500,-2.63800,-2.63800,-2.63800,,-2.63800,-2.59500,-2.64300,0.73150,0.73150,-3.60000,-3.60000,2.18520,,,100.00000,-2782.10500,-2782.10500,-2776.84200,-2776.84200,0.01510,,1.93880,46.42110,-74.30950,-74.30990,-42.03310,-74.30990,4.85340,-2.118,-2.118
2022-06-30,0.15000,,0.15000,0.97400,1.61800,,-2.44200,-0.02000,-2.46200,-2.46200,-2.46200,,-2.46200,-2.39100,-2.44200,0.68460,0.68460,-3.60000,-3.60000,3.05590,,,100.00000,-1628.00000,-1628.00000,-1641.33300,-1641.33300,0.01800,,1.48510,60.60000,-43.44430,-43.44450,-29.59490,-43.44450,7.74760,-1.3854,-1.3854
2022-03-31,0.19200,,0.19200,1.40900,1.32200,,-2.53900,-0.00100,-2.54000,-2.54000,-2.54000,,-2.54000,-2.48700,-2.53900,0.53650,0.53650,-4.80000,-4.80000,4.22870,,,100.00000,-1322.39600,-1322.39600,-1322.91700,-1322.91700,0.01860,,0.88070,102.18750,-32.22540,-32.22530,-24.61720,-32.22530,13.09410,-5.52520,-5.52520
2021-12-31,0.13500,,0.13500,0.97600,1.64800,,-2.48900,-0.05100,-2.54000,-2.54000,-2.54000,,-2.54000,-2.40000,-2.48900,0.48650,0.48650,-5.20000,-5.20000,2.70850,,,99.99990,-1843.70100,-1843.70200,-1881.47900,-1881.48000,0.01690,,1.20540,74.66660,-49.43530,-49.43560,-31.77380,-49.43560,10.36510,-2.4124,-2.4232
2021-09-30,0.26400,,0.26400,1.19300,0.97900,,-1.90800,-0.00700,-1.91500,-1.91500,-1.91500,,-1.91500,-1.85200,-1.90800,0.49320,0.49320,-3.80000,-3.80000,4.59480,,,100.00000,-722.72720,-722.72720,-725.37880,-725.37880,0.02740,,0.99620,90.34090,-25.54700,-25.54700,-19.87130,-25.54700,15.19870,-4.5864,-4.5864
2021-06-30,0.44500,0.08900,0.35600,1.64600,1.03500,2.68100,-2.32500,0.64500,-1.68000,-1.68000,-1.68000,,-1.68000,-2.26800,-2.32500,0.49320,0.49320,-3.40000,-3.40000,4.22500,,,80.00000,-522.47190,-522.47190,-377.52810,-377.52810,0.03870,0.68990,4.32040,20.83150,-19.20660,-19.20660,-14.59980,-19.20660,17.73520,-3.5858,-3.6223
2021-03-31,0.68200,0.11000,0.57200,1.87700,1.32700,3.20400,-2.63200,-0.00900,-2.64100,-2.64100,-2.64100,,-2.64100,-2.57700,-2.63200,0.46450,0.46450,-5.60000,-5.60000,3.51140,0.00870,0.06610,83.87100,-385.92380,-385.92380,-387.24350,-387.24340,0.04930,0.50460,1.71360,52.52200,-26.46290,-26.46290,-19.10450,-26.23160,20.23520,-5.65180,-5.65180
2020-12-31,1.44500,,1.44500,1.57300,1.96200,,-2.56200,1.81800,-0.74400,-0.74400,-0.74400,-2.34100,-3.08500,-2.49700,-2.56200,0.18870,0.18870,3.80000,3.80000,1.73530,0.08590,0.18660,67.33560,-177.30110,-177.30110,-51.48790,-213.49490,0.17870,,1.63460,55.05880,-21.06470,-21.06460,-9.20000,-19.25470,9.89490,-13.7268,-13.3356
2020-09-30,1.01800,,1.01800,0.88700,1.32700,,-1.19600,-0.25900,-1.45500,-1.45500,-1.45500,-3.47700,-4.93200,-1.09700,-1.19600,0.16320,0.16320,-30.40000,-30.40000,1.13140,1.41900,-5.70790,100.00000,-117.48530,-117.48530,-142.92730,-484.47940,0.12700,,2.40660,37.39690,162.20680,162.20730,-18.14670,-67.95890,-4.61400,-19.3589,-22.0629
2020-06-30,1.24900,,1.24900,1.64400,1.22300,,-1.61800,-0.25700,-1.87500,-1.87500,-1.87500,-2.76600,-4.64100,-1.55200,-1.61800,0.15830,0.15830,-29.40000,-29.40000,1.78920,0.68200,3.18530,100.00000,-129.54370,-129.54370,-150.12010,-371.57730,0.12790,,1.17720,76.45320,-120.19250,-120.19230,-19.20710,-38.22630,9.63700,-20.2676,-20.5996
