Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4285.00000,3646.00000,639.00000,25.00000,25.00000,614.00000,-38.00000,577.00000,68.00000,509.00000,509.00000,509.00000,566.00000,614.00000,42.60000,42.60000,11.80000,11.80000,0.18090,0.22090,14.32910,14.32910,13.46560,11.87870,0.07670,3.31900,3.31920,0.91110,2.71870,356.62790,41.0656,41.0656
2024-06-30,4227.00000,3335.00000,892.00000,22.00000,22.00000,870.00000,-37.00000,832.00000,108.00000,724.00000,724.00000,724.00000,835.00000,870.00000,42.80000,42.80000,16.70000,16.70000,0.19270,0.23880,20.58200,20.58200,19.68300,17.12800,0.08040,5.10470,5.10510,1.37750,4.12110,327.52890,31.2984,31.2984
2024-03-31,4133.00000,3243.00000,890.00000,22.00000,22.00000,868.00000,-37.00000,832.00000,99.00000,733.00000,733.00000,733.00000,838.00000,868.00000,42.90000,42.90000,16.87000,16.87000,0.19900,0.24850,21.00170,21.00170,20.13070,17.73530,0.08110,5.37860,5.37820,1.43900,4.30820,314.00920,25.68760,25.68760
2023-12-31,3660.00000,3334.00000,326.00000,18.00000,152.00000,174.00000,,271.00000,-533.00000,804.00000,804.00000,804.00000,145.00000,174.00000,41.30000,41.30000,18.99000,18.99000,0.20410,0.25650,4.75410,4.75410,7.40440,21.96720,0.07410,6.09000,6.09000,1.62760,4.84690,304.19350,27.8179,27.8179
2023-09-30,3991.00000,3213.00000,778.00000,19.00000,19.00000,759.00000,-34.00000,725.00000,47.00000,678.00000,678.00000,678.00000,735.00000,759.00000,42.90000,42.90000,15.63000,15.63000,0.21560,0.27480,19.01780,19.01780,18.16590,16.98820,0.08620,6.03960,6.03960,1.46380,4.73760,258.66360,29.4021,29.4021
2023-06-30,3650.00000,2851.00000,799.00000,17.00000,17.00000,782.00000,-33.00000,750.00000,80.00000,670.00000,670.00000,670.00000,772.00000,782.00000,40.70000,40.70000,16.26000,16.26000,0.22060,0.28300,21.42470,21.42470,20.54800,18.35620,0.08170,6.14510,6.14570,1.50000,4.79020,251.19820,25.5286,25.5286
2023-03-31,3286.00000,2827.00000,459.00000,19.00000,19.00000,440.00000,-32.00000,408.00000,43.00000,365.00000,365.00000,365.00000,439.00000,440.00000,38.70000,38.70000,9.31000,9.31000,0.25500,0.34220,13.39010,13.39010,12.41630,11.10770,0.07850,4.04930,4.04930,0.87240,3.01680,229.94900,27.49350,27.49350
2022-12-31,3256.00000,2645.00000,611.00000,16.00000,117.00000,494.00000,,568.00000,73.00000,495.00000,495.00000,495.00000,500.00000,494.00000,38.80000,38.80000,12.73000,12.74000,0.26760,0.36540,15.17200,15.17200,17.44470,15.20270,0.08150,5.86420,5.86420,1.23860,4.29500,215.88240,26.1598,26.1598
2022-09-30,3073.00000,3433.00000,-360.00000,16.00000,16.00000,-376.00000,-25.00000,-401.00000,-82.00000,-319.00000,-319.00000,-319.00000,-362.00000,-376.00000,38.80000,38.80000,-8.22000,-8.22000,0.28730,0.40320,-12.23560,-12.23560,-13.04910,-10.38070,0.08060,-4.17050,-4.17050,-0.83630,-2.97210,195.62660,28.918,28.918
2022-06-30,2835.00000,2676.00000,159.00000,15.00000,15.00000,144.00000,-24.00000,119.00000,-4.00000,123.00000,123.00000,123.00000,160.00000,144.00000,38.90000,38.90000,3.11000,3.11000,0.25870,0.34900,5.07940,5.07940,4.19750,4.33860,0.07480,1.38940,1.38940,0.32450,1.03000,224.58940,18.3501,18.3501
2022-03-31,2896.00000,2556.00000,340.00000,14.00000,14.00000,326.00000,-24.00000,302.00000,4.00000,298.00000,298.00000,298.00000,345.00000,326.00000,38.80000,38.80000,7.57000,7.56000,0.24480,0.32420,11.25690,11.25690,10.42820,10.29010,0.07620,3.12770,3.12770,0.78450,2.36200,241.52370,21.80410,21.80410
2021-12-31,3120.53700,2576.60500,543.93210,21.45400,91.45400,452.47780,,500.72400,69.56800,431.15590,431.15590,431.15600,471.47780,452.47780,39.30000,39.30000,11.04000,11.03000,0.23350,0.30470,14.50000,14.50000,16.04610,13.81670,0.08170,4.25200,4.25250,1.12910,3.25940,257.98980,26.3328,26.3328
2021-09-30,2925.00000,2979.00000,-54.00000,18.00000,18.00000,-72.00000,-16.00000,-88.00000,-14.00000,-74.00000,-74.00000,-74.00000,-52.92800,-72.00000,39.20000,39.20000,-1.88000,-1.88000,0.16070,0.19150,-2.46150,-2.46150,-3.00850,-2.52990,0.07990,-0.74160,-0.74160,-0.20220,-0.62240,253.39990,30.0546,30.0546
2021-06-30,3076.69000,2284.73400,791.95610,16.16800,16.16800,775.78810,-15.60700,760.18100,80.19900,679.98210,679.98210,679.98200,796.39310,775.78810,39.52700,39.56700,16.97000,16.95000,0.15500,0.18340,25.21500,25.21500,24.70780,22.10110,0.08700,6.52780,6.52780,1.92250,5.51600,260.32210,18.3051,18.3051
2021-03-31,2743.77300,2342.66100,401.11210,12.37800,12.37800,388.73410,-15.63900,373.09500,31.23300,341.86200,341.86200,341.86200,406.05710,388.73410,39.54300,39.59700,8.53000,8.52000,0.16480,0.19730,14.16790,14.16790,13.59790,12.45960,0.08170,3.53060,3.53060,1.01760,2.94870,241.57680,22.83930,22.83930
2020-12-31,2761.28500,2614.89900,146.38570,11.81600,47.81600,98.56960,,119.04700,55.59600,63.45100,63.45100,63.45100,115.97560,98.56980,40.00000,40.00000,1.54000,1.53000,0.16420,0.19640,3.56970,3.56970,4.31130,2.29790,0.08440,0.65240,0.65240,0.19400,0.54530,243.25170,16.4715,16.4715
2020-09-30,2610.18400,2320.41700,289.76710,10.61800,10.61800,279.14920,-6.64100,272.50800,29.45100,243.05700,243.05700,243.05700,291.19620,279.14920,39.48300,39.55700,6.08000,6.07000,0.06900,0.07410,10.69460,10.69460,10.44020,9.31190,0.08660,2.53410,2.53410,0.80610,2.35930,239.98030,27.4277,27.4277
2020-06-30,2244.51500,1991.46200,253.05300,8.73300,8.73300,244.31990,-7.25300,237.06700,46.18700,190.88000,190.88000,190.88000,256.22700,244.31990,39.44900,39.51900,4.78000,4.77000,0.06270,0.06680,10.88520,10.88520,10.56210,8.50430,0.07850,2.05550,2.05550,0.66780,1.92670,232.32010,15.394,15.394
2020-03-31,1982.01600,2008.22200,-26.20590,9.83300,9.83300,-36.03890,-7.58300,-43.62200,-60.23400,16.61200,16.61200,16.61200,-27.39890,-36.03890,40.20400,40.29600,0.41000,0.41000,0.07360,0.07950,-1.81830,-1.81830,-2.20090,0.83810,0.07280,0.19360,0.19360,0.06100,0.17930,214.58800,12.55680,12.55680
