Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-06-30,,,,,,,,,,,,,,,0.00000,,,,,,,,
2021-06-30,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2020-06-30,,,,,,,,,,,,,,,0.00000,,,,,,,-10.3078,-10.3078
2020-03-31,0.25530,-0.57950,-0.83480,0.72350,-0.11130,-0.00430,-0.10700,-0.10700,-0.10700,-0.83480,-0.83480,0.06360,0.06360,-13.00000,-13.00000,2.26920,-2.14000,-2.14000,-0.09030,-2.14000,78.66580,10.30780,10.30780
2019-12-31,,-0.13630,-0.30840,,0.19740,0.04020,,,0.15730,,,0.09470,0.09470,-3.00000,-3.00000,,,,,,,3.3271,3.3271
2019-09-30,,,,,,,,,,,,,,,0.00000,,,,,,,3.6099,3.6099
2019-06-30,0.21380,-0.10050,-0.31430,0.25790,-0.05640,,-0.05640,-0.05640,-0.05640,-0.31430,-0.31430,0.06870,0.06870,-4.00000,-4.00000,58.29470,-0.28080,-0.28080,-0.04810,-0.28080,212.13090,0.3787,0.3787
2019-03-31,0.09090,-0.00200,-0.09290,,-0.09290,,-0.09290,-0.09290,-0.09290,-0.09290,-0.09290,0.05000,0.05000,-2.00000,-2.00000,8.28020,-39.23190,-39.23190,-34.49390,-39.23190,4.11600,-3.98860,-3.98860
2018-12-31,,-0.03300,-0.10510,,-0.10510,,,,-0.10510,,,0.05000,0.05000,-2.00000,-2.00000,,,,,,,-2.5687,-2.5687
2018-09-30,,,,,,,,,,,,,,,0.00000,7.43710,,,,,4.55140,0,0
