Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,34.26400,34.26400,4.38100,-7.43700,8.80400,-5.41300,3.39100,3.39100,3.39100,1.79100,23.18300,8.80400,65.73700,65.73700,0.03000,0.03000,0.52240,1.11950,25.69460,25.69460,9.89670,5.22710,0.02760,0.69250,0.60690,0.27290,0.28680,8.45180,0.2469,-0.1237
2024-06-30,34.24100,34.24100,4.58900,-7.23600,8.42300,-10.37500,-1.95200,-1.95200,-1.95200,-3.14700,23.12800,8.42300,65.58800,65.58800,-0.05000,-0.05000,0.51040,1.06790,24.59920,24.59920,-5.70080,-9.19070,0.02760,-0.38780,-0.34100,-0.15730,-0.16520,8.81830,0.2885,0.3547
2024-03-31,35.11800,35.11800,4.44600,-7.38400,9.20400,-6.89000,2.31400,2.31400,2.31400,0.79400,23.99300,9.20400,65.57300,65.57300,0.01000,0.01000,0.49970,1.04190,26.20880,26.20880,6.58920,2.26090,0.02780,0.44320,0.39140,0.18310,0.19390,9.10390,0.21800,0.18740
2023-12-31,32.96100,32.96100,4.22000,-6.09200,8.40300,-7.85200,0.55100,0.55100,0.55100,-0.84100,23.40100,8.40300,65.55000,65.55000,-0.01000,-0.01000,0.49300,1.01500,25.49380,25.49380,1.67170,-2.55150,0.02600,0.10380,0.09180,0.04350,0.04610,9.23990,0.2767,0.2337
2023-09-30,35.50700,35.50700,4.36700,-7.23100,9.71400,-4.88100,4.83300,4.83300,4.83300,3.13800,24.68000,9.71400,65.56500,65.56500,0.05000,0.05000,0.47120,0.98090,27.35800,27.35800,13.61140,8.83770,0.02730,0.86510,0.76990,0.37110,0.40330,9.66440,0.254,0.3464
2023-06-30,36.35100,36.35100,4.46200,-7.22500,9.85900,4.31800,14.17700,14.17700,14.17700,11.82000,25.52100,9.85900,65.54400,65.54400,0.18000,0.18000,0.47150,0.98120,27.12170,27.12170,39.00030,32.51630,0.02750,2.50290,2.23090,1.07340,1.16820,9.78250,0.2727,1.2226
2023-03-31,36.23000,36.23000,3.80400,-7.57800,9.95900,-7.78600,2.17300,2.17300,2.17300,0.67300,25.71800,9.95900,65.52500,65.52500,0.01000,0.01000,0.50430,1.10880,27.48830,27.48830,5.99780,1.85760,0.02650,0.39260,0.34900,0.15870,0.17140,9.59060,0.24070,0.29210
2022-12-31,36.30500,36.30500,4.05100,-7.24900,9.91200,-8.06500,1.84700,1.84700,1.84700,0.36600,25.87600,9.91200,65.46200,65.46200,0.01000,0.01000,0.49720,1.07780,27.30210,27.30210,5.08750,1.00810,0.02610,0.32170,0.28720,0.13260,0.14310,9.90670,0.2804,0.2489
2022-09-30,35.40600,35.40600,3.96100,-6.79100,10.23900,-0.21000,10.02900,10.02900,10.02900,8.05700,25.42400,10.23900,65.51800,65.51800,0.12000,0.12000,0.49070,1.05060,28.91880,28.91880,28.32570,22.75600,0.02520,1.70090,1.52260,0.71290,0.76860,10.14350,0.2794,-0.2536
2022-06-30,33.69700,33.69700,4.33600,-6.09000,9.23500,-5.40100,3.83400,3.83400,3.83400,2.23600,24.07800,9.23500,65.50700,65.50700,0.03000,0.03000,0.48380,1.02440,27.40600,27.40600,11.37790,6.63560,0.02480,0.66780,0.59610,0.28250,0.30490,9.90730,0.3577,-0.8074
