Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,871.11800,442.70450,428.41350,136.21210,136.21210,292.20140,-185.18610,107.01530,11.24860,95.76670,95.76670,95.76670,358.05160,292.20140,317.55200,320.66700,0.30160,0.29860,1.51610,0.20570,49.17970,33.54330,33.54330,12.28480,10.99350,0.07190,82.55870,0.08980,1001.67700,3.67760,4.57250,0.79020,3.67760,7.90040,-0.3186,-0.4533
2024-06-30,873.06510,446.84090,426.22420,130.96910,130.96920,295.25500,-184.56290,110.69230,14.19390,96.49840,96.49840,96.49840,366.37700,295.25500,319.06900,322.26000,0.30240,0.29950,1.47990,0.17170,48.81930,33.81820,33.81820,12.67860,11.05280,0.06850,77.19810,0.08640,1041.15900,3.51760,4.34690,0.75760,3.51760,8.32290,-2.791,-2.9861
2024-03-31,869.46720,438.26470,431.20250,134.87790,134.87790,296.32460,-180.76350,115.56110,18.13490,97.42620,97.42620,97.42620,371.33330,296.32460,316.93900,321.18600,0.30740,0.30330,1.43490,0.06540,49.59390,34.08120,34.08120,13.29100,11.20530,0.07280,72.99670,0.09880,911.26530,3.50450,4.33700,0.81560,3.50450,8.43440,1.52660,1.34130
2023-12-31,875.25230,452.07780,423.17450,113.22980,113.22950,309.94490,-192.74950,117.19540,19.06310,98.13230,98.13230,98.13230,378.83730,309.94490,321.80650,321.80650,0.30820,0.30630,1.41520,0.01430,48.34890,35.41210,35.41210,13.38990,11.21190,0.07930,67.29890,0.10280,875.09030,3.70020,4.59180,0.88900,3.70020,8.04620,1.329,1.1747
2023-09-30,824.55470,416.42170,408.13300,119.72080,119.72080,288.41220,-183.54150,104.87070,20.75420,84.11650,84.11650,84.11650,361.17150,288.41220,321.84600,323.77400,0.26140,0.25980,1.43540,0.01500,49.49740,34.97790,34.97790,12.71850,10.20140,0.08510,77.62200,0.10580,850.96160,3.19180,3.95530,0.86780,3.19180,7.99560,0.6253,0.4517
2023-06-30,772.83420,389.06660,383.76770,106.01630,106.01620,277.75140,-179.72830,98.02310,20.23390,77.78920,77.78920,77.78920,346.53250,277.75140,323.52200,325.48000,0.24040,0.23900,1.42520,0.02330,49.65720,35.93930,35.93930,12.68360,10.06540,0.08930,58.73960,0.11250,800.24900,3.07450,3.78790,0.89900,3.07450,7.67630,0.3008,0.1238
2023-03-31,721.82340,371.38990,350.43360,94.18290,94.18290,256.25060,-172.31330,83.93730,12.74240,71.19500,71.19500,71.19500,317.35510,256.25060,324.70400,327.52200,0.21930,0.21740,1.45930,0.01600,48.54840,35.50050,35.50050,11.62850,9.86320,0.08680,89.26560,0.10840,830.60740,3.02970,3.72100,0.85630,3.02970,7.12930,0.23440,0.14710
2022-12-31,749.86960,372.75330,377.11630,103.33210,103.33200,273.78430,-183.82370,89.96050,12.57930,77.38120,77.38120,77.38120,335.57900,273.78430,327.11000,329.23500,0.24240,0.24050,1.33710,,50.29090,36.51090,36.51090,11.99680,10.31930,0.08540,144.89760,0.10510,856.02550,3.37350,4.12550,0.88130,3.37350,6.95920,1.166,1.1169
2022-09-30,769.95950,355.30090,414.65860,136.64770,136.64770,278.01090,-196.86340,81.14740,8.58870,72.55880,72.55880,72.55880,327.61860,278.01090,326.72400,328.89800,0.22200,0.22000,1.33310,0.08570,53.85460,36.10720,36.10720,10.53920,9.42370,0.09320,35.76820,0.11470,784.57640,3.30350,3.99780,0.87880,3.30350,6.66370,0.6048,0.4869
2022-06-30,794.62540,386.14100,408.48440,142.85730,142.85730,265.62710,-175.66820,89.95890,15.39990,74.55900,74.55900,74.55900,325.57650,265.62710,331.79700,331.79700,0.22470,0.22380,1.37580,0.10770,51.40590,33.42800,33.42800,11.32090,9.38290,0.09980,39.68050,0.12350,728.73860,3.27920,3.94970,0.93610,3.27920,6.89810,0.1521,-0.0732
2022-03-31,655.91840,332.91710,323.00130,123.64080,123.64080,199.36050,-119.64780,79.71270,12.73810,66.97470,66.97470,66.97470,247.02330,199.36050,331.07900,333.13800,0.20200,0.20100,1.37970,0.10290,49.24410,30.39410,30.39410,12.15280,10.21080,0.10140,35.30010,0.13080,688.23900,3.24260,3.88570,1.03500,3.24260,6.26640,0.16510,-0.08750
2021-12-31,579.18870,328.55420,250.63450,109.02550,109.02550,141.60900,-76.28390,65.32520,11.79020,53.53490,53.53490,53.55980,180.07500,141.60900,330.31100,332.17500,0.16240,0.16000,1.40610,0.09580,43.27340,24.44960,24.44960,11.27870,9.24740,0.10060,35.79330,0.12970,693.72110,2.75090,3.26380,0.92970,2.75090,5.90420,0.061,-0.0775
2021-09-30,531.28140,287.48620,243.79520,122.67250,122.67250,121.12270,-40.50870,80.61400,19.07010,61.54390,61.54390,61.51460,160.91790,121.12270,330.39800,332.41200,0.18620,0.18510,1.55240,,45.88820,22.79820,22.79820,15.17350,11.57850,0.10300,17.42200,0.13350,674.34310,3.07500,3.57690,1.19270,3.07500,6.07240,0.211,0.0789
2021-06-30,447.38030,244.49940,202.88090,111.32950,111.32950,91.55140,-27.70360,63.84780,12.46700,51.38080,51.38080,51.36250,126.74120,91.55140,330.09200,330.39900,0.15560,0.15550,1.64110,,45.34860,20.46390,20.46390,14.27150,11.48070,0.09800,17.74700,0.12910,696.90300,2.71900,3.12720,1.12520,2.71900,5.73990,0.2387,0.1054
2021-03-31,378.29780,209.73360,168.56420,101.96430,101.96430,66.59990,-0.65550,65.94440,16.29160,49.65280,49.65280,49.64190,95.56920,66.59990,329.97300,330.35000,0.15000,0.15000,1.74010,,44.55860,17.60520,17.60520,17.43190,13.12240,0.09410,21.60550,0.12630,712.47770,2.80290,3.20100,1.23460,2.80290,5.38420,-0.00980,-0.14820
2020-12-31,378.78110,213.49130,165.28990,63.88760,63.88760,101.40230,-11.65550,89.74680,23.95420,65.79260,65.79260,65.77960,129.27960,101.40230,329.29000,329.29000,0.19930,0.19980,1.66290,,43.63730,26.77070,26.77070,23.69360,17.36610,0.08750,36.16520,0.11760,765.03090,3.63590,4.13390,1.51910,3.63590,5.49980,0.7626,0.3834
2020-09-30,331.53210,196.75110,134.78110,64.89960,64.89950,69.88150,-4.33890,65.54260,16.51840,49.02410,49.02410,49.00090,88.71950,69.88150,329.09000,329.63800,0.14890,0.14870,1.93020,,40.65400,21.07840,21.07840,19.76960,14.78010,0.09570,30.30190,0.12830,701.71740,2.94360,3.24070,1.41440,2.94360,5.06180,-0.1504,-0.3991
2020-06-30,253.16330,147.94860,105.21470,38.31700,38.31700,66.89770,10.02180,76.91950,21.65690,55.26260,55.26260,55.22920,79.72920,66.89770,329.00100,329.93300,0.16790,0.16740,2.20600,0.03670,41.56000,26.42470,26.42470,30.38340,21.81560,0.08310,10.77490,0.12110,743.08650,3.41830,3.72310,1.81300,3.41830,4.91370,-0.0639,-0.1744
2020-03-31,358.56990,173.63490,184.93510,62.07890,62.07890,122.85620,-10.77500,112.08120,31.45430,80.62690,80.62690,80.57200,136.31850,122.85620,328.00000,330.05700,0.24490,0.24410,2.48150,,51.57570,34.26280,34.26280,31.25780,22.47040,0.10970,10.94750,0.16650,540.53610,4.27260,4.64610,2.46690,4.27260,5.73560,0.71990,0.56120
2019-12-31,390.06300,188.52760,201.53540,67.96720,67.96730,133.56810,-4.07650,129.49170,34.16100,95.33070,95.33070,95.26130,145.34220,133.56820,328.17000,329.26000,0.27120,0.28330,2.29900,,51.66740,34.24270,34.24270,33.19760,24.42200,0.10560,12.01230,0.14340,627.52210,4.69380,5.06650,2.57990,4.69380,6.17590,0.5426,0.448
2019-09-30,369.25090,172.70770,196.54310,75.50320,75.50320,121.03990,-2.88240,118.15750,31.68600,86.47150,86.47150,86.38210,129.50520,121.03990,320.28800,330.60300,0.26970,0.26130,2.49300,,53.22750,32.77990,32.77990,31.99930,23.39390,0.11270,11.58100,0.14580,617.26090,4.50490,4.83050,2.63840,4.50490,5.83730,0.1741,0.0861
2019-06-30,354.66320,174.65710,180.00610,61.63970,61.63970,118.36640,-0.68780,117.67860,35.31100,82.36760,82.36760,82.27650,123.63560,118.36640,320.11400,328.80300,0.25700,0.25020,2.37250,,50.75410,33.37430,33.37430,33.18040,23.19850,0.10950,8.71900,0.13900,647.66960,4.47190,4.75230,2.54330,4.47190,5.61750,-0.1821,-0.2271
2019-03-31,332.22970,164.02030,168.20940,46.39850,46.39850,121.81090,-2.50130,119.30960,37.07520,82.23440,82.23440,82.12230,128.82560,121.81090,319.99000,320.61300,0.25660,0.25620,2.38660,,50.63040,36.66470,36.66470,35.91180,24.71850,0.10520,12.24710,13.12910,6.85500,4.49830,4.75750,2.60420,4.49830,5.57550,-0.16550,-0.19060
2018-12-31,332.17800,175.45660,156.72140,40.62240,40.62240,116.09900,-1.66350,114.43540,33.27570,81.15970,81.15970,81.06300,126.32200,116.09910,317.64800,318.12700,0.23180,0.23160,2.34400,,47.18000,34.95090,34.95090,34.45000,24.40350,0.10630,7.24200,14.15020,6.36030,4.51200,4.73200,2.59810,4.51200,5.49600,0.2715,0.242
2018-09-30,288.88460,139.86280,149.02180,64.71670,64.71670,84.30520,-2.88950,81.41560,22.59970,58.81600,58.81600,58.74660,89.44560,84.30520,313.20100,313.20100,0.18760,0.18720,2.49360,,51.58520,29.18300,29.18300,28.18280,20.33570,0.10980,7.58610,19.58870,4.59450,3.68630,3.82800,2.23460,3.68630,4.86780,-0.1052,-0.118
2018-06-30,278.79680,134.35020,144.44660,56.65580,56.65570,87.79080,-0.75310,87.03780,23.69470,63.34300,63.34300,63.22090,92.96720,87.79080,306.27900,307.58400,0.21000,0.21000,2.66100,,51.81070,31.48920,31.48920,31.21910,22.67630,0.10640,8.88150,28.30540,3.17960,3.81310,3.94830,2.41690,3.81310,5.08500,-0.6357,-0.6454
2018-03-31,286.11230,137.12010,148.99220,93.30330,93.30330,55.68890,-5.43630,50.25290,4.48390,45.76900,45.76900,45.74490,61.24040,55.68890,297.47000,298.60000,0.15380,0.15320,2.31510,,52.07470,19.46400,19.46400,17.56410,15.98850,0.11910,7.21990,24.58300,3.66110,3.31620,3.46370,1.90440,3.31620,,-1.04700,-1.04800
2017-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2017-09-30,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2016-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
