Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,491.17100,328.53500,162.63600,10.47200,-18.48300,117.96000,44.67600,-94.61700,-49.94100,-0.07700,-49.86400,,-46.90100,-46.90100,141.75700,44.67600,165.39800,165.39800,-0.28000,-0.28000,0.81220,5.97860,9.09580,9.09580,-10.16770,-9.54880,0.06930,-5.04840,-5.04840,-0.66180,-0.94820,5.57470,0.6415,0.4274
2024-06-30,512.94800,328.24700,184.70100,10.68100,-39.84500,146.20000,38.50100,-109.11100,-70.61000,0.52400,-71.13400,,-73.85000,-73.85000,141.64100,38.50100,165.19800,165.19800,-0.45000,-0.45000,0.79920,5.49940,7.50580,7.50580,-13.76550,-14.39720,0.07200,-7.32050,-7.32050,-1.03700,-1.47030,6.08070,0.2652,-0.1348
2024-03-31,436.25000,305.08600,131.16400,10.50600,-7.17400,110.78700,20.37700,-92.41500,-72.03800,1.00700,-73.04500,,-78.38300,-78.38300,120.71000,20.37700,165.15800,165.15800,-0.48000,-0.48000,0.78190,4.95770,4.67090,4.67090,-16.51300,-17.96750,0.06030,-7.03200,-7.03200,-1.08390,-1.53380,6.72430,-0.00560,-0.43210
2023-12-31,444.05010,297.48790,146.56210,11.21700,-1.05500,107.22410,39.33810,-80.84200,-41.50400,-0.72300,-40.78100,,-43.32300,-43.32300,141.35600,39.33800,164.98800,164.98800,-0.26000,-0.26000,0.76510,4.50210,8.85890,8.85890,-9.34670,-9.75630,0.06040,-3.53330,-3.53330,-0.58890,-0.83000,7.39660,0.5072,0.6764
2023-09-30,496.82500,317.75200,179.07300,10.84900,-5.42900,110.77600,68.29700,-76.53100,-8.23400,-2.24200,-5.99200,,-4.12800,-4.12800,169.40300,68.29700,165.02700,165.02700,-0.03000,-0.03000,0.81460,4.39400,13.74670,13.74670,-1.65730,-0.83090,0.06530,-0.31710,-0.31710,-0.05430,-0.05880,7.85390,0.4436,0.1283
2023-06-30,503.77900,309.10000,194.67900,12.42000,-14.30800,121.29900,73.37990,-79.92800,-6.54800,5.24700,-11.79500,,-11.27800,-11.27800,174.75490,73.37990,164.90200,164.90200,-0.07000,-0.07000,0.81020,4.26820,14.56590,14.56590,-1.29980,-2.23870,0.06590,-0.84220,-0.84220,-0.14740,-0.15990,8.09190,1.9171,0.7035
2023-03-31,429.20900,299.56600,129.64300,10.91100,-4.79200,115.74200,13.90100,12.49000,26.39100,-3.78000,30.17100,,25.95000,25.95000,119.17200,13.90100,164.86700,164.86700,0.16000,0.16000,0.80520,4.13220,3.23870,3.23870,6.14880,6.04600,0.05740,1.87780,1.87780,0.34680,0.36590,8.35260,0.07500,0.77750
2022-12-31,455.21900,293.55410,161.66490,8.45700,-5.48600,108.90400,52.76090,-84.50600,-31.74500,-1.75700,-29.98800,,-31.40900,-31.40900,151.56790,52.76090,164.73800,164.73800,-0.19000,-0.19000,0.80280,4.07230,11.59020,11.59020,-6.97360,-6.89980,0.06080,-2.26160,-2.26160,-0.41940,-0.44590,8.39390,0.5828,0.5907
2022-09-30,498.25100,318.26600,179.98500,11.29300,-4.68300,117.49000,62.49500,-57.40600,5.08900,0.39000,4.69900,,7.50000,7.50000,168.60400,62.49500,164.74500,164.74500,0.05000,0.05000,0.79830,3.95860,12.54290,12.54290,1.02140,1.50530,0.06530,0.51660,0.51660,0.09830,0.10420,8.77540,0.5329,0.5265
2022-06-30,515.77700,325.19400,190.58300,12.66500,-6.97000,120.15500,70.42800,-60.79800,9.63000,0.47300,9.15700,,11.35000,11.35000,175.96900,70.42800,164.67700,164.67700,0.07000,0.07000,0.81700,4.46380,13.65470,13.65470,1.86710,2.20060,0.06190,0.78550,0.78550,0.13620,0.14380,8.74950,0.4329,2.908
