Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2540.00000,415.00000,2125.00000,29.00000,580.00000,-1247.00000,2465.00000,-340.00000,-340.00000,-201.00000,-139.00000,-139.00000,,-223.00000,255.00000,-340.00000,370.00000,370.00000,-0.60000,-0.60000,1.23760,0.50840,1.03440,83.66140,-13.38580,-13.38580,-13.38580,-8.77950,0.13110,,1.53750,58.53540,-2.25650,-2.25650,-0.71740,-1.10930,16.65230,3.637,1.0991
2024-06-30,2792.00000,331.00000,2461.00000,71.00000,623.00000,-136.00000,1533.00000,928.00000,928.00000,308.00000,620.00000,620.00000,,541.00000,1516.00000,928.00000,371.00000,372.00000,1.46000,1.46000,1.01000,0.50930,1.03820,88.14470,33.23780,33.23780,33.23780,19.37680,0.13830,,1.44210,62.40690,9.54580,9.54580,3.07010,4.68420,17.56230,2.1283,2.2965
2024-03-31,1903.00000,247.00000,1656.00000,148.00000,488.00000,-116.00000,1209.00000,447.00000,447.00000,235.00000,212.00000,212.00000,,132.00000,877.00000,447.00000,302.00000,302.00000,0.44000,0.44000,1.16450,0.58630,1.41800,87.02050,23.48920,23.48920,23.48920,6.93640,0.12730,,1.19160,75.52810,5.80340,5.80340,1.41790,2.40060,12.13190,1.21850,-0.44700
2023-12-31,1892.00000,273.00000,1619.00000,51.00000,479.00000,-122.00000,1079.00000,540.00000,540.00000,-1324.00000,1864.00000,1864.00000,,1773.00000,963.00000,540.00000,308.00000,309.00000,5.75000,5.75000,1.02410,0.58420,1.40560,85.57080,28.54120,28.54120,28.54120,93.71040,0.12410,,1.17520,76.58560,50.50120,50.50120,12.22780,20.99810,12.15840,3.3113,1.3748
2023-09-30,2309.00000,300.00000,2009.00000,49.00000,594.00000,-110.00000,1176.00000,833.00000,833.00000,278.00000,555.00000,555.00000,,459.00000,1251.00000,833.00000,308.00000,308.00000,1.49000,1.49000,1.06260,0.72600,2.65020,87.00740,36.07620,36.07620,36.07620,19.87870,0.17050,,1.31720,68.32830,26.34080,26.34080,4.09750,7.21810,6.86780,2.4945,0.444
2023-06-30,1961.00000,209.00000,1752.00000,43.00000,483.00000,-157.00000,1052.00000,700.00000,700.00000,238.00000,462.00000,462.00000,,381.00000,1067.00000,700.00000,308.00000,309.00000,1.24000,1.23000,0.98820,0.76670,3.28770,89.34220,35.69610,35.69610,35.69610,19.42890,0.14810,,1.43770,62.60070,27.24060,27.24060,3.48840,6.35490,5.51970,3.2467,1.3759
2023-03-31,2030.00000,294.00000,1736.00000,52.00000,438.00000,-100.00000,926.00000,810.00000,810.00000,484.00000,326.00000,326.00000,,242.00000,1142.00000,810.00000,311.00000,312.00000,0.78000,0.78000,1.11330,0.80180,4.04610,85.51720,39.90150,39.90150,39.90150,11.92120,0.15360,,1.33730,67.30050,22.74950,22.74950,2.46730,4.50960,4.64360,1.07370,-0.61860
2022-12-31,2380.00000,417.00000,1963.00000,112.00000,584.00000,-106.00000,1161.00000,802.00000,802.00000,263.00000,539.00000,539.00000,,443.00000,1156.00000,802.00000,332.00000,333.00000,1.61000,1.60000,0.92870,0.80210,4.05430,82.47900,33.69750,33.69750,33.69750,18.61350,0.18100,,1.62350,55.43700,40.07440,40.07440,4.09980,7.93110,4.31700,4.1468,-0.0068
2022-09-30,2872.00000,672.00000,2200.00000,95.00000,515.00000,-104.00000,1028.00000,1172.00000,1172.00000,642.00000,530.00000,530.00000,,422.00000,1482.00000,1172.00000,329.00000,330.00000,1.28000,1.28000,1.05060,0.77700,3.56480,76.60170,40.80780,40.80780,40.80780,14.69360,0.21070,,1.48960,60.41780,34.17150,34.17150,3.88880,7.62040,4.79340,3.6034,2.3774
2022-06-30,3052.00000,622.00000,2430.00000,56.00000,526.00000,-105.00000,968.00000,1462.00000,1462.00000,395.00000,1067.00000,1067.00000,,926.00000,1740.00000,1462.00000,341.00000,342.00000,2.72000,2.71000,1.09600,0.77420,3.51160,79.61990,47.90300,47.90300,47.90300,30.34080,0.23610,,1.61140,55.85190,70.89700,70.89700,8.25600,16.00900,4.51420,4.5259,3.358
2022-03-31,3828.00000,432.00000,3396.00000,42.00000,570.00000,-181.00000,1098.00000,2298.00000,2298.00000,352.00000,1946.00000,1946.00000,,1883.00000,2589.00000,2298.00000,346.00000,347.00000,5.44000,5.43000,1.22660,0.87120,6.91200,88.71470,60.03140,60.03140,60.03140,49.19020,0.30680,,,,228.40380,228.40380,15.59800,29.41350,2.50370,2.56770,3.68880
2021-12-31,2403.00000,505.00000,1898.00000,46.00000,542.00000,-310.00000,1244.00000,654.00000,654.00000,169.00000,485.00000,485.00000,,382.00000,986.00000,654.00000,374.00000,375.00000,1.05000,1.05000,1.12420,1.10900,-10.47420,78.98460,27.21600,27.21600,27.21600,15.89680,0.18060,,1.72380,52.20970,-67.64300,-67.64300,3.64580,7.37310,-2.06670,2.9612,1.4709
2021-09-30,1651.00000,464.00000,1187.00000,34.00000,440.00000,-252.00000,1065.00000,122.00000,122.00000,152.00000,-30.00000,-30.00000,,-113.00000,457.00000,122.00000,379.00000,379.00000,-0.30000,-0.30000,1.18600,1.02130,-49.38670,71.89580,7.38950,7.38950,7.38950,-6.84430,0.12400,,1.41110,63.77950,20.00000,20.00000,-0.22540,-0.42600,-0.39680,2.0343,1.5673
2021-06-30,1782.00000,323.00000,1459.00000,26.00000,448.00000,-135.00000,964.00000,495.00000,495.00000,87.00000,408.00000,408.00000,,316.00000,846.00000,495.00000,378.00000,379.00000,0.83000,0.82000,1.66100,0.99110,113.61840,81.87430,27.77780,27.77780,27.77780,17.73290,0.13190,,1.66850,53.93940,536.84210,536.84210,3.01950,4.80230,0.20100,2.5568,2.2216
