Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.89100,0.17000,0.72100,17.50200,22.60400,-16.05500,59.91300,-59.19200,62.45000,3.25800,,3.25800,3.25800,2.02300,-55.44000,-59.19200,79.39500,93.00400,0.03000,-0.31000,0.14320,,0.20000,80.92030,-6643.32300,-6643.32300,365.65660,227.04830,0.00170,0.01710,1.52830,1.52830,0.62260,1.52830,2.44490,0.0161,0.011
2024-06-30,0.60500,1.84500,-1.24000,16.78400,21.80400,,41.95200,-43.19200,38.23200,-4.96000,,-4.96000,-4.96000,-6.03700,-39.73700,-43.19200,69.61900,69.61900,-0.09000,-0.09000,0.17100,,0.25020,-204.95870,-7139.17400,-7139.17400,-819.83470,-997.85130,0.00110,0.19830,-2.62780,-2.62780,-0.91290,-2.62780,2.58910,-0.2618,-0.2643
2024-03-31,,,,26.39000,32.86800,,,-62.64800,-48.03900,-110.68700,,-110.68700,-110.68700,-111.54900,-59.25800,-62.64800,50.74600,50.74600,-2.20000,-2.20000,0.16100,,0.35600,,,,,,,,-62.25610,-62.25610,-20.32160,-62.25610,2.67740,-0.93640,-1.03340
2023-12-31,0.36700,1.47100,-1.10400,31.54200,28.10000,,62.85300,-63.95700,35.51200,-28.44500,,-28.44500,-28.44500,-29.04500,-60.74600,-63.95700,576.19900,576.19900,11.83000,11.83000,0.17650,,0.20980,-300.81750,-17426.97000,-17426.98000,-7750.67900,-7914.16800,0.00070,0.23910,-11.65930,-11.65930,-5.24810,-11.65930,6.49010,6.6512,8.2147
2023-09-30,0.51900,0.90300,-0.38400,21.96500,24.92500,,48.38500,-48.76900,-63.20500,-111.97400,,-111.97400,-111.97400,-111.97400,-47.27400,-48.76900,27.01200,27.01200,-4.15000,-4.15000,0.17470,0.21300,0.49810,-73.98840,-9396.72500,-9396.72500,-21574.95000,-21574.95000,0.00100,0.15890,-67.59600,-67.59590,-20.95530,-53.19730,5.85010,-1.1938,-1.3313
2023-06-30,,,,38.58200,30.42100,,,-73.56500,2.69500,-70.87000,,-70.87000,-70.87000,-70.87000,-69.00300,-73.56500,21.98200,21.98200,-3.22000,-3.22000,0.12600,,0.10730,,,,,,,,-30.44960,-30.44960,-13.57410,-30.44960,9.40490,-2.1953,-2.7235
2023-03-31,,,,47.10400,29.84900,,,-81.52800,-9.20400,-90.73200,,-90.73200,-90.73200,-90.73200,-76.95300,-81.52800,18.17700,18.17700,-4.99000,-4.99000,0.15450,,,,,,,,,,-36.04020,-36.04020,-18.58820,-36.04020,12.16870,-3.69790,-4.71210
2022-12-31,,,,44.20800,36.43000,,,-83.17300,2.94300,-80.23000,,-80.23000,-80.23000,-80.23000,-80.63900,-83.17300,269.76800,269.76800,36.12100,36.12100,0.23970,,0.14720,,,,,,,,-33.91340,-33.91340,-16.16000,-33.91340,0.66570,26.0447,33.0965
2022-09-30,,,,57.06300,48.82600,,,-109.33800,-8.36700,-117.70500,,-117.70500,-117.70500,-117.70500,-105.88800,-109.33800,11.98230,11.98230,-9.88510,-9.88510,0.22060,,0.05490,,,,,,,,-51.65420,-51.65420,-26.46330,-51.65420,17.46910,-5.0337,-6.2514
2022-06-30,,,,115.46000,55.15200,,,-173.50400,9.11200,-164.39200,,-164.39200,-164.39200,-164.39200,-170.61200,-173.50400,10.56060,10.56060,-15.63220,-15.63220,0.39260,,,,,,,,,,-87.28240,-87.28240,-41.35510,-87.28240,16.10200,-10.6563,-14.0527
2022-03-31,,,,82.48700,55.62100,,,-140.78600,15.41900,-125.36700,,-125.36700,-125.36700,-125.36700,-138.10800,-140.78600,10.16430,10.16430,-12.41380,-12.41380,1.07410,,,,,,,,,,-50.61060,-50.61060,-29.85210,-50.61060,23.74100,-11.83920,-14.63750
2021-12-31,,,,89.90100,48.97400,,,-141.48000,3.36800,-138.11200,,-138.11200,-138.11200,-138.11200,-138.87600,-141.48000,9.91400,9.91400,-13.79310,-13.79310,2.13890,,,,,,,,,,-40.14900,-40.14900,-26.40390,-40.14900,33.14650,-12.169,-18.5037
