Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,29.44790,29.44790,16.73400,4.33660,0.02200,8.39930,-2.04060,6.35870,,6.35870,6.35870,6.35870,9.06560,8.39930,99.84100,100.85900,0.06930,0.05780,1.85760,,,100.00000,28.52270,28.52270,21.59310,21.59310,0.10430,1.00060,89.94350,4.22770,6.90040,2.25300,4.22770,,-0.1362,-0.1382
2024-06-30,0.75960,0.75960,18.94950,5.03200,0.04530,-23.17660,-1.98920,-25.16570,,-25.16570,-25.16570,-25.16570,-22.59150,-23.17660,99.55000,99.55000,-0.25430,-0.25430,1.79590,,,100.00000,-3051.09100,-3051.09100,-3312.95500,-3312.95500,0.00290,0.59580,151.04800,-18.44040,-31.17420,-9.58170,-18.44040,,0.8107,0.8101
2024-03-31,,,17.33510,5.68240,0.07770,-22.93970,2.52170,-20.41810,,-20.41810,-20.41810,-20.41810,-22.30420,-22.93970,99.38550,99.38550,-0.20580,-0.20580,7.77920,,,,,,,,,,,-12.34580,-18.94870,-10.67780,-12.34580,,0.01180,0.00890
2023-12-31,,,16.57100,4.59450,0.40220,-20.76320,-1.34240,-5.61880,0.00800,-5.62680,-5.62680,-5.62000,-20.17470,-4.27640,84.69500,84.69500,-0.05970,-0.05970,9.21870,,,,,,,,,,,-3.14450,-4.58270,-2.76310,-3.14450,1.80390,-0.2038,-0.2058
2023-09-30,,,14.04220,3.92170,0.45950,-17.50440,0.36900,-17.13550,-0.00340,-17.13210,-17.13210,-17.13890,-16.86150,-17.50440,84.71600,84.71600,-0.20370,-0.20370,7.35940,,,,,,,,,,,-12.04560,-20.11620,-10.58640,-12.04560,,-0.1842,-0.1881
2023-06-30,,,15.21990,4.09470,0.35260,-18.96200,0.24030,-18.72170,0.00330,-18.72500,-18.72500,-18.72500,-18.34210,-18.96200,84.61300,84.61300,-0.22250,-0.22250,8.89020,,,,,,,,,,,-12.08160,-18.93220,-10.77460,-12.08160,,-0.1894,-0.1914
2023-03-31,,,14.99260,4.43740,0.44090,-18.98900,0.06590,-18.92310,0.00320,-18.92630,-18.92630,-18.92630,-18.37300,-18.98900,83.62600,83.62600,-0.22700,-0.22700,10.38480,,,,,,,,,,,-11.45130,-17.08270,-10.35350,-11.45130,,-0.21710,-0.21970
2022-12-31,0.05140,0.05140,15.70890,4.11530,0.42470,-19.34800,-0.04880,-19.39680,0.00200,-19.39890,-19.39890,-19.39890,-18.69160,-19.34800,83.55400,83.55400,-0.23780,-0.23780,11.15700,,,100.00000,-37639.84000,-37639.83000,-37734.78000,-37738.75000,0.00030,0.12510,719.21640,-10.95450,-15.61220,-9.95610,-10.95450,2.11770,-0.2273,-0.2279
2022-09-30,4.07210,4.07210,14.88990,3.38890,0.27120,-13.93560,-0.05070,-13.98630,0.00410,-13.99040,-13.99040,-13.99040,-13.33680,-13.93560,83.59100,83.59100,-0.16560,-0.16560,10.85310,,,100.00000,-342.22170,-342.22170,-343.46720,-343.56890,0.01910,0.94540,95.19320,-7.11170,-9.67930,-6.57530,-7.11170,,-0.1728,-0.1745
2022-06-30,,,16.25060,4.52970,0.21440,-20.56600,0.22680,-20.33920,0.00310,-20.34230,-20.34230,-20.34230,-19.99890,-20.56600,84.46300,84.46300,-0.23820,-0.23820,13.28250,0.01000,0.01010,,,,,,,,,-9.68530,-12.88950,-9.06100,-9.58840,,-0.2224,-0.2286
