Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,175.31700,131.84000,43.47700,19.17500,-6.80100,29.39700,14.08000,14.08000,4.68800,9.39200,9.39200,5.45200,20.36100,17.50100,10.05000,10.51100,0.54000,0.52000,0.28400,0.49520,8.03120,9.98250,8.03120,3.10980,0.08820,2.01260,2.03800,0.47260,1.44100,44.53370,12.413,12.2899
2024-06-30,206.24500,101.77600,104.46900,17.47100,-7.52000,28.44300,76.02600,76.02600,18.92700,57.09900,57.09900,52.02400,78.14100,79.47800,10.04100,12.69600,5.18000,4.24000,0.28980,0.51390,36.86200,38.53570,36.86200,25.22440,0.10790,12.59790,12.77920,2.98730,8.94750,43.27730,-2.3731,-2.4587
2024-03-31,206.61400,102.06100,104.55300,16.27400,-7.70000,27.12300,77.43000,77.43000,20.47400,56.95600,56.95600,47.61100,79.43400,80.57900,9.75100,12.61800,4.76000,3.81000,0.31710,0.59000,37.47570,38.99980,37.47570,23.04350,0.11220,14.31520,14.57330,3.09270,9.77590,38.71840,14.42300,14.34800
2023-12-31,162.67000,88.11400,74.55600,12.23000,-5.34400,20.39600,54.16000,54.16000,13.24700,40.91300,40.91300,36.30900,57.80000,56.98200,8.36700,11.04400,4.37000,3.46000,0.38920,0.63730,33.29440,35.02920,33.29440,22.32070,0.08980,12.50530,12.80510,2.25870,7.63790,33.59670,13.8402,13.7238
2023-09-30,131.64400,89.49400,42.15000,13.86400,-5.37100,22.06200,20.08800,20.08800,4.41900,15.66900,15.66900,12.74600,23.22600,22.91500,8.31700,10.97500,1.53000,1.34000,0.50890,1.03620,15.25930,17.40680,15.25930,9.68220,0.07640,7.79330,8.12770,0.90910,3.82740,23.40320,6.5009,6.2814
2023-06-30,127.32700,84.50800,42.81900,14.27200,-5.61400,22.55300,20.26600,20.26600,5.38400,14.88200,14.88200,12.01600,25.10600,22.93300,8.30200,10.92100,1.45000,1.28000,0.52460,1.10350,15.91650,18.01110,15.91650,9.43710,0.07370,7.88940,8.19670,0.86180,3.75060,21.94700,-8.5818,-8.6994
2023-03-31,129.02900,83.28500,45.74400,13.50200,-6.30500,22.60800,23.13600,23.13600,5.34300,17.79300,17.79300,15.33800,26.32200,25.93700,8.27800,10.86000,1.78000,1.54000,0.52170,1.09060,17.93090,20.10170,17.93090,11.88730,0.07290,9.89290,10.33450,1.00460,4.73200,20.92090,9.12610,8.99080
2022-12-31,119.94300,96.16300,23.78000,11.32800,-6.87000,21.03700,2.74300,2.74300,0.09200,2.65100,2.65100,1.11700,7.89400,5.58200,8.81700,8.81700,0.37000,0.37000,0.56760,1.31280,2.28690,4.65390,2.28690,0.93130,0.06650,1.64400,1.75940,0.14700,0.71080,18.75270,2.1656,2.0909
2022-09-30,126.65400,164.47200,-37.81800,15.84800,-7.12300,25.78400,-63.60200,-63.60200,-12.09900,-51.50300,-51.50300,-47.67000,-59.35800,-60.78900,8.42700,8.42700,-5.66000,-5.66000,0.55000,1.22230,-50.21710,-47.99610,-50.21710,-37.63800,0.05910,-29.74060,-32.28560,-2.40140,-13.38290,19.39890,-4.5644,-4.74
2022-06-30,125.92600,113.69300,12.23300,15.30100,-6.97700,23.79300,-11.56000,-11.56000,-3.01800,-8.54200,-8.54200,-9.34600,-8.25200,-10.04500,9.02200,9.02200,-1.04000,-1.04000,0.46870,0.88210,-9.18000,-7.97690,-9.18000,-7.42180,0.09830,-3.56010,-3.78670,-0.66700,-1.89160,26.51800,-3.4743,-3.7526
2022-03-31,127.04000,102.11200,24.92800,14.03400,-6.29200,20.92700,4.00100,4.00100,1.21000,2.79100,2.79100,0.85100,6.11500,4.60200,9.47900,9.76700,0.09000,0.09000,0.12330,0.18720,3.14940,3.62250,3.14940,0.66990,0.10810,0.86670,0.90930,0.23750,0.75980,31.80210,5.87170,5.68120
2021-12-31,112.32000,87.35100,24.96900,13.69500,-8.07900,22.43100,2.53800,2.53800,1.10300,1.43500,1.43500,0.02200,4.45700,3.19500,8.09200,8.58000,-0.12000,-0.06000,0.12300,0.18650,2.25960,2.84460,2.25960,0.01960,0.09540,0.44220,0.45720,0.12190,0.38780,32.03070,5.181,5.1162
2021-09-30,99.21700,86.00400,13.21300,11.53700,-6.51600,19.71700,-6.50400,-6.50400,-1.63600,-4.86800,-4.86800,-6.23700,-3.45600,-4.84000,8.02300,8.02300,-0.72000,-0.72000,0.21070,0.26690,-6.55530,-4.87820,-6.55530,-6.28620,0.09220,-1.66410,-1.72800,-0.45240,-1.31350,30.50030,-5.9677,-6.1292
2021-06-30,101.50400,79.08600,22.41800,10.54600,-4.77500,17.32100,5.09700,5.09700,1.26700,3.83000,3.83000,1.91700,8.72900,7.09700,7.52600,7.94800,0.25000,0.24000,0.42410,0.73640,5.02150,6.99180,5.02150,1.88860,0.09400,1.75650,1.84920,0.35460,1.01160,26.37900,8.3946,8.3044
2021-03-31,94.87400,68.81600,26.05800,9.65000,-4.22700,15.95600,10.10200,10.10200,3.25700,6.84500,6.84500,6.13000,13.62100,12.18100,7.47400,9.93000,0.82000,0.75000,0.42450,0.73770,10.64780,12.83910,10.64780,6.46120,0.09330,3.14560,3.31710,0.67340,1.81010,26.24950,3.63950,3.56930
2020-12-31,70.31300,55.20400,15.10900,5.86000,-3.44900,12.19700,2.91200,2.91200,0.20500,2.70700,2.70700,2.58800,7.96900,5.80000,7.35100,9.69400,0.35000,0.64000,0.43760,0.89620,4.14150,8.24890,4.14150,3.68070,0.07470,1.34590,1.37020,0.28760,0.75690,25.83300,-0.0367,-0.0881
2020-09-30,104.02700,65.95300,38.07400,9.87100,-3.81100,16.53800,21.53600,21.53600,6.14600,15.39000,15.39000,14.52500,26.57100,24.39200,7.35600,9.67700,1.97000,1.70000,0.43800,0.82320,20.70230,23.44780,20.70230,13.96270,0.11720,7.70530,7.85170,1.73350,4.33020,25.62640,-3.3447,-3.405
2020-06-30,80.71700,52.83400,27.88300,9.73100,-3.30900,16.06000,11.82300,11.82300,2.88700,8.93600,8.93600,8.47100,16.98000,14.84300,7.32400,9.68500,1.16000,1.08000,0.46650,1.00270,14.64750,18.38900,14.64750,10.49470,0.09090,4.82810,4.93130,1.00590,2.57580,23.74710,3.8473,3.3428
2020-03-31,55.38000,39.90400,15.47600,8.36700,-3.48200,14.81900,0.65700,0.65700,0.11000,0.54700,0.54700,0.53400,5.78900,3.62700,7.36900,7.37800,0.07000,0.07000,0.47990,1.05530,1.18640,6.54930,1.18630,0.96420,0.06620,0.30520,0.31220,0.06540,0.15870,23.17470,7.50920,7.46140
2019-12-31,63.23100,40.65700,22.57400,7.79900,-3.07200,13.79800,8.77600,8.77600,2.34400,6.43200,6.43200,6.12200,13.84700,11.70300,7.58000,10.23800,0.84000,0.86000,0.46870,0.93480,13.87930,18.50830,13.87930,9.68200,0.07880,3.46660,3.54670,0.80140,1.84170,23.89480,0.2262,0.2315
2019-09-30,59.97900,38.31500,21.66400,7.95100,-3.08700,13.94500,7.71900,7.71900,1.86600,5.85300,5.85300,5.52800,12.64500,10.62600,7.53100,7.53900,0.73000,0.73000,0.46950,0.93780,12.86950,17.71620,12.86950,9.21660,0.07110,3.17740,3.25420,0.69390,1.68580,23.36740,2.1773,2.0209
2019-06-30,58.63000,34.37000,24.26000,7.99800,-3.06300,13.94500,10.31500,10.31500,2.76200,7.55300,7.55300,7.14800,15.23100,13.19900,7.66600,10.02700,0.93000,0.90000,0.46530,0.92120,17.59340,22.51240,17.59340,12.19170,0.07800,4.05000,4.15010,1.00420,2.16550,23.15550,1.5094,1.4602
2019-03-31,60.63400,36.66900,23.96500,7.36400,-2.98100,14.68200,9.28300,9.28300,2.54500,6.73800,6.73800,6.33000,16.41700,13.62000,7.73600,7.75500,0.82000,0.82000,0.46360,0.90690,15.30990,22.46270,15.30990,10.43970,0.08270,3.60240,3.69430,0.91870,1.93250,22.37320,1.36620,1.28450
2018-12-31,52.99700,51.89600,1.10100,5.00400,-2.87300,12.44600,-11.34500,-11.34500,-2.87900,-8.46600,-8.46600,-7.65900,-3.55800,-6.77600,7.87800,7.89500,-0.95000,-0.69000,0.57960,1.37870,-21.40690,-12.78560,-21.40690,-14.45180,0.06360,-4.66600,-4.79280,-1.01650,-1.96160,21.71130,1.0867,0.9521
2018-09-30,61.74300,35.59800,26.14500,6.78100,-2.88900,14.22200,11.92300,11.92300,2.92600,8.99700,8.99700,8.40600,19.04700,16.47500,7.79100,11.61600,1.08000,1.00000,0.56400,1.29360,19.31070,26.68320,19.31070,13.61450,0.07560,4.68260,4.80650,1.10210,2.04160,22.96070,0.1856,0.1322
2018-06-30,58.81300,31.76200,27.05100,7.84000,-3.18600,15.53100,11.52000,11.52000,5.11700,6.40300,6.40300,7.60500,19.06900,16.02500,7.92300,11.74300,0.96000,0.92000,0.55780,1.26160,19.58750,27.24740,19.58750,12.93080,0.06990,3.35200,3.44400,0.76070,1.48220,22.42560,3.5761,3.5267
2018-03-31,57.73900,29.01500,28.72400,6.28300,-3.16700,13.92000,14.80400,14.80400,4.01300,10.79100,10.79100,10.09000,22.19700,19.27400,8.08200,11.89800,1.25000,1.11000,0.55380,1.24100,25.63950,33.38120,25.63950,17.47520,0.07470,5.59400,5.73810,1.39560,2.49620,22.44610,-1.22650,-1.26610
