Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,855.40300,855.40300,812.94490,,-11.73100,4.18700,-7.54400,13.88100,-21.42500,-21.42500,8.96100,42.45810,10.05800,103.35800,364.83700,0.04000,-0.08000,0.24750,0.28190,0.39260,100.00000,-1.37140,1.17580,-0.88190,1.04760,0.08130,-0.63250,-0.89860,-0.20360,-0.45420,9.28370,0.1886,0.1597
2024-06-30,744.19400,744.19400,722.96500,,-32.35210,-2.83600,-35.18800,22.39000,-57.57800,-57.57800,-13.97700,21.22900,-10.85010,101.69100,364.76510,-0.15000,-0.19000,0.24790,0.27110,0.37180,100.00000,-4.34730,-1.45800,-4.72830,-1.87810,0.07390,-1.74150,-2.53010,-0.57170,-1.26950,9.06390,0.5869,0.5692
2024-03-31,824.07100,824.07100,782.31000,,-12.32600,7.70600,-4.62000,4.38600,-9.00600,-9.00600,15.51900,41.76100,8.79600,89.11400,364.35100,0.09000,-0.11000,0.24970,0.27160,0.37290,100.00000,-1.49570,1.06740,-0.56060,1.88320,0.08290,-0.27320,-0.40240,-0.09060,-0.19900,9.03890,1.19860,1.17210
2023-12-31,983.13700,983.13700,884.50110,,60.39000,8.77900,69.16900,26.75700,42.41200,42.41200,13.17300,75.19000,75.18990,80.33500,317.94400,0.16000,0.04000,0.15890,0.21950,0.28120,100.00000,6.14260,7.64800,7.03550,1.33990,0.10490,1.26180,1.86380,0.45270,0.98490,9.27840,-1.7192,-1.7377
2023-09-30,160.35500,160.35500,240.63600,-0.08100,-95.85500,9.38700,-86.46800,8.24400,-94.71200,-94.71200,14.66700,-80.36200,-88.06300,80.61700,309.27000,0.14000,-0.09000,0.35310,0.12740,0.14600,100.00000,-59.77680,-54.91750,-53.92290,9.14660,0.02170,-3.11630,-3.11630,-1.28280,-2.71920,9.82810,2.2379,2.2199
2023-06-30,603.27400,603.27400,547.45400,-0.45300,38.54500,14.63000,53.17500,13.16400,40.01100,40.01100,27.19500,55.36700,47.06300,80.54100,309.19300,0.32000,0.02000,0.25480,0.12450,0.14220,100.00000,6.38930,7.80130,8.81440,4.50790,0.07760,1.27850,1.27850,0.51490,1.11940,10.12260,1.6317,1.6185
2023-03-31,643.14500,643.14500,603.95800,-0.51900,23.02800,24.74900,47.77700,12.10300,35.67400,35.67400,25.05500,38.66800,30.44600,79.49900,309.14100,0.27000,-0.01000,0.28130,0.12910,0.14820,100.00000,3.58050,4.73390,7.42870,3.89570,0.08070,1.18860,1.18860,0.44780,1.03520,9.70880,0.11580,0.11290
2022-12-31,439.33500,439.33500,413.85520,-0.76900,9.84380,-10.64300,-0.79900,8.94900,-9.74800,-9.74800,-97.87900,16.34980,16.34970,79.25500,308.90800,0.29000,-0.02000,0.33420,0.12590,0.14410,100.00000,2.24060,3.72150,-0.18190,-22.27890,0.05530,-0.31590,-0.35840,-0.12270,-0.27610,9.99010,1.9012,1.9009
2022-09-30,561.12400,561.12400,504.93000,-0.56700,42.51810,11.12000,53.63800,0.43200,53.20600,53.20600,37.36000,48.25510,48.25510,79.26700,308.92000,0.44000,0.09000,0.29830,0.12480,0.14260,100.00000,7.57730,8.59970,9.55900,6.65810,0.06530,1.70720,1.70720,0.61890,1.49410,10.08960,0.2726,0.2719
2022-06-30,-108.28200,-108.28200,40.42400,-0.45700,-162.45200,-91.94700,-254.39900,8.09800,-262.49700,-262.49700,-9.85900,-157.72100,-157.72100,79.24000,308.89300,-0.15000,-0.37000,0.33160,0.12660,0.14490,100.00000,150.02680,145.65760,234.94120,9.10490,-0.01260,-8.56700,-8.56700,-3.05690,-7.48270,9.91940,-0.03,-0.0328
