Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi
2024-09-30,29.76200,3.54100,26.22100,6.88900,17.99700,8.22400,-23.63400,-15.41000,-15.41000,-15.41000,-15.41000,8.22400,8.22400,27.63260,27.63260,-51.77740,-51.77740,0.02550,-1.37960,-1.46190,-1.32040,-1.37960
2023-12-31,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,24.23500,2.53100,21.70400,4.54600,12.53500,9.16900,-0.39000,8.77900,8.77900,8.77900,8.77900,9.16900,9.16900,37.83370,37.83370,36.22450,36.22450,,,,,
