Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4.09700,4.09700,4.63400,-3.68100,-4.86400,-15.83500,-20.69900,-20.69900,-20.69900,-18.55400,-4.21800,-4.86400,25.05500,25.05500,-0.74000,-0.74000,0.36240,0.08010,100.00000,-118.72100,-118.72100,-505.22330,-452.86800,0.00900,-20.79610,-20.79610,-4.53120,-20.79610,1.47740,-0.1861,-0.2288
2024-06-30,3.61800,3.61800,4.59500,-3.33900,-4.95800,9.12100,4.16300,4.16300,4.16300,5.76100,-4.31600,-4.95800,24.73400,69.53400,0.23000,0.06000,0.48340,0.07030,100.00000,-137.03700,-137.03700,115.06360,159.23160,0.00780,3.48160,3.48160,0.90190,3.48160,1.78670,0.1038,0.1073
2024-03-31,2.40400,2.40400,4.91600,-2.08300,-5.22400,-15.97500,-21.19900,-21.19900,-21.19900,-18.94000,-4.59500,-5.22400,24.27400,24.27400,-0.78000,-0.78000,0.55510,0.07700,100.00000,-217.30450,-217.30450,-881.82190,-787.85360,0.00540,-18.42430,-18.42430,-4.77040,-18.42430,1.72800,-0.18250,-0.19590
2023-12-31,2.23800,2.23800,4.28500,-1.99000,-4.66400,-8.38300,-13.04700,-13.04700,-13.04700,-10.57000,-4.03600,-4.66400,16.45600,16.45600,-0.61000,-0.53000,0.69150,0.07040,100.00000,-208.40030,-208.40030,-582.97590,-472.29680,0.00560,-9.86570,-9.86570,-3.24390,-9.86570,1.99730,-0.0592,-0.0667
2023-09-30,2.50200,2.50200,3.55600,-1.67500,-3.39900,1.40000,-1.99900,-1.99900,-1.99900,-0.18900,-2.72900,-3.39900,15.24500,15.24500,-0.01000,-0.01000,0.56900,0.12000,100.00000,-135.85130,-135.85130,-79.89610,-7.55400,0.00750,-2.27120,-2.27120,-0.60070,-2.27120,1.53600,-0.3106,-0.3462
2023-06-30,1.72800,1.72800,3.73200,-1.71100,-4.24600,2.61200,-1.63400,-1.63400,-1.63400,0.77800,-3.71600,-4.24600,15.16700,57.21300,0.05000,-0.03000,0.63960,0.12290,100.00000,-245.71760,-245.71760,-94.56020,45.02320,0.00520,-1.83070,-1.83070,-0.48730,-1.83070,1.55830,0.2037,0.2118
2023-03-31,1.10700,1.10700,3.54900,-1.79200,-4.68400,-4.07700,-8.76100,-8.76100,-8.76100,-6.19600,-4.23400,-4.68400,14.98300,14.98300,-0.41000,-0.41000,0.75330,,100.00000,-423.12560,-423.12560,-791.41820,-559.71090,0.00340,-9.70540,-9.70540,-2.68290,-9.70540,1.57940,-0.30390,-0.31560
2022-12-31,0.60800,0.60800,2.57800,-1.39300,-3.61100,2.27600,-1.33500,-1.33500,-1.33500,0.52700,-3.36300,-3.61100,13.96500,13.96500,0.40000,1.08000,0.80630,,100.00000,-593.91430,-593.91460,-219.57220,86.67750,0.00180,-1.35710,-1.35710,-0.40310,-1.35710,1.72120,-0.2774,-0.3094
2022-09-30,0.43100,0.43100,3.59900,-1.22800,-4.54400,1.45200,-3.09200,-3.09200,-3.09200,-0.61300,-4.39600,-4.54400,14.94900,14.94900,-0.04000,-0.04000,0.85510,,100.00000,-1054.29200,-1054.29200,-717.40140,-142.22740,0.00130,-3.11730,-3.11730,-0.92400,-3.11730,1.73540,-1.2858,-1.3209
2022-06-30,0.40900,0.40900,3.94300,-1.43900,-5.12700,15.39000,10.26300,10.26300,10.26300,12.66500,-4.97300,-5.12700,14.93800,59.94700,0.85000,0.17000,0.92610,,100.00000,-1253.54500,-1253.54500,2509.29100,3096.57700,0.00120,10.06870,10.06870,3.01930,10.06870,1.78420,0.5225,0.5149
