Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,8.98100,,-8.98100,-1.11130,-10.09230,-10.09230,-10.09230,-10.09230,-8.98100,-8.98100,45.17100,45.17100,-0.22000,-0.22000,0.30030,,-0.02880,75.85580,75.85580,-187.69630,75.85580,-0.27790,1.3833,1.3831
2024-06-30,1.46200,,-1.46200,-0.71300,-2.17500,-2.17500,-2.17500,-2.17500,-1.46200,-1.46200,0.42500,0.42500,-0.24000,-0.24000,0.03430,,-0.17340,9.14060,9.14060,-112.34500,9.14060,-1.59700,-1.5077,-1.5077
2024-03-31,2.09100,,-2.09100,-0.36800,-2.45900,-2.45900,-2.45900,-2.45900,-2.09100,-2.09100,7.50000,7.50000,-0.26000,-0.26000,0.01210,,-0.18420,11.48800,11.48800,-12.09480,11.48800,-2.85400,-0.06410,-0.06410
2023-12-31,3.06050,,-3.06050,1.00730,-2.05320,-2.05320,-2.05320,-2.05320,-3.06050,-3.06050,7.50000,7.50000,-0.22000,-0.22000,1.75450,3.52790,-1.41510,54.97540,54.97540,-67.89790,-138.97030,-0.09000,-0.1132,-0.1132
2023-09-30,0.77850,,-0.77850,-0.06530,-0.84380,-0.84380,-0.84380,-0.84380,-0.77850,-0.77850,40.45300,40.45300,-0.02000,-0.02000,0.02120,,-0.17920,5.89780,5.89780,-1.97600,5.89780,-1.90760,0.0657,0.0657
2023-06-30,0.31300,,-0.31300,2.43500,2.12200,2.12200,2.12200,2.12200,-0.31300,-0.31300,7.50000,7.50000,0.19000,0.19000,0.04560,,-0.15790,-15.16800,-15.16800,5.04460,-15.16800,-1.86530,-0.0069,-0.0069
2023-03-31,1.07800,2.96100,1.88300,-0.96900,0.91400,0.91400,0.91400,0.91400,1.88300,1.88300,7.50000,7.50000,0.06000,0.06000,0.09510,,-0.09150,-6.15650,-6.15650,2.21820,-6.15650,-1.97950,-0.07560,-0.07560
2022-12-31,0.25400,,-0.25400,3.12200,2.86800,2.86800,2.86800,2.86800,-0.25400,-0.25400,7.50000,7.50000,0.07000,0.07000,0.02810,,-0.05330,-19.46520,-19.46520,0.94100,-19.46520,-1.96450,-0.0708,-0.0708
2022-09-30,1.21000,,-1.21000,3.33400,2.12400,2.12400,2.12400,2.12400,-1.21000,-1.21000,7.50000,7.50000,0.06000,0.06000,0.08250,,-0.02680,-14.20930,-14.20930,0.70250,-14.20930,-1.99310,-0.0723,-0.0723
2022-06-30,0.32900,,-0.32900,3.72300,3.39400,3.39400,3.39400,3.39400,-0.32900,-0.32900,7.50000,7.50000,0.09000,0.09000,0.18390,,,-21.74940,-21.74940,1.12730,-21.74940,-2.08070,-0.0185,-0.0185
2022-03-31,0.19100,,-0.19100,6.87400,6.68300,6.68300,6.68300,6.68300,-0.19100,-0.19100,7.50000,7.50000,0.18000,0.18000,0.26690,,,-36.23200,-36.23200,2.22160,-36.23200,-2.45930,-0.04190,-0.04190
2021-12-31,0.25600,,-0.25600,0.78600,0.53000,0.53000,0.53000,0.53000,-0.25600,-0.25600,7.50000,7.50000,,0.00000,0.36500,,,-2.10920,-2.10920,0.17600,-2.10920,-3.35040,-0.0169,-0.0169
2021-09-30,0.99200,,-0.99200,2.49800,1.50600,1.50600,1.50600,1.50600,-0.99200,-0.99200,7.50000,7.50000,0.04000,0.04000,0.44510,,,-5.86950,-5.86950,0.49980,-5.86950,-3.42110,-0.039,-0.039
2021-06-30,2.13200,,-2.13200,0.17100,-1.96100,-1.96100,-1.96100,-1.96100,-2.13200,-2.13200,7.50000,7.50000,-0.05000,-0.05000,0.74750,,,-39.22000,-39.22000,-0.65010,-39.22000,0.46660,-0.0196,-0.0196
2021-03-31,0.21900,,-0.21900,4.84900,4.63000,4.63000,4.63000,4.63000,-0.21900,-0.21900,7.50000,7.50000,0.14000,0.14000,8.94530,,,92.60000,92.60000,1.53390,92.60000,0.47530,-0.06370,-0.06370
2020-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
