Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.93310,1.23470,-3.16780,0.04100,-3.12680,-3.12680,-3.12680,-3.12680,-2.97220,-3.16780,13.71600,13.71600,-0.23000,-0.23000,2.47530,,,-30.93470,-31.95660,-26.63270,-30.93470,0.71880,-0.18920,-0.19260
2024-06-30,1.18210,1.20930,-2.39140,0.03540,-2.35600,-2.35600,-2.35600,-2.35600,-2.20080,-2.39140,11.87110,11.87110,-0.19000,-0.19000,3.65810,,,-20.55100,-21.15120,-18.37330,-20.55100,0.87220,-0.1216,-0.1299
2024-03-31,1.21470,0.69370,-1.90840,0.05390,-1.85450,-1.85450,-1.85450,-1.85450,-1.71840,-1.90840,11.77960,11.77960,-0.16000,-0.16000,4.32270,,,-17.41040,-17.96240,-16.17520,-17.41040,0.90160,-0.1643,-0.168
2023-12-31,1.57390,0.61090,-2.18480,0.06980,-2.11490,-2.11490,-2.11490,-2.11490,-1.99540,-2.18480,11.74590,11.74590,-0.18000,-0.18000,5.59140,,,-16.98590,-17.44750,-15.78050,-16.98590,1.05710,-0.1461,-0.1466
2023-09-30,1.46670,0.56490,-2.03160,0.06280,-1.96870,-1.96870,-1.96870,-1.96870,-1.84250,-2.03160,11.71880,11.71880,-0.17000,-0.17000,7.53250,0.10370,0.11570,-15.18100,-15.57920,-12.77010,-13.60710,1.10410,-0.10000,-0.10070
2023-06-30,2.91300,0.76340,-3.67640,0.10620,-3.57000,-3.57000,-3.57000,-3.57000,-3.48750,-3.67640,11.62620,11.62620,-0.30000,-0.30000,15.80780,,,-24.01510,-24.56630,-21.12440,-24.01510,1.27080,-0.1292,-0.1294
2023-03-31,1.19610,0.61460,-1.81070,0.10790,-1.70280,-1.70280,-1.70280,-1.70280,-1.62240,-1.81070,11.63600,11.63600,-0.15000,-0.15000,28.47670,,,-9.34190,-9.51690,-9.16630,-9.34170,1.56250,-0.1489,-0.154
2022-12-31,1.17070,0.66330,-1.83400,0.08900,-1.74510,-1.74510,-1.74510,-1.74510,-1.64710,-1.83400,11.61030,11.61030,-0.15000,-0.15000,24.86670,,0.01880,-8.78280,-8.93440,-8.58190,-8.78260,1.70780,-0.1205,-0.1244
2022-09-30,1.11270,0.50970,-1.62240,0.05170,-1.57060,-1.57060,-1.57060,-1.57060,-1.43900,-1.62240,11.59240,11.59240,-0.14000,-0.14000,25.36780,,0.00110,-7.28380,-7.40020,-7.11270,-7.28360,1.85740,-0.08910,-0.09290
2022-06-30,1.17160,0.62120,-1.79280,0.01280,-1.78000,-1.78000,-1.78000,-1.78000,-1.60480,-1.79280,11.53500,11.53500,-0.14000,-0.14000,34.92030,,0.00410,-7.71160,-7.82750,-7.57610,-7.71160,1.99120,-0.1213,-0.1278
2022-03-31,1.25510,0.53280,-1.78790,-0.00480,-1.79270,-1.79270,-1.79270,-1.79270,-1.60630,-1.78790,11.54030,11.54030,-0.16000,-0.16000,41.23470,,0.00670,-7.24090,-7.34280,-7.12940,-7.24080,2.14280,-0.1431,-0.1465
2021-12-31,1.26130,0.65930,-1.92060,-0.00060,-1.92110,-1.92110,-1.92110,-1.92110,-1.74320,-1.92060,11.52530,11.52530,-0.17000,-0.17000,50.87410,,,-7.25920,-7.35520,-7.16580,-7.25910,2.29450,-0.1834,-0.1995
2021-09-30,2.09690,0.51540,-2.61240,-0.00070,-2.61310,-2.61310,-2.61310,-2.61310,-2.43590,-2.61240,11.51530,11.51530,-0.23000,-0.23000,22.87890,,0.00080,-9.23050,-9.34530,-8.95530,-9.23040,2.45640,-0.06290,-0.06500
2021-06-30,1.58410,0.49020,-2.07430,0.00140,-2.07290,-2.07290,-2.07290,-2.07290,-1.89810,-2.07430,10.90100,10.90100,-0.18000,-0.18000,59.30230,,0.00320,-6.93020,-7.01220,-6.84970,-6.93010,2.59760,-0.207,-0.2148
2021-03-31,1.46420,0.64340,-2.10750,-0.00050,-2.10800,-2.10800,-2.10800,-2.10800,-1.93140,-2.10750,10.95310,10.95310,-0.19000,-0.19000,26.66120,,0.00520,-6.61040,-6.68420,-6.43450,-6.61040,2.77180,-0.1198,-0.1298
2020-12-31,1.49320,0.79870,-2.29190,-0.03810,-2.33010,-2.33010,-2.33010,-2.33010,-2.10870,-2.29190,10.66610,10.66610,-0.22000,-0.22000,54.48550,,,-8.39790,-8.50640,-8.29630,-8.39780,2.59870,-0.2135,-0.2143
