Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,60.24300,20.94300,39.30000,12.66600,21.76200,34.42800,4.87200,-0.61400,4.25800,1.57900,2.67900,,2.67900,2.67900,6.14600,4.87200,30.21800,30.77800,0.09000,0.09000,2.02970,,,65.23580,8.08720,8.08720,7.06800,4.44700,0.18450,0.62190,0.85860,104.82450,,1.80150,0.82070,1.43340,,0.2545,0.0764
2024-06-30,60.30300,20.82800,39.47500,13.18100,21.35800,34.53900,4.93600,0.39600,5.33200,1.55800,3.77400,,3.77400,3.77400,6.49800,4.93600,30.34100,30.73500,0.12000,0.12000,1.86350,,,65.46110,8.18530,8.18530,8.84200,6.25840,0.18290,0.54970,0.93990,95.75050,,2.51930,1.14450,2.00620,,-0.0931,-0.3694
2024-03-31,60.07600,21.40900,38.66700,13.93300,21.45300,35.38600,3.28100,0.02300,3.30400,1.22100,2.08300,,2.08300,2.08300,4.11800,3.28100,30.33300,30.79300,0.07000,0.07000,1.66820,,,64.36350,5.46140,5.46140,5.49970,3.46730,0.17870,0.52660,1.03910,86.61730,,1.43470,0.61970,1.13430,,0.48650,0.26620
2023-12-31,63.55900,21.16700,42.39200,13.80600,21.35200,35.15800,7.23400,-1.74000,5.49400,1.83900,3.65500,,3.65500,3.65500,8.17900,7.23400,31.40090,31.57870,0.12000,0.12000,1.69440,,,66.69710,11.38150,11.38150,8.64390,5.75060,0.18830,0.48150,1.05050,85.67700,,2.44430,1.08290,1.94300,,0.2927,0.2728
2023-09-30,61.59100,20.65400,40.93700,13.96000,21.19800,35.15800,5.77900,0.49200,6.27100,2.01900,4.25200,,4.25200,4.25200,6.74600,5.77900,31.39000,31.37400,0.14000,0.14000,1.55110,,,66.46590,9.38290,9.38290,10.18170,6.90360,0.18690,0.46070,1.06060,84.85490,,3.02620,1.29050,2.37250,,0.0141,-0.0559
2023-06-30,60.02000,21.54300,38.47700,14.39400,21.82800,36.22200,2.25500,0.24700,2.50200,1.44700,1.05500,,1.05500,1.05500,3.26400,2.25500,31.90000,32.97700,0.03000,0.03000,1.60850,,,64.10700,3.75710,3.75710,4.16860,1.75770,0.18890,0.47060,1.09710,82.03170,,0.71110,0.33200,0.56350,,0.0644,0.0063
2023-03-31,59.21300,22.67000,36.54300,15.00900,22.37800,37.38700,-0.84400,0.94900,0.10500,0.28700,-0.18200,,-0.18200,-0.18200,0.17900,-0.84400,31.75000,32.14800,-0.01000,-0.01000,1.56630,,,61.71450,-1.42540,-1.42540,0.17730,-0.30740,0.18570,0.53870,1.01980,88.25660,,-0.12330,-0.05710,-0.09750,,0.10040,0.05950
2022-12-31,70.65600,24.49800,46.15800,15.09000,22.73200,37.82200,8.33600,0.66900,9.00500,1.45600,7.54900,,7.54900,7.54900,9.41700,8.33600,31.84940,32.50010,0.23000,0.24000,1.58730,,,65.32780,11.79800,11.79800,12.74490,10.68420,0.21820,0.67340,1.06360,84.61700,3.97820,5.01150,2.33120,3.97820,5.98830,0.0112,0.0011
2022-09-30,69.72000,25.97000,43.75000,14.81100,21.93000,36.74100,7.00900,0.34400,7.35300,1.98000,5.37300,,5.37300,5.37300,8.16800,7.00900,31.71700,32.25600,0.17000,0.17000,1.44410,,,62.75100,10.05310,10.05310,10.54650,7.70650,0.22060,0.81600,1.16600,77.18930,,3.85410,1.70000,3.00610,,0.0666,0.0487
2022-06-30,68.36000,23.85000,44.51000,14.95900,21.62900,36.58800,7.92200,0.84100,8.76300,1.82700,6.93600,,6.93600,6.93600,9.07700,7.92200,31.80900,32.51800,0.22000,0.21000,1.47530,,,65.11120,11.58870,11.58870,12.81890,10.14630,0.21290,0.86070,1.23100,73.11250,,4.84070,2.15960,3.79400,,0.1486,0.1396
