Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,76.61900,19.75000,,-96.36900,8.26400,-88.10500,-88.10500,-88.10500,-88.10500,-98.18000,-96.36900,140.22900,140.22900,-0.63000,-0.63000,18.41950,,,,,,,,,-10.50290,-10.53180,-9.47250,-10.50290,5.02650,-0.4893,-0.4902
2024-06-30,,,91.99200,20.13900,11.37400,-100.75700,8.54500,-92.21200,-92.21200,-92.21200,-92.21200,-102.68000,-100.75700,132.82200,132.82200,-0.69000,-0.69000,15.63550,,,,,,,,,-13.52590,-13.57170,-11.93610,-13.52590,5.11340,-0.4899,-0.4898
2024-03-31,10.00700,10.00700,82.40300,19.79900,1.83200,-90.36300,8.97600,-81.38700,-81.38700,-81.38700,-81.38700,-92.63300,-90.36300,130.84300,130.84300,-0.62000,-0.62000,20.73280,100.00000,-902.99780,-902.99780,-813.30060,-813.30070,0.01190,,,-10.91320,-10.94700,-9.67230,-10.91320,5.63690,-0.38460,-0.39820
2023-12-31,-0.00100,-0.00100,77.49600,16.76600,2.06700,-92.19600,8.70100,-83.49500,-83.49500,-83.49500,-83.49500,-94.49000,-92.19600,122.57700,122.57700,-0.66000,-0.66000,25.44200,,,,,,0.00000,,,-11.10300,-11.13710,-9.89300,-11.10300,5.89980,-0.7227,-0.7236
2023-09-30,25.20200,25.20200,81.49400,18.48500,1.20000,-73.57700,7.84300,-65.73400,-65.73400,-65.73400,-65.73400,-75.09000,-73.57700,122.23130,122.23130,-0.54000,-0.54000,16.39080,100.00000,-291.94910,-291.94910,-260.82860,-260.82850,0.02780,119.44080,0.75350,-8.44510,-8.47010,-7.24770,-8.44510,6.32000,-0.6118,-0.6165
2023-06-30,0.11900,0.11900,88.20100,20.12000,2.15200,-106.05000,7.54500,-98.50500,-98.50500,-98.50500,-98.50500,-106.91700,-106.05000,121.68100,121.68100,-0.81000,-0.81000,12.35540,100.00000,-89117.64000,-89117.64000,-82777.30000,-82777.30000,0.00010,1.52560,58.99160,-12.15930,-12.19390,-10.23940,-12.15930,6.64330,-0.5622,-0.5745
2023-03-31,0.22600,0.22600,82.82700,19.57900,1.00300,-101.17700,6.93800,-94.23900,-94.23900,-94.23900,-94.23900,-101.99700,-101.17700,121.32100,121.32100,-0.78000,-0.78000,13.60050,100.00000,-44768.59000,-44768.59000,-41698.68000,-41698.67000,0.00020,0.79020,113.89380,-10.66760,-10.69550,-9.08280,-10.66760,7.27230,-0.55330,-0.56910
2022-12-31,0.25300,0.25300,67.27700,16.37100,10.54400,-72.85100,5.34800,-67.50300,-67.50300,-67.50300,-67.50300,-72.07000,-72.85100,112.23400,112.23400,-0.55000,-0.55000,16.00250,100.00000,-28794.86000,-28794.85000,-26681.02000,-26681.02000,0.00020,0.82680,108.85370,-7.10400,-7.12120,-6.13790,-7.10390,7.84580,-0.4901,-0.5101
2022-09-30,0.34400,0.34400,66.90000,16.07400,-3.26200,-85.89200,1.72000,-84.17200,-84.17200,-84.17200,-84.17200,-84.51900,-85.89200,110.90600,110.90600,-0.76000,-0.76000,15.22250,100.00000,-24968.60000,-24968.60000,-24468.60000,-24468.60000,0.00030,1.42740,63.05230,-8.41910,-8.43860,-7.20210,-8.41910,8.27550,-0.5765,-0.5945
2022-06-30,0.36500,0.36500,60.51100,17.46500,-0.20000,-77.81100,1.02300,-76.78800,-76.78800,-76.78800,-76.78800,-76.30900,-77.81100,108.64400,108.64400,-0.71000,-0.71000,19.49330,100.00000,-21318.08000,-21318.08000,-21037.81000,-21037.81000,0.00040,1.26740,71.01370,-9.84920,-9.87830,-8.63350,-9.84920,7.16510,-0.524,-0.541
