Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,51.07100,16.99700,34.07400,22.07000,22.39800,11.67600,11.67600,2.23900,9.43700,9.43700,9.43700,7.92200,7.96700,1.19000,1.18000,0.19090,0.59310,34.40800,27.80990,0.00990,2.39850,3.06300,0.27420,1.94070,48.75500,2.2305,2.1657
2024-06-30,49.21300,16.06500,33.14800,22.74000,23.06900,10.07900,10.07900,1.96100,8.11800,8.11800,8.11800,7.97200,8.01900,1.02000,1.02000,0.19810,0.74070,31.60850,25.45870,0.00930,2.16000,2.79800,0.23800,1.73210,46.50790,1.87,1.6678
2024-03-31,47.67500,15.22500,32.45000,20.65600,21.00900,11.44100,11.44100,2.24200,9.19900,9.19900,9.19900,7.98400,8.03900,1.15000,1.14000,0.19970,0.62700,35.41120,28.47190,0.00960,2.47100,3.21340,0.27400,1.97750,45.73530,1.28410,1.12960
2023-12-31,46.87700,14.11700,32.76000,20.89200,21.26900,11.49100,11.49100,2.10600,9.38500,9.38500,9.38500,8.02800,8.06500,1.18000,1.17000,0.20880,0.68720,35.80310,29.24130,0.00970,2.55410,3.33900,0.28270,2.02090,45.04090,1.2506,1.1896
2023-09-30,46.47700,12.56900,33.90800,21.30000,21.68900,12.21900,12.21900,2.46500,9.75400,9.75400,9.75400,8.00600,8.03900,1.22000,1.22000,0.21930,0.99480,36.41270,29.06700,0.01010,2.82450,3.77210,0.29400,2.20510,42.29940,1.6395,1.5913
2023-06-30,43.51900,9.76500,33.75400,21.08100,21.47000,12.28400,12.28400,2.50300,9.78100,9.78100,9.78100,8.04200,8.07900,1.22000,1.21000,0.21900,1.05450,36.95210,29.42270,0.01010,2.82590,3.77680,0.29730,2.20690,42.21970,1.0331,0.916
2023-03-31,41.42600,6.52000,34.90600,20.30800,20.75400,14.15200,14.15200,2.83200,11.32000,11.32000,11.32000,8.08800,8.13700,1.40000,1.39000,0.21970,0.97460,41.51120,33.20430,0.01040,3.28020,4.39490,0.34650,2.55960,41.65860,1.20460,1.18070
2022-12-31,39.93400,3.30900,36.62500,22.72500,23.16800,13.45700,13.45700,2.68100,10.77600,10.77600,10.77600,8.13900,8.19400,1.33000,1.32000,0.18570,0.71450,38.85040,31.11030,0.01070,3.26590,4.45320,0.33380,2.65960,39.82070,1.7418,1.6465
2022-09-30,37.73800,2.28700,35.45100,21.96600,22.41900,13.03200,13.03200,2.59800,10.43400,10.43400,10.43400,8.08900,8.13800,1.29000,1.28000,0.19920,0.26630,38.60760,30.91100,0.01070,3.29510,4.56000,0.32940,2.63860,38.27580,2.103,2.0297
2022-06-30,34.19100,1.26400,32.92700,21.90200,22.35600,10.57100,10.57100,2.11000,8.46100,8.46100,8.46100,8.12900,8.18600,1.04000,1.03000,0.19400,0.25760,32.69110,26.16590,0.00960,2.57080,3.51350,0.25160,2.07200,39.44440,2.2204,2.1062
2022-03-31,27.95200,1.05500,26.89700,21.20300,21.45500,5.44200,5.44200,1.04100,4.40100,4.40100,4.40100,8.27000,8.33700,0.53000,0.53000,0.07070,0.09250,22.97950,18.58370,0.00710,1.30400,1.76090,0.13210,1.21180,39.92710,0.18320,0.14570
2021-12-31,29.32200,1.13800,28.18400,15.09000,15.36900,12.81500,12.81500,2.57700,10.23800,10.23800,10.23800,8.37900,8.42800,1.24000,1.23000,0.06890,0.08980,41.56400,33.20580,0.01050,2.90930,3.53090,0.34840,2.70880,41.26930,1.3856,1.3315
2021-09-30,33.80600,1.28900,32.51700,13.75500,14.04600,18.47100,18.47100,3.41200,15.05900,15.05900,15.05900,8.35400,8.40600,1.80000,1.79000,0.07130,0.09290,52.92250,43.14650,0.01260,4.37570,5.34160,0.54490,4.06360,40.37890,1.4892,1.3847
2021-06-30,29.05700,1.65300,27.40400,12.85000,13.14300,14.26100,14.26100,2.86500,11.39600,11.39600,11.39600,8.44900,8.49900,1.35000,1.34000,0.07530,0.09780,46.25840,36.96520,0.01120,3.37350,4.13960,0.41220,3.11950,38.92290,2.4165,2.3792
2021-03-31,30.98800,1.83300,29.15500,13.96300,14.26300,14.89200,14.89200,2.96400,11.92800,11.92800,11.92800,8.43700,8.47600,1.41000,1.41000,0.07880,0.10240,48.25980,38.65450,0.01140,3.62980,4.48760,0.44060,3.34380,37.72790,1.31940,1.27110
2020-12-31,31.41800,2.16900,29.24900,15.66900,15.99600,13.25300,13.25300,2.67300,10.58000,10.58000,10.58000,8.67400,8.70400,1.25000,1.24000,0.08220,0.10680,45.31090,36.17220,0.01130,3.28730,4.08920,0.40820,3.01710,36.82400,3.5396,3.4745
2020-09-30,29.63600,2.57000,27.06600,15.77800,16.11600,10.95000,10.95000,2.16800,8.78200,8.78200,8.78200,8.62700,8.65100,1.01000,1.01000,0.09120,0.11800,40.45670,32.44660,0.01050,2.80280,3.51440,0.34050,2.54720,35.48000,0.6215,0.5637
2020-06-30,28.77300,3.25300,25.52000,21.58200,21.92400,3.59600,3.59600,0.67500,2.92100,2.92100,2.92100,8.70200,8.73000,0.33000,0.33000,0.10180,0.13120,18.87760,15.33410,0.00720,0.94430,1.18960,0.11080,0.84820,34.49990,0.5843,0.5584
2020-03-31,28.60700,3.92600,24.68100,21.32000,21.67300,3.00800,3.00800,0.52600,2.48200,2.48200,2.48200,8.88300,8.92700,0.27000,0.27000,0.14850,0.19220,16.32650,13.47160,0.00820,0.79680,1.00330,0.11040,0.67850,34.35120,0.88760,0.79030
2019-12-31,28.94300,4.18600,24.75700,16.08300,16.46500,8.29200,8.29200,1.68600,6.60600,6.60600,6.60600,9.07400,9.14600,0.74000,0.74000,0.11380,0.14590,34.48680,27.47460,0.01090,2.08830,2.62290,0.30020,1.85070,34.19030,1.3962,1.3068
2019-09-30,30.24800,4.33300,25.91500,17.36300,17.75600,8.15900,8.15900,1.30300,6.85600,6.85600,6.85600,9.05900,9.10700,0.76000,0.75000,0.13200,0.16970,32.94040,27.67980,0.01120,2.17870,2.74430,0.30910,1.89120,33.72380,0.9004,0.823
