Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,189.22500,85.00800,104.21700,11.41600,,49.72300,54.49400,-17.05200,37.44200,0.13000,37.31200,,37.39700,,36.08500,95.11800,54.49400,112.31400,113.01000,0.32000,0.32000,0.60940,1.56000,28.79850,28.79850,19.78700,19.06990,0.04470,2.44010,2.44010,0.88320,0.95320,13.59970,0.5727,0.0214
2024-06-30,187.34300,83.02200,104.32100,12.03200,,50.19300,54.12800,-17.73300,36.39500,0.01400,36.38100,,36.40700,,35.11400,94.55700,54.12800,112.29300,112.78500,0.31000,0.31000,0.60960,1.56150,28.89250,28.89250,19.42690,18.74320,0.04440,2.37880,2.37880,0.86290,0.92860,13.58640,0.8317,0.5923
2024-03-31,193.26600,92.75300,100.51300,11.74700,,50.09800,50.41500,-16.64500,33.77000,0.16800,33.60200,,33.67100,,32.60900,91.07300,50.41500,112.23100,112.74000,0.29000,0.29000,0.61300,1.58370,26.08580,26.08580,17.47330,16.87260,0.04570,2.20640,2.20640,0.79550,0.85400,13.54790,0.62970,0.27550
2023-12-31,179.72900,81.74400,97.98500,11.34500,,48.08000,49.90500,-14.72400,35.18100,0.12100,35.06000,,34.82000,,33.65200,88.94400,49.90500,112.17800,112.17800,0.30000,0.30000,0.61330,1.58570,27.76680,27.76680,19.57450,18.72370,0.04230,2.28510,2.28510,0.81990,0.88370,13.53790,0.5943,0.1153
2023-09-30,168.55600,73.28100,95.27500,10.57600,-252.79700,300.99300,-205.71800,-15.26900,-220.98700,0.15200,-221.13900,,-221.20700,,-216.18700,-166.09400,-205.71800,112.19600,112.19600,-1.94000,-1.94000,0.61290,1.58320,-122.04730,-122.04730,-131.10600,-128.25830,0.03980,-14.49710,-14.49710,-5.21810,-5.61200,13.55750,0.6179,0.0339
2023-06-30,169.19600,75.15500,94.04100,10.35800,,47.95800,46.08300,-14.36200,31.72100,0.19000,31.53100,,31.64200,,30.28700,85.54200,46.08300,112.18800,112.67600,0.27000,0.27000,0.55050,1.22480,27.23650,27.23650,18.74810,17.90050,0.03980,1.78090,1.78090,0.74520,0.80050,15.78740,0.729,0.0724
2023-03-31,167.50100,74.62100,92.88000,10.49000,,47.48500,45.39500,35.19200,80.58700,0.12500,80.46200,,80.39800,,78.77900,84.24200,45.39500,112.12700,112.62800,0.70000,0.70000,0.54550,1.20020,27.10130,27.10130,48.11140,47.03200,0.04010,4.54530,4.54530,1.92430,2.06580,15.72080,0.52160,1.56970
2022-12-31,175.24710,81.92400,93.32310,11.94100,,48.06500,45.25810,6.82300,52.08100,0.22300,51.85800,,52.08700,,50.47900,84.00110,45.25800,112.07300,112.62000,0.44000,0.45000,0.56450,1.29650,25.82530,25.82530,29.71860,28.80450,0.04120,3.02580,3.02580,1.22350,1.31760,15.31220,0.6989,0.7025
2022-09-30,182.50000,91.21800,91.28200,9.45000,,44.69700,46.58500,-14.51000,32.07500,0.06700,32.00800,,32.31600,,30.92100,83.58600,46.58500,112.09300,112.63100,0.28000,0.27000,0.57170,1.33470,25.52600,25.52600,17.57530,16.94300,0.04270,1.90020,1.91350,0.75690,0.81390,15.12740,0.4299,-0.2839
2022-06-30,185.80300,95.42000,90.38300,9.05600,,43.86800,46.51500,-13.23400,33.28100,0.00400,33.27700,,33.59500,,32.31000,83.02800,46.51500,112.08200,112.63700,0.29000,0.29000,0.56220,1.28410,25.03460,25.03460,17.91200,17.38940,0.04440,1.98090,1.99570,0.80270,0.86720,15.08520,0.7634,0.3089
