Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.87640,0.67990,0.19650,1.32890,1.32880,-1.13230,0.00350,-1.12890,-1.12890,-1.12890,-1.12890,-1.10340,-1.13230,10.58200,10.58200,-0.11000,-0.11000,2.95140,0.31560,0.46120,22.42350,-129.20390,-129.20390,-128.80900,-128.80900,0.15290,0.80570,1.61050,55.88480,-34.50200,-280.11210,-19.69600,-23.61270,0.26900,-0.0112,-0.0111
2024-06-30,1.50790,1.18330,0.32470,0.85110,0.85110,-0.52650,0.00550,-0.52100,-0.52100,-0.52100,-0.52100,-0.52210,-0.52650,10.18800,10.18800,-0.05000,-0.05000,10.83440,,,21.53060,-34.91390,-34.91390,-34.54880,-34.54880,0.44880,1.60340,2.08250,43.21820,-17.05160,-17.05160,-15.50650,-17.05160,0.29760,-0.0312,-0.0335
2024-03-31,1.00640,0.84280,0.16350,1.87860,1.87860,-1.71500,0.00500,-1.71000,-1.71000,-1.71000,-1.71000,-1.71210,-1.71500,10.04400,10.04400,-0.17000,-0.17000,10.37820,,,16.25140,-170.41730,-170.41730,-169.92020,-169.92020,0.26490,1.40900,1.20480,74.70200,-49.75790,-49.75790,-45.01720,-49.75790,0.33810,-0.11650,-0.11650
2023-12-31,1.20360,0.85940,0.34430,1.12690,1.12690,-0.78270,0.02560,-0.75710,-0.75710,-0.75710,-0.75710,-0.77980,-0.78270,7.68900,7.68900,-0.11000,-0.11000,10.73730,,,28.60160,-65.02770,-65.02770,-62.90400,-62.90400,0.26490,2.79920,1.70240,52.86780,-18.35820,-18.35820,-16.66560,-18.35820,0.42230,-0.0481,-0.0484
2023-09-30,1.12810,0.89870,0.22940,1.71780,1.71780,-1.48840,0.00170,-1.48670,-1.48670,-1.48670,-1.48670,-1.48610,-1.48840,8.00700,8.00700,-0.19000,-0.19000,9.58480,,,20.33130,-131.94550,-131.94550,-131.79680,-131.79680,0.22710,3.60510,1.63490,55.04790,-33.38290,-33.38290,-29.93390,-33.38290,0.47130,-0.1222,-0.111
2023-06-30,2.34200,1.83390,0.50800,0.25810,0.25810,0.24990,-0.02190,0.22800,0.22800,0.22800,0.22800,0.24770,0.24990,6.50000,6.50000,0.04000,0.04000,,1.25630,-4.90210,21.69220,10.67270,10.67270,9.73640,9.73640,21.85540,,,,-837.60780,-837.60800,212.79240,214.65740,-0.01600,0.0938,0.0818
2023-03-31,1.08690,0.85110,0.23580,0.25160,0.25160,-0.01580,-0.02220,-0.03800,-0.03800,-0.03800,-0.03800,-0.01200,-0.01580,6.50000,6.50000,-0.01000,-0.01000,,,,21.69700,-1.45020,-1.45020,-3.49640,-3.49640,,,,,,,,,,-0.02320,-0.02770
2022-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,-0.0451,-0.0413
2022-09-30,1.51750,1.11540,0.40220,0.15940,0.15940,0.24280,0.00000,0.24280,0.24280,0.24280,0.24280,0.24280,0.24280,6.50000,6.50000,0.04000,0.04000,,,,26.50130,15.99920,15.99920,16.00020,16.00020,,,,,,,,,,0.0451,0.0413
2022-06-30,,,,0.00140,,-0.00140,,-0.00140,-0.00140,-0.00140,-0.00140,-0.00140,-0.00140,1.70000,,0.00000,0.00000,,,,,,,,,,,,,,,,,,0,0
