Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,427.10300,178.09900,249.00400,143.90700,-0.18700,214.64100,34.36300,-50.28800,-15.92500,-2.94800,-12.97700,-12.97700,-12.97700,104.90800,34.36300,60.74900,60.74900,-0.21000,-0.21000,1.13830,0.73410,2.77240,58.30070,8.04560,8.04560,-3.72860,-3.03840,0.08680,1.26310,71.25060,-1.47970,0.59210,-0.26370,-0.39350,14.43120,1.6283,1.5552
2024-06-30,439.92400,183.82500,256.09900,150.05900,-0.14400,219.58400,36.51500,-32.73800,3.77700,5.20700,-1.43000,-1.43000,-1.43000,105.39500,36.51500,71.50000,71.50000,-0.02000,-0.02000,1.15290,0.73890,2.84100,58.21440,8.30030,8.30030,0.85860,-0.32510,0.08960,1.27810,70.41670,-0.16570,0.06500,-0.02910,-0.04330,14.21150,0.6305,0.5754
2024-03-31,417.73800,170.37300,247.36500,144.80800,-0.17700,214.40000,32.96500,-22.61000,10.35500,7.29900,3.05600,3.05600,3.05600,101.54600,32.96500,61.62950,61.95820,0.05000,0.05000,1.12280,0.73690,2.81190,59.21530,7.89130,7.89130,2.47880,0.73160,0.08270,1.17450,76.63140,0.34970,-0.13630,0.06050,0.09200,14.37980,0.94960,0.88960
2023-12-31,414.54090,173.58200,240.95890,125.03000,,194.67790,46.28100,-45.01200,1.26900,13.39800,-12.12900,-12.12900,-12.12900,113.38000,46.28100,61.43400,61.43400,-0.20000,-0.20000,1.11320,0.73830,2.83230,58.12670,11.16440,11.16440,0.30610,-2.92590,0.07930,1.24370,72.36310,-1.37310,0.52640,-0.23200,-0.35940,14.31190,1.0112,0.9989
2023-09-30,396.41000,164.07700,232.33300,121.19500,,189.10400,43.22900,-28.76000,14.46900,17.01800,-2.54900,-2.54900,-2.54900,110.30300,43.22900,61.62400,61.62400,-0.04000,-0.04000,1.11860,0.74040,2.86440,58.60930,10.90510,10.90510,3.65000,-0.64300,0.07520,1.30530,68.95200,-0.29030,0.11080,-0.04830,-0.07540,14.23960,1.6047,1.5156
2023-06-30,402.33800,166.61400,235.72400,133.60000,,201.55800,34.16600,-29.38600,4.78000,6.54500,-1.76500,-1.76500,-1.76500,100.59100,34.16600,58.83300,58.83300,-0.03000,-0.03000,1.10180,0.74370,2.91320,58.58860,8.49190,8.49190,1.18810,-0.43870,0.07430,1.50540,59.78630,-0.19960,0.07430,-0.03260,-0.05120,14.35310,0.865,0.8022
2023-03-31,387.84900,158.93900,228.91000,128.31100,,193.93000,34.98000,-34.90900,0.07100,3.87900,-3.80800,-3.80800,-3.80800,98.52700,34.98000,60.95240,60.95240,-0.06000,-0.06000,1.09660,0.74920,2.99840,59.02040,9.01900,9.01900,0.01830,-0.98180,0.06760,1.39510,64.51150,-0.43720,0.15860,-0.06640,-0.10970,14.21500,0.32840,0.28350
2022-12-31,383.56800,156.12500,227.44290,136.98800,0.00000,209.20700,18.23590,-51.70000,-33.46400,0.24700,-33.71110,-33.71110,-33.71110,85.95890,18.23610,60.52000,60.52000,-0.50000,-0.50000,1.08560,0.75390,3.07510,59.29670,4.75430,4.75430,-8.72440,-8.78880,0.06440,1.24900,72.05720,-3.92150,1.38670,-0.56590,-0.96510,14.14130,-18.7176,-18.7492
2022-09-30,365.98800,151.81000,214.17800,132.25000,-0.69900,209.51600,4.66200,3.59900,8.26100,7.28300,0.97800,0.97800,0.97800,70.75000,4.66200,60.59250,60.66270,0.02000,0.02000,1.05890,0.74470,2.92860,58.52050,1.27380,1.27380,2.25720,0.26720,0.05980,1.23770,72.71300,0.11390,-0.04130,0.01600,0.02910,,-0.1638,-0.1769
2022-06-30,378.91300,158.98700,219.92600,134.70900,-0.66000,923.01200,-703.08620,27.72900,-675.35700,-16.61800,-658.73900,-658.73900,-658.73900,-633.50120,-703.08620,60.50000,60.50000,-10.89000,-10.89000,1.08660,0.75140,3.03420,58.04130,-185.55350,-185.55350,-178.23540,-173.84970,0.05850,1.42780,63.03230,-74.93400,26.89950,-10.16660,-18.62800,14.51270,14.4451,14.4255
2022-03-31,367.66800,147.10300,220.56500,130.56800,,1412.31300,-1191.74800,-22.47800,-1214.22600,-43.41400,-1170.81200,-1170.81200,-1171.18300,-1128.32500,-1191.74800,60.30000,60.30000,-19.41000,-19.41000,1.11770,0.63360,1.73580,59.99030,-324.13700,-324.13700,-330.25060,-318.54360,0.05660,1.26590,71.09390,-74.91040,46.08450,-18.00890,-27.44690,25.89110,8.35570,8.34490
2021-12-31,371.66090,148.11100,223.54990,127.03100,,194.58480,28.96510,42.55200,71.51700,-19.00500,90.52200,90.52200,90.29600,92.92910,28.96510,60.30900,60.30900,0.44090,1.04120,1.41240,0.50370,1.01870,60.14890,7.79340,7.79340,19.24250,24.29530,0.05110,1.21080,74.33370,3.34300,-4.22120,1.24560,1.65910,44.89750,2.1859,2.1666
2021-09-30,353.58500,144.85200,208.73300,111.04100,,509.91600,-301.18300,77.21800,-223.96500,-76.85900,-147.10600,-147.10600,-147.20000,-239.35100,-301.18300,60.28420,60.28420,-2.40100,-2.40100,1.12460,0.45670,0.84310,59.03330,-85.17980,-85.17980,-63.34120,-41.63070,0.05360,1.20700,74.56340,-5.64500,7.02600,-2.23120,-3.06670,43.22730,0.8599,0.8052
2021-06-30,384.34300,155.77800,228.56500,113.03700,0.02800,188.99800,39.56700,-16.09200,23.47500,16.69000,6.78500,6.78500,6.59700,109.68100,39.56700,60.28520,60.64470,0.12000,-0.48020,1.12880,0.43470,0.77120,59.46900,10.29470,10.29470,6.10780,1.71640,0.05570,1.23860,72.66050,0.24670,-0.30920,0.09840,0.13950,,0.6762,0.657
2021-03-31,377.42400,151.03700,226.38700,193.99800,,263.00800,-36.62100,-29.84400,-66.46500,-5.93600,-60.52900,-60.52900,-60.64700,28.84100,-36.62100,,,,0.00000,1.12580,0.42800,0.75400,59.98210,-9.70290,-9.70290,-17.61020,-16.06870,0.05410,1.11380,80.80240,-2.20690,2.76860,-0.86750,-1.26230,,0.00000,
2020-12-31,370.28500,143.83800,226.44700,127.73600,13.49600,220.78600,5.66100,-51.19900,-45.53800,-24.28900,-21.24900,-21.24900,-21.63200,70.69500,5.66100,60.28520,60.28520,3.00120,3.00120,1.20580,0.62680,1.68770,178.61620,1.52880,1.52880,-12.29810,-5.84200,0.05000,0.99160,90.76490,-1.09930,0.69130,-0.28680,-0.41020,185.40820,-9.7889,-9.6573
2020-09-30,355.50500,135.35200,220.15300,112.87300,-0.09800,224.01800,-3.86500,-49.06200,-52.92700,-14.30500,-38.62200,-38.62200,-38.12700,62.27600,-3.86500,10.42570,10.42570,-3.60140,-3.60140,3.77290,,,61.92680,-1.08720,-1.08720,-14.88780,-10.72470,0.34300,,,-772.42460,-772.43990,-3.72660,-772.43990,,3.6222,3.5665
2020-06-30,341.03400,126.24500,214.78900,104.41400,,181.30300,33.48600,-52.02900,-18.54300,-2.71400,-15.82900,-15.82900,-15.90100,100.97800,33.48600,10.42560,10.42560,-1.56060,-1.56060,2.20550,,,62.98170,9.81900,9.81900,-5.43730,-4.66260,0.32900,,,-316.55470,-1.58330,-1.52680,-316.58000,,12.9529,12.7877
2020-03-31,359.66500,129.38800,230.27700,117.50700,-0.26100,245.87900,-15.60200,-53.30300,-68.90500,-17.89100,-51.01400,-51.01400,-51.05500,53.89700,-15.60200,,,,0.00000,,,,64.02540,-4.33790,-4.33790,-19.15810,-14.19520,,,,,,,,,0.00000,
2019-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2019-06-30,,,,0.11040,,,-0.11040,-0.12450,0.01410,-0.01560,0.02970,0.02970,0.02970,-0.11040,-0.11040,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
