Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,10.80800,4.69700,,-15.50500,1.72200,-13.78300,-13.78300,-13.78300,-13.78300,-15.91000,-15.50500,12.01470,12.01470,-1.15000,-1.15000,13.84000,,,,,,,,,,,-9.15830,-9.15830,-8.39550,-9.15830,12.35720,-1.038,-1.038
2024-06-30,,,6.86500,4.12300,,-10.98800,0.99100,-9.99700,-9.99700,-9.99700,-9.99700,-11.66290,-10.98800,11.05320,11.05320,-0.90000,-0.90000,6.18480,,0.08620,,,,,,,,,-7.96300,-7.96300,-6.57790,-7.96300,10.91770,-0.5712,-0.5712
2024-03-31,,,5.76150,3.86130,,-9.62270,2.72400,-6.89880,-6.89880,-6.89880,-6.89880,-10.19290,-9.62270,8.31050,8.31050,-0.83000,-0.83000,4.69450,,0.13360,,,,,,,,,-7.11470,-7.11470,-5.48640,-7.11470,9.22870,-0.95870,-0.95870
2023-12-31,,,6.97930,3.12400,,-10.10330,2.08180,-8.02150,-8.02150,-8.02150,-8.02150,-9.84550,-10.10330,4.32760,4.32760,-1.75000,-1.75000,0.73830,,-2.34740,,,,,,,,,116.16960,116.16950,-28.37260,116.16950,-1.56080,-1.5394,-1.5394
2023-09-30,,,6.55100,2.93700,,-9.48800,-0.56500,-10.05300,-10.05300,-10.05300,-10.05300,-9.27800,-9.48800,4.42360,4.42360,-2.27000,-2.27000,0.98930,,57.39110,,,,,,,,,-3232.52000,-3232.30900,-27.70690,-3232.30900,0.07030,-1.4455,-1.4455
2023-06-30,,,4.24900,3.94000,,-8.18900,-0.59500,-8.78400,-8.78400,-8.78400,-8.78400,-7.87910,-8.18900,4.27770,4.27770,-2.05000,-2.05000,2.33580,0.54320,1.93120,,,,,,,,,-92.26330,-92.26320,-20.08990,-42.14980,2.15250,-1.7424,-1.7424
2023-03-31,,,13.38830,3.90870,,-17.29700,-0.44780,-17.74480,-17.74480,-17.74480,-17.74480,-17.11590,-17.29700,4.18160,4.18160,-4.24000,-4.24000,3.19420,0.45910,1.16560,,,,,,,,,-107.81240,-107.81250,-34.35900,-58.31100,3.90490,-3.61470,-3.61470
2022-12-31,,,6.24280,4.55410,,-10.79680,-0.08220,-10.87910,-10.87910,-10.87910,-10.87910,-10.51780,-10.79680,4.17070,4.17070,-2.60000,-2.60000,4.76120,0.32640,0.58000,,,,,,,,,-32.97680,-32.97680,-16.40590,-22.21370,7.90940,-1.7878,-1.7878
2022-09-30,,,4.10820,4.07330,,-8.18150,-0.60030,-8.78170,-8.78170,-8.78170,-8.78170,-8.23680,-8.18150,4.17090,4.17090,-2.11000,-2.11000,3.85520,0.18280,0.45940,,,,,,,,,-20.93570,-20.93570,-11.89440,-17.10770,10.05460,-1.7365,-1.7366
2022-06-30,,,2.49960,4.84040,-5.00000,-12.34000,-0.90890,-13.24890,-13.24890,-13.24890,-13.24890,-11.76090,-12.34000,4.17050,4.17050,-3.18000,-3.18000,4.81380,0.19010,0.38810,,,,,,,,,-26.78170,-26.78170,-16.14410,-21.69030,11.85920,-2.9321,-2.9301
2022-03-31,,,3.28620,5.23090,,-8.51720,-0.92010,-9.43720,-9.43720,-9.43720,-9.43720,-7.68960,-8.51720,4.17000,4.17000,-2.26000,-2.26000,5.85240,0.18330,0.31640,,,,,,,,,-15.43160,-15.43160,-9.86380,-12.60250,14.66190,-2.54560,-2.54880
2021-12-31,,,5.76360,4.23480,,-9.99840,-0.26240,-10.26070,-10.26070,-10.26070,-10.26070,-9.19180,-9.99840,4.09490,4.09490,-1.84070,-1.84070,5.89180,0.18450,0.28210,,,,,,,,,-14.84740,-14.84740,-9.52450,-12.10790,16.57270,-2.5375,-2.5467
