Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,51.83900,37.06800,14.77100,12.33200,12.33200,2.43900,0.13300,2.57200,0.69700,1.87500,1.87500,,1.87500,3.32700,2.43900,11.69500,12.01100,0.16000,0.16000,2.97790,,,28.49400,4.70500,4.70500,4.96150,3.61700,0.46500,1.52230,59.12270,2.16700,3.87730,1.68180,2.16700,7.39170,0.2748,0.269
2024-06-30,49.53400,35.55400,13.98000,12.28700,12.28700,1.69300,0.11600,1.80900,0.41800,1.39100,1.39100,,1.39100,2.62400,1.69300,11.65200,11.92200,0.12000,0.12000,2.98950,,,28.22300,3.41790,3.41790,3.65200,2.80820,0.46080,1.51740,59.31020,1.65520,3.07670,1.29390,1.65520,7.19420,0.102,0.0629
2024-03-31,46.82300,34.69200,12.13100,12.53700,12.53700,-0.40600,0.12400,-0.28200,-0.12100,-0.16100,-0.16100,,-0.16100,0.51600,-0.40600,11.61500,11.61500,-0.01000,-0.01000,2.80970,,,25.90820,-0.86710,-0.86710,-0.60230,-0.34380,0.44140,1.46250,61.53710,-0.19700,-0.38150,-0.15180,-0.19700,7.03190,-0.11420,-0.13810
2023-12-31,46.05200,34.70800,11.34400,12.97400,18.27400,-6.93000,0.04400,-6.88600,-1.53500,-5.35100,-5.35100,,-5.35100,-6.00000,-6.93000,11.61300,11.61300,-0.45000,-0.45000,2.84150,,,24.63300,-15.04820,-15.04820,-14.95270,-11.61950,0.43760,1.54460,58.26780,-6.57020,-12.97750,-5.08520,-6.57020,7.02220,0.4948,0.4837
2023-09-30,47.77900,35.21300,12.56600,12.61500,12.61500,-0.04900,0.20300,0.15400,0.02900,0.12500,0.12500,,0.12500,0.88600,-0.04900,11.59700,11.96800,0.01000,0.01000,2.85310,,,26.30030,-0.10260,-0.10260,0.32230,0.26160,0.43620,1.48020,60.80120,0.14500,0.31250,0.11410,0.14500,7.43170,-0.2469,-0.255
2023-06-30,52.20400,38.56000,13.64400,16.47200,16.47200,-2.82800,0.05000,-2.77800,-0.60500,-2.17300,-2.17300,,-2.17300,-1.79700,-2.82800,11.62000,11.62000,-0.19000,-0.19000,2.48280,,,26.13590,-5.41720,-5.41720,-5.32140,-4.16250,0.46940,1.59560,56.40600,-2.54630,-5.65270,-1.95380,-2.54630,7.35930,0.8683,0.8666
2023-03-31,55.06300,41.58100,13.48200,12.95000,12.95000,0.53200,-0.05300,0.47900,0.21800,0.26100,0.26100,,0.26100,1.56400,0.53200,11.63800,12.05400,0.02000,0.02000,2.87340,,,24.48470,0.96620,0.96620,0.86990,0.47400,0.50590,1.30860,68.77610,0.29960,0.66050,0.23980,0.29960,7.47610,0.25970,0.25170
2022-12-31,57.21600,42.99800,14.21800,12.23100,12.23100,1.98700,0.28400,2.27100,0.73300,1.53800,1.53800,,1.53800,2.94900,1.98700,11.58800,12.07700,0.13000,0.13000,2.71890,,0.01280,24.84970,3.47280,3.47280,3.96920,2.68810,0.52550,1.35190,66.57190,1.78830,4.07740,1.41260,1.78830,7.39940,0.4037,0.4023
2022-09-30,63.15000,46.86300,16.28700,12.93000,12.93000,3.35700,,3.35700,0.95100,2.40600,2.40600,,2.40600,4.49900,3.35700,11.61600,12.08400,0.21000,0.20000,2.15960,,0.02600,25.79100,5.31590,5.31590,5.31590,3.81000,0.55020,1.25200,71.88600,2.84850,6.76370,2.09630,2.84850,7.26910,0.4808,0.479
2022-06-30,62.11700,45.37100,16.74600,13.19800,13.19800,3.54800,0.06800,3.61600,1.18000,2.43600,2.43600,,2.43600,4.67400,3.54800,11.60700,12.11000,0.21000,0.20000,2.23390,0.07040,0.12960,26.95880,5.71180,5.71180,5.82130,3.92160,0.52140,1.21300,74.19420,2.98790,7.64980,2.04460,2.77770,7.02240,0.0301,0.0249
