Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1406.10000,1406.10000,523.60000,-918.30000,-89.00000,-55.40000,-144.40000,-41.00000,-103.40000,-103.40000,-104.00000,-34.70000,-89.00000,103.60000,103.60000,-1.00000,-1.00000,0.36150,-6.32960,-6.32960,-10.26950,-7.39630,0.08490,-2.02320,-3.26670,-0.62420,-2.02320,49.61750,2.3084,1.8043
2024-06-30,1612.30000,1612.30000,509.00000,-848.70000,202.50000,-50.90000,151.60000,35.20000,116.40000,116.40000,116.00000,256.50000,202.50000,104.10000,104.30000,1.11000,1.11000,0.28960,12.55970,12.55970,9.40270,7.19470,0.10640,2.40860,4.03200,0.76790,2.40860,46.87290,2.5577,2.0136
2024-03-31,1424.60000,1424.60000,484.90000,-783.10000,106.50000,-48.20000,58.30000,11.60000,46.70000,46.70000,46.70000,158.70000,106.50000,104.10000,104.40000,0.45000,0.45000,0.29050,7.47580,7.47580,4.09240,3.27810,0.09690,0.97170,1.63800,0.31770,0.97170,46.34430,0.66380,0.16860
2023-12-31,1429.30000,1429.30000,501.20000,-790.99990,87.49960,-49.10000,38.40000,4.10000,34.30000,34.30000,34.10000,140.09960,87.49980,104.30000,104.60000,0.33000,0.32000,0.28660,6.12190,6.12190,2.68660,2.38580,0.08510,0.70540,1.18210,0.20410,0.70540,47.16590,-0.4132,-0.9611
2023-09-30,1481.20000,1481.20000,485.80000,-896.30000,51.80010,-53.50000,-1.70000,-0.50000,-1.20000,-1.20000,-1.70000,101.80000,51.80010,104.20000,104.20000,-0.02000,-0.02000,0.30650,3.49720,3.49720,-0.11480,-0.11480,0.10090,-0.02640,-0.04650,-0.00820,-0.02640,43.96900,2.1095,1.4742
2023-06-30,1646.90000,1646.90000,514.50000,-858.40000,227.90000,-49.80000,178.10000,41.70000,136.40000,136.40000,138.50000,275.30000,227.90000,104.30000,104.50000,1.33000,1.33000,0.29110,13.83810,13.83810,10.81430,8.40970,0.10470,2.84940,4.85370,0.86710,2.84940,46.38470,2.5716,1.8388
2023-03-31,1446.10000,1446.10000,487.60000,-809.80000,103.20010,-43.60000,59.60000,13.60000,46.00000,46.00000,45.90000,150.30010,103.20010,104.50000,104.80000,0.44000,0.44000,0.29180,7.13640,7.13640,4.12140,3.17410,0.09400,0.96260,1.64960,0.29900,0.96260,46.26230,-0.88070,-1.48190
2022-12-31,1684.70000,1684.70000,549.80000,-984.30040,107.10010,-49.40000,57.70000,3.10000,54.60000,54.60000,54.30000,151.10010,107.09990,107.00000,107.30000,0.54000,0.54000,0.35160,6.35720,6.35720,3.42490,3.22310,0.11260,1.16640,2.03030,0.36510,1.16640,45.36050,2.2024,1.5744
2022-09-30,1824.30000,1824.30000,569.80000,-1168.40000,44.70000,-47.90000,-3.20000,-5.60000,2.40000,2.40000,2.00000,87.10000,44.70000,105.30000,105.50000,0.02000,0.02000,0.36350,2.45030,2.45030,-0.17540,0.10960,0.11070,0.05300,0.09540,0.01460,0.05300,43.65130,2.9206,2.2786
2022-06-30,2062.50000,2062.50000,618.30000,-1218.00000,184.60010,-43.20000,141.40000,31.20000,110.20000,110.20000,108.80000,232.30010,184.60010,107.90000,108.10000,1.01000,1.01000,0.33370,8.95030,8.95030,6.85580,5.27520,0.12680,2.23390,3.78690,0.67770,2.23390,46.98100,1.7783,1.0785
2022-03-31,2033.70000,2033.70000,601.70000,-1217.60000,173.39990,-43.60000,129.80000,31.70000,98.10000,98.10000,97.90000,225.59990,173.39990,110.40000,110.80000,0.89000,0.88000,0.30620,8.52630,8.52630,6.38250,4.81390,0.12310,1.82380,2.74560,0.59360,1.82380,49.48480,0.34570,-0.04240
2021-12-31,2372.80000,2372.80000,642.30000,-1309.20000,380.89940,-48.60000,332.30000,71.20000,261.10010,261.10010,260.10000,434.99940,380.89940,111.00000,111.40000,2.34000,2.32000,0.28500,16.05270,16.05270,14.00460,10.96170,0.14420,4.51500,6.56530,1.58710,4.51500,52.71650,3.087,2.6859
2021-09-30,2556.00000,2556.00000,585.00000,-1282.00000,650.00000,-46.00000,604.00000,154.00000,450.00000,450.00000,445.00000,700.00000,650.00000,111.00000,111.40000,4.01000,4.00000,0.29380,25.43040,25.43040,23.63070,17.41000,0.15320,8.01710,11.22720,2.69690,8.01710,51.10980,3.574,3.1888
2021-06-30,2266.00000,2266.00000,588.00000,-1200.00000,437.00000,-38.00000,399.00000,95.00000,304.00000,304.00000,302.00000,489.00000,437.00000,110.90000,111.20000,2.73000,2.72000,0.19110,19.28510,19.28510,17.60810,13.32750,0.14690,5.76320,8.17460,1.97060,5.76320,47.98850,2.2788,2.0356
2021-03-31,2026.00000,2026.00000,535.00000,-1107.00000,346.00000,-40.00000,306.00000,72.00000,234.00000,234.00000,234.00000,395.00000,346.00000,111.10000,111.40000,2.10000,2.10000,0.20330,17.07800,17.07800,15.10370,11.54990,0.14040,4.71240,6.86730,1.62140,4.71240,45.24900,2.01080,1.75940
