Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,466.83400,85.93700,380.89700,18.63000,96.46900,-185.96700,301.06600,79.83100,26.43600,106.26700,17.33700,88.93000,88.93000,88.86100,79.83100,79.83100,254.77480,260.19440,0.35000,0.34000,2.60020,0.00040,81.59150,17.10050,17.10050,22.76330,19.03480,0.14380,0.83350,107.98270,4.19230,4.24580,2.73970,4.19230,,0.9013,0.9013
2024-06-30,435.93100,79.15400,356.77700,16.41000,79.14900,-184.36200,279.92100,76.85600,9.31000,86.16600,10.34100,75.82500,75.82500,75.84000,76.85600,76.85600,259.73060,266.84400,0.29000,0.28000,2.35250,0.00040,81.84250,17.63030,17.63030,19.76600,17.39730,0.14430,0.76050,118.33730,3.83320,3.88390,2.51000,3.83320,,0.4977,0.4977
2024-03-31,438.35900,74.72800,363.63100,16.68800,73.61700,-186.28700,276.59200,87.03900,4.29400,91.33300,17.65500,73.67800,73.67800,73.08600,87.03900,87.03900,262.30200,268.23860,0.28000,0.27000,2.47570,0.00040,82.95280,19.85560,19.85560,20.83520,16.67260,0.14790,0.80670,111.56280,3.84940,3.89130,2.48590,3.84940,,0.10040,0.10040
2023-12-31,460.65100,80.36200,380.28900,18.24000,87.16300,-345.21100,450.61420,-70.32520,152.75300,82.42800,7.31900,75.10900,75.10900,74.34000,-70.32520,-70.32510,274.94260,280.58960,0.27000,0.28000,2.07180,0.00040,82.55470,-15.26650,-15.26650,17.89380,16.13800,0.15360,0.82500,109.08590,3.84450,3.88630,2.50430,3.84450,7.36460,0.0365,-0.2336
2023-09-30,438.25700,71.27000,366.98700,18.17300,86.17800,-186.78900,291.14000,75.84700,17.04900,92.89600,14.12600,78.77000,78.77000,77.57000,75.84700,75.84700,271.36060,276.41000,0.29000,0.28000,2.49290,,83.73790,17.30650,17.30650,21.19670,17.69970,0.14380,0.80680,111.55570,4.23950,4.28660,2.58510,4.23950,,0.1021,0.1021
2023-06-30,424.15500,71.15400,353.00100,17.18000,77.17300,-179.29100,273.64400,79.35700,16.53600,95.89300,14.51200,81.38100,81.38100,76.46000,79.35700,79.35700,277.41800,284.79520,0.28000,0.27000,2.29920,,83.22450,18.70940,18.70940,22.60800,18.02640,0.14170,0.79610,113.05340,4.50050,4.55230,2.71880,4.50050,,0.2303,0.2303
2023-03-31,444.20800,74.61500,369.59300,18.37800,70.26000,-30.07100,118.70900,250.88400,-130.74600,120.13800,19.69200,100.44600,100.44600,101.32900,250.88400,250.88400,282.11500,287.37800,0.36000,0.35000,2.49990,,83.20270,56.47900,56.47900,27.04540,22.81120,0.14290,0.79230,113.59930,5.45880,5.52400,3.23230,5.45880,,0.34060,0.34060
2022-12-31,412.59400,68.39300,344.20100,18.55800,83.31000,-160.25600,262.12400,82.07710,8.76100,90.83800,16.84900,73.98900,73.98900,73.27100,82.07710,82.07700,282.52980,290.85820,0.27000,0.25000,2.38330,,83.42370,19.89290,19.89290,22.01630,17.75860,0.13310,0.73210,122.94030,4.10070,4.15050,2.38660,4.10070,6.38370,0.1496,0.1233
2022-09-30,417.71900,69.58900,348.13000,17.65600,89.34900,-148.36700,255.37200,92.75800,8.21100,100.96900,15.84900,85.12000,85.12000,84.21100,92.75800,92.75800,282.45820,292.66760,0.30000,0.29000,1.95650,,83.34070,22.20580,22.20580,24.17150,20.15970,0.14190,0.80480,111.82630,5.04040,5.10370,2.89130,5.04040,,0.1664,0.1664
2022-06-30,398.02200,79.07800,318.94400,17.31300,63.14600,-140.44300,220.90200,98.04200,7.00400,105.04600,17.67900,87.36700,87.36700,86.77300,98.04200,98.04200,284.56680,294.03120,0.30000,0.30000,2.50060,,80.13230,24.63230,24.63230,26.39200,21.80110,0.13570,0.79550,113.13800,5.12900,5.19690,2.97930,5.12900,,-0.1632,-0.1632
2022-03-31,385.97300,78.51100,307.46200,17.73100,66.74600,-131.17000,215.64700,91.81500,8.02100,99.83600,15.55900,84.27700,84.27700,84.34100,91.81500,91.81500,286.34920,294.90000,0.29000,0.29000,2.65700,,79.65890,23.78790,23.78790,25.86610,21.85150,0.12610,0.82010,109.74610,4.93440,5.00340,2.75390,4.93440,,-0.01880,-0.01880
2021-12-31,-850.43040,-159.48090,-690.94950,-36.03290,-188.50750,208.27700,-432.81740,-258.13210,-9.79770,-267.92980,-44.65680,-223.27300,-223.27300,-224.09840,-258.13210,-258.13210,284.17420,296.50040,-0.79190,-0.76130,2.29190,,81.24700,30.35310,30.35310,31.50520,26.35120,-0.29880,-1.92000,-46.87520,-13.28550,-13.47340,-7.84420,-13.28550,5.86060,0.1181,0.0889
2021-09-30,391.89100,71.32400,320.56700,16.21900,79.25700,-111.82000,207.29600,113.27100,2.29300,115.56400,17.41000,98.15400,98.15400,98.75800,113.27100,113.27100,284.97300,296.27500,0.35000,0.33000,2.58310,,81.80000,28.90370,28.90370,29.48880,25.20040,0.15520,0.98370,91.48790,6.30140,6.39660,3.88760,6.30140,,0.0725,0.0725
2021-06-30,369.25000,70.47100,298.77900,16.20800,92.82300,-80.60800,189.63900,109.14000,4.00100,113.14100,17.04800,96.09300,96.09300,97.01400,109.14000,109.14000,284.41280,297.42760,0.34000,0.33000,2.67570,,80.91510,29.55720,29.55720,30.64080,26.27330,0.15690,0.94900,94.83280,6.61620,6.72330,4.08200,6.61620,,-0.0086,-0.0086
2021-03-31,322.49100,63.04400,259.44700,14.31400,68.20100,-76.84700,159.36200,100.08500,6.51700,106.60200,16.12900,90.47300,90.47300,90.10900,100.08500,100.08500,281.05900,295.16100,0.32000,0.31000,2.52250,,80.45090,31.03500,31.03500,33.05580,27.94160,0.14170,0.91080,98.80910,6.77880,6.89660,3.97580,6.77880,,0.15150,0.15150
2020-12-31,341.24100,79.46800,261.77300,18.86600,61.78700,-186.14100,266.79400,-5.02100,114.05900,109.03800,18.89100,90.14700,90.14700,89.69100,-5.02100,-5.02090,295.43260,298.26500,0.30560,0.30750,2.67660,,76.71210,-1.47140,-1.47140,31.95340,26.28380,0.14960,1.12150,80.25310,6.97730,7.10310,3.95240,6.97730,4.59730,0.402,0.3963
2020-09-30,264.12900,49.91100,214.21800,13.69600,32.50600,-66.53300,112.73500,101.48300,3.87600,105.35900,17.43800,87.92100,87.92100,88.76300,101.48300,101.48300,290.75900,293.46960,0.31000,0.30000,2.98270,0.01860,81.10360,38.42180,38.42180,39.88920,33.60590,0.11780,0.97280,92.51230,7.40220,7.53980,3.92060,7.40220,,0.4217,0.4217
2020-06-30,256.25400,38.54400,217.71000,11.80400,23.88800,-101.74100,137.43300,80.27700,4.85800,85.13500,20.87400,64.26100,64.26100,64.64300,80.27700,80.27700,302.77100,304.30100,0.21000,0.21000,2.88020,0.01970,84.95870,31.32710,31.32710,33.22290,25.22610,0.12090,0.93850,95.90040,5.95410,6.07130,3.03290,5.95410,,0.5781,0.5781
