Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,11.34300,5.73000,-17.07300,3.27400,-13.79900,-13.79900,-13.79900,-13.79900,-17.04700,-17.07300,41.31800,41.31800,-0.33000,-0.33000,42.49570,-4.67990,-4.67990,-4.53180,-4.67990,6.59160,-0.2945,-0.2903
2024-06-30,5.34000,5.37400,-10.71400,3.15400,-7.56000,-7.56000,-7.56000,-7.56000,-10.71600,-10.71400,39.57050,39.57050,-0.19000,-0.19000,50.28540,-2.80950,-2.80950,-2.72230,-2.80950,6.70950,-0.1123,-0.1165
2024-03-31,6.22600,5.06400,-11.29000,3.43200,-7.85800,-7.85800,-7.85800,-7.85600,-11.27800,-11.29000,40.21300,40.21300,-0.20000,-0.20000,66.10180,-2.98220,-2.98220,-2.90480,-2.98220,6.54610,-0.15650,-0.15650
2023-12-31,2.86400,4.18500,-7.04900,3.35600,-3.69300,-3.69300,-3.69300,-3.68900,-7.03600,-7.04900,39.64500,39.64500,-0.10000,-0.10000,50.28540,-1.37240,-1.37240,-1.32980,-1.37240,6.70950,-0.1419,-0.1419
2023-09-30,5.96900,4.87800,-10.84700,3.50400,-7.34300,-7.34300,-7.34300,-7.34300,-10.84900,-10.84700,39.69000,39.69000,-0.19000,-0.19000,46.99880,-2.69010,-2.69010,-2.60160,-2.69010,6.86950,-0.001,-0.0053
2023-06-30,8.39400,5.67600,-14.07000,3.36300,-10.70700,-10.70700,-10.70700,-10.70700,-14.04900,-14.07000,40.55550,40.55550,-0.26000,-0.26000,66.39000,-3.85130,-3.85130,-3.74600,-3.85130,7.01530,-0.2031,-0.2031
2023-03-31,6.73700,5.25100,-11.98800,2.90700,-9.08100,-9.08100,-9.08100,-9.08500,-11.98500,-11.98800,39.43900,39.43900,-0.23000,-0.23000,57.76150,-3.21260,-3.21260,-3.11650,-3.21260,7.15900,-0.16920,-0.16920
2022-12-31,9.25700,4.29300,-13.55000,2.06000,-11.49000,-11.49000,-11.49000,-11.49000,-13.55000,-13.55000,14.35300,14.35300,1.02000,1.02000,51.80170,-3.97480,-3.97480,-3.84700,-3.97480,7.34100,0.3779,0.3754
2022-09-30,4.75700,3.83100,-8.58800,0.38300,-8.20500,-8.20500,-8.20500,-8.20500,-8.58800,-8.58800,9.11900,9.11900,-0.90000,-0.90000,47.88160,-2.74950,-2.74950,-2.69230,-2.74950,7.59920,0.5943,0.5943
2022-06-30,4.18100,3.60200,-7.78300,0.10700,-7.67600,-7.67600,-7.67600,-7.67600,-7.78300,-7.78300,4.36200,4.36200,-1.76000,-1.76000,23.59310,12.67570,-7.00190,-6.70800,-7.00190,2.83320,-2.5637,-2.5637
2022-03-31,6.21200,1.57500,-7.78700,0.00300,-7.78400,-7.78400,-7.78400,-7.78400,-7.78700,-7.78700,9.64400,9.64400,-0.81000,-0.81000,,,,,,,-0.84120,-0.84120
2021-12-31,,,,,,,,,,,,,,0.00000,,,,,,,1.3978,1.3978
2021-09-30,4.91700,0.78000,-5.69700,-1.68400,-7.38100,-7.38100,-7.38100,-7.38100,-5.69700,-5.69700,8.15900,8.15900,-0.90000,-0.90000,,,,,,,-1.3978,-1.3978
2021-06-30,0.00000,,,,0.00000,,0.00000,,,,,,,0.00000,,,,,,,0,0
2020-12-31,,,,,,,,,,,,,,0.00000,,,,,,,0,0
