Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,5.80880,3.29720,2.51170,,2.53750,2.53750,-0.02580,0.14940,0.12350,0.12350,0.12350,0.12240,0.33140,-0.02580,6.99940,7.34050,0.02000,0.02000,4.81160,,0.00750,43.23880,-0.44470,-0.44470,2.12650,2.10710,0.23990,,2.94390,30.57130,0.59870,0.82910,0.51000,0.59870,2.94120,0.0244,0.0018
2024-06-30,4.91050,2.50260,2.40790,,2.79670,2.79670,-0.38880,0.14220,-0.24660,-0.24660,-0.24660,-0.24420,-0.04950,-0.38880,6.97310,6.97310,-0.04000,-0.04000,4.23570,,0.01290,49.03570,-7.91750,-7.91750,-5.02200,-4.97380,0.20180,,2.57800,34.91060,-1.21460,-1.70020,-1.01320,-1.21460,2.90230,0.0948,0.0147
2024-03-31,8.23570,5.26930,2.96650,,2.75270,2.75270,0.21380,0.13210,0.34590,0.34590,0.34590,0.35710,0.50900,0.21380,7.09040,7.25950,0.05000,0.05000,3.06270,,0.01830,36.01950,2.59590,2.59590,4.20000,4.33600,0.31890,,1.85590,48.49470,1.70630,2.40140,1.33940,1.70630,2.92520,-0.04390,-0.09330
2023-12-31,6.18880,3.61140,2.57750,,2.82580,2.82570,-0.24830,0.14880,-0.09950,-0.09950,-0.09950,-0.07490,0.12510,-0.24830,6.84110,7.21510,-0.01000,-0.01000,4.13830,0.00190,0.02720,41.64710,-4.01180,-4.01180,-1.60810,-1.21060,0.26560,,4.91190,18.32290,-0.50380,-0.72030,-0.42710,-0.50280,2.87110,0.2385,0.1965
2023-09-30,5.98660,3.65630,2.33040,,2.31620,2.31620,0.01410,0.14360,0.15770,0.15770,0.15770,0.17900,0.35270,0.01410,6.84730,7.24630,0.03000,0.02000,3.87940,0.00710,0.03710,38.92600,0.23620,0.23620,2.63480,2.99020,0.25340,,2.55360,35.24370,0.80130,1.15320,0.66770,0.79570,2.86960,0.1445,0.1384
2023-06-30,5.90440,3.32560,2.57880,,2.47200,2.47200,0.10670,0.09930,0.20600,0.20600,0.20600,0.22680,0.40770,0.10670,6.83460,7.02230,0.03000,0.03000,4.30080,0.01150,0.04500,43.67520,1.80790,1.80790,3.48960,3.84160,0.25900,,2.65770,33.86360,1.06220,1.54660,0.90370,1.05000,2.83300,0.0892,-0.0154
2023-03-31,6.87970,4.79000,2.08970,,2.13080,2.13070,-0.04100,0.07610,0.03510,0.03510,0.03510,0.05070,0.24770,-0.04100,6.82210,6.95430,0.01000,0.01000,3.16340,0.01710,0.05740,30.37540,-0.59620,-0.59620,0.50970,0.73650,0.28250,,1.87400,48.02600,0.18390,0.27130,0.14400,0.18070,2.78990,0.06460,0.00320
2022-12-31,5.96660,3.94010,2.02650,,2.70770,5.02970,-3.00320,-0.14680,-3.15000,-3.15000,-3.15000,-3.12810,-0.38760,-3.00320,6.77510,6.77510,-0.45000,-0.45000,3.39650,0.02760,0.07480,33.96440,-50.33340,-50.33340,-52.79350,-52.42670,0.24770,,1.70340,52.83660,-16.62500,-24.73890,-13.07790,-16.16640,2.77730,0.0766,0.067
2022-09-30,4.41930,2.56700,1.85230,,2.07550,2.07550,-0.22320,-0.02970,-0.25300,-0.25300,-0.25300,-0.24560,0.06850,-0.22320,6.82210,6.82210,-0.04000,-0.04000,4.97050,0.02770,0.07850,41.91410,-5.05110,-5.05110,-5.72410,-5.55790,0.17280,,2.19740,40.95800,-1.14950,-1.88770,-0.98890,-1.11760,3.22580,0.0522,0.0506
2022-06-30,4.82770,3.26920,1.55860,,2.59420,2.59420,-1.03560,-0.11370,-1.14930,-1.14930,-1.14930,-1.13910,-0.74640,-1.03560,6.75820,6.75820,-0.17000,-0.17000,5.06090,0.03740,0.08920,32.28340,-21.45190,-21.45190,-23.80630,-23.59480,0.18310,,1.94290,46.32330,-5.11720,-8.33810,-4.35990,-4.92580,3.29220,-0.2671,-0.271
