Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.93200,,-2.93200,-23.56010,-26.49210,-6.29720,-20.19490,-20.19490,-20.19490,-2.93200,-2.93200,89.58900,89.58900,-0.22720,-0.22720,2.28340,0.37020,0.58830,-3.19300,-3.19300,-1.92970,-2.01090,6.99710,-0.022,-0.2353
2024-06-30,3.48180,,-3.48180,47.96020,44.47840,11.42080,33.05760,33.05760,33.05760,-3.48180,-3.48180,87.92100,88.32400,0.37270,0.37270,2.10840,0.36300,0.57060,5.33170,5.33170,3.20880,3.39640,6.96540,-0.083,-0.1756
2024-03-31,3.41960,,-3.41960,1.64050,-1.77910,4.27950,-6.05860,-6.05860,-6.05860,-3.41960,-3.41960,86.39910,86.39910,-0.06670,-0.06670,3.18700,0.45400,0.83260,-1.13700,-1.13700,-0.60860,-0.62080,6.13490,0.01160,-0.32560
2023-12-31,4.30670,,-4.30670,-22.68520,-26.99190,-10.54430,-16.44760,-16.44760,-16.44760,-4.30670,-4.30670,83.00200,83.00200,-0.20030,-0.20030,2.38400,0.44060,0.78820,-3.04180,-3.04180,-1.64350,-1.70150,6.27960,-0.0655,-0.6333
2023-09-30,2.77920,,-2.77920,3.56780,0.78850,4.73270,-3.94410,-3.94410,-3.94410,-2.77920,-2.77920,83.48500,83.48500,-0.04470,-0.04470,2.25300,0.39490,0.65340,-0.70530,-0.70530,-0.39450,-0.42670,6.66430,-0.0264,-1.5128
2023-06-30,2.95810,,-2.95810,11.58390,8.62580,1.94280,6.68300,6.68300,6.68300,-2.95810,-2.95810,82.43400,82.64700,0.08180,0.08180,3.10910,0.37300,0.59600,1.16880,1.16880,0.67410,0.73280,6.89350,-0.0309,0.3572
2023-03-31,2.87620,,-2.87620,-7.66770,-10.54400,-2.57240,-7.97150,-7.97150,-7.97150,-2.87620,-2.87620,81.55500,81.55500,-0.09610,-0.09610,0.94300,0.27950,0.38850,-1.47600,-1.47600,-0.97920,-1.06340,6.61430,-0.06940,-0.45750
2022-12-31,4.20970,-5.09510,-9.30470,-14.55110,-23.85580,-4.31460,-19.54130,-19.54130,-19.54130,-9.30470,-9.30470,80.05890,80.05890,-0.24000,-0.24000,2.70010,0.26330,0.35810,-3.43060,-3.43060,-2.31880,-2.52740,7.00300,-0.13,-1.8911
2022-09-30,2.28790,-0.10800,-2.39590,12.06840,9.67250,5.80700,3.86550,3.86550,3.86550,-2.39590,-2.39590,80.28300,81.04500,0.04600,0.04600,3.45420,0.22440,0.29000,0.65810,0.65810,0.45960,0.51040,7.31390,0.1026,0.1026
2022-06-30,2.24590,-0.02040,-2.26630,23.18600,20.91970,5.97190,14.94780,14.94780,14.94780,-2.20930,-2.26630,80.14500,81.06500,0.18790,0.18790,7.33730,0.23660,0.31290,2.51240,2.51240,1.77810,1.91800,7.41060,0.0465,0.0465
2022-03-31,3.63300,0.05290,-3.58000,-2.48410,-6.06410,-1.10470,-4.95950,-4.95950,-4.95950,-3.56270,-3.58000,79.24600,79.24600,-0.06320,-0.06320,21.73080,0.28300,0.39470,-0.88100,-0.88100,-0.60710,-0.63170,7.06500,-0.09580,-0.09580
2021-12-31,3.80430,-4.32570,-8.13000,0.62820,-7.50180,-0.40820,-7.09360,-7.09360,-7.09360,-8.11300,-8.13000,76.41400,77.60100,-0.09140,-0.09140,3.13040,0.00030,0.00040,-1.26580,-1.26580,-1.18900,-1.26550,7.09580,-0.0959,-0.5989
2021-09-30,1.46010,,-1.46010,0.98030,-0.47980,0.17320,-0.65300,-0.65300,-0.65300,-1.44430,-1.46010,77.11310,77.11310,-0.00790,-0.00790,2.85530,0.00030,0.00040,-0.12000,-0.12000,-0.11210,-0.11990,7.02770,0.0022,0.2288
2021-06-30,1.65360,0.04890,-1.60480,17.66810,16.06340,4.21840,11.84500,11.84500,11.84500,-1.58640,-1.60480,75.74220,77.67140,0.15470,0.15470,4.82530,0.00030,0.00050,2.16320,2.16320,2.03100,2.16250,7.12950,0.0175,-0.0102
2021-03-31,3.75710,-0.01340,-3.77050,0.09710,-3.67340,-0.28910,-3.38430,-3.38430,-3.38430,-3.75390,-3.77050,74.38570,74.38570,-0.04740,-0.04740,4.27890,0.00040,0.00050,-0.68750,-0.68750,-0.65330,-0.68720,6.58040,-0.04410,-0.04870
2020-12-31,6.75800,,-4.31570,-0.50510,-10.21690,-0.64620,-9.57060,-9.57060,-9.57060,-4.30910,-4.31570,66.37000,66.37000,-0.14370,-0.14370,4.53490,0.00030,0.00040,-2.08560,-2.08560,-1.97910,-2.08490,6.18760,-0.0511,-0.0511
2020-09-30,2.69800,,-2.69800,0.89180,3.58980,-0.14640,3.73620,3.73620,3.73620,-2.69070,-2.69800,67.04360,67.04360,0.05250,0.05250,4.40460,0.00040,0.00050,0.96650,1.04810,0.96960,1.04760,5.82170,0.0312,0.0312
2020-06-30,,-2.44230,-2.44230,-0.00510,-2.44730,0.48770,-2.93510,-2.93510,-2.93510,-2.43600,-2.44230,65.49400,65.49400,-0.04330,-0.04330,5.05120,0.00050,0.00060,-0.88510,-0.88510,-0.81870,-0.88460,4.97620,-0.0537,-0.0537
2020-03-31,2.88360,,-2.88360,0.20660,-2.67710,-0.29230,-2.38470,-2.38470,-2.38470,-2.87690,-2.88360,63.79100,63.79100,-0.03730,-0.03730,3.23040,0.00050,0.00060,-0.75900,-0.75900,-0.70360,-0.75860,4.91550,-0.04470,-0.04470
2019-12-31,3.00360,,-3.00360,0.53980,-2.46380,-0.22370,-2.24010,-2.24010,-2.24010,-3.00360,-3.00360,62.36000,62.36000,-0.03780,-0.03780,2.87190,0.00050,0.00070,-0.71620,-0.71620,-0.66150,-0.71590,4.92460,-0.0536,-0.0536
2019-09-30,1.80840,,-1.80840,0.03940,-1.76900,0.14470,-1.91370,-1.91370,-1.91370,-1.80840,-1.80840,62.69200,62.69200,-0.03030,-0.03030,3.16080,0.00060,0.00070,-0.61170,-0.61170,-0.56080,-0.61140,4.94390,-0.0133,-0.0133
2019-06-30,1.87670,,-1.87670,0.13830,-1.73840,-0.21610,-1.52230,-1.52230,-1.52230,-1.87670,-1.87670,61.83000,61.83000,-0.02240,-0.02240,2.83110,0.00060,0.00070,-0.52160,-0.52160,-0.47790,-0.52120,4.71690,-0.0292,-0.0292
2019-03-31,3.36430,,-3.36430,0.05870,-3.30560,-0.23020,-3.07540,-3.07540,-3.07540,-3.36430,-3.36430,61.58260,61.58260,-0.05270,-0.05270,3.74510,0.00060,0.00070,-1.04840,-1.04840,-0.95970,-1.04770,4.75800,-0.03560,-0.03560
2018-12-31,2.61610,0.15130,-2.46480,-0.38420,-2.85520,0.05250,-2.90770,-2.90770,-2.90770,-2.46480,-2.46480,59.10460,59.10460,-0.05060,-0.05060,3.76390,,,-0.97500,-0.97500,-0.89000,-0.97500,4.87040,-0.09,-0.09
2018-09-30,1.80940,,-1.80940,2.25720,0.44780,2.61460,-2.16680,-2.16680,-2.16680,-1.80940,-1.80940,59.42500,59.42500,-0.03830,-0.03830,1.54740,,,-0.77490,-0.77490,-0.69360,-0.77490,4.70490,0.0004,0.0004
2018-06-30,2.20950,,-2.20950,1.27180,-0.93160,0.93080,-1.86230,-1.86230,-1.86230,-2.20950,-2.20950,58.99300,58.99300,-0.03100,-0.03100,2.80270,,,-0.65390,-0.65390,-0.58850,-0.65390,4.79260,-0.0079,-0.0079
2018-03-31,2.90850,-5.89050,-8.79890,0.58630,-8.21270,0.23420,-8.44690,-8.44690,-8.44690,-8.79890,-8.79890,57.89700,57.89700,-0.14240,-0.14240,3.22250,,,-3.02200,-3.02200,-2.75110,-3.02200,4.79670,-0.02530,-0.02530
2017-12-31,2.73690,-0.65460,-3.39150,0.68600,-2.70550,1.34620,-4.05170,-4.05170,-4.05170,-3.39150,-3.39150,56.42800,56.42800,-0.07000,-0.07000,3.81000,,,-1.47690,-1.47690,-1.37170,-1.47690,4.75650,-0.0858,-0.0858
2017-09-30,2.84930,-0.62790,-3.47720,2.15030,-1.32690,-0.10210,-1.22480,-1.22480,-1.22480,-3.47720,-3.47720,57.43500,57.43500,-0.02390,-0.02390,2.85100,,,-0.43110,-0.43110,-0.39740,-0.43110,4.94400,0.0017,0.0017
2017-06-30,2.13070,-0.30340,-2.43410,1.45240,-0.98170,0.29380,-1.27540,-1.27540,-1.27540,-2.43410,-2.43410,56.39190,56.39190,-0.02230,-0.02230,3.41870,,,-0.48380,-0.48380,-0.44500,-0.48380,4.59190,-0.0085,-0.0085
2017-03-31,2.83050,,-2.83050,1.57840,-1.25200,0.13150,-1.38350,-1.38350,-1.38350,-2.83050,-2.83050,60.94700,60.94700,-0.02270,-0.02270,2.48650,,,-0.58610,-0.58610,-0.54300,-0.58610,4.33410,-0.04600,-0.04600
2016-12-31,1.99450,,-1.99450,-0.01890,-2.01340,-0.03010,-1.98340,-1.98340,-1.98340,-1.99450,-1.99450,53.32900,53.32900,-0.03080,-0.03080,2.28350,,,-0.84350,-0.84350,-0.77700,-0.84350,4.32860,-0.0582,-0.0582
2016-09-30,1.76510,,-1.76510,2.70940,0.94430,1.17440,-0.23010,-0.23010,-0.23010,-1.76510,-1.76510,54.12870,54.12870,-0.00770,-0.00770,2.76830,,,-0.09580,-0.09580,-0.08770,-0.09580,4.43790,0.0024,0.0024
2016-06-30,1.78870,,-1.78870,0.92810,-0.86060,0.62700,-1.48760,-1.48760,-1.48760,-1.78870,-1.78870,52.81700,52.81700,-0.03100,-0.03100,4.66990,,,-0.61730,-0.61730,-0.57000,-0.61730,4.46840,-0.0076,-0.0076
2016-03-31,1.76130,,-1.76130,0.43230,-1.32900,0.47460,-1.80350,-1.80350,-1.80350,-1.76130,-1.76130,52.13960,52.13960,-0.03650,-0.03650,6.47540,,,-0.88120,-0.88120,-0.82450,-0.88120,3.92520,-0.00990,-0.00990
2015-12-31,2.53000,,-2.53000,1.35380,-1.19000,0.61000,-1.80000,-1.77800,-1.77800,-2.53000,-2.53000,47.46000,47.46000,-0.04000,-0.04000,8.52430,,,-0.80470,-0.80470,-0.75500,-0.80470,,-0.0493,-0.1149
2015-09-30,1.27000,,-1.27000,0.72620,-0.54000,1.47000,-2.01000,-2.01000,-2.01000,-1.27000,-1.27000,50.32200,50.32200,-0.04000,-0.04000,2.74680,,,-0.97960,-0.97960,-0.91310,-0.97960,,-0.014,-0.116
2015-06-30,1.57000,,-1.57000,0.33000,-1.23000,0.05000,-1.28000,-1.29300,-1.29300,-1.57000,-1.57000,50.26000,50.26000,-0.03000,-0.03000,3.73660,,,-0.58820,-0.58820,-0.54990,-0.58820,,-0.0056,-0.0895
2015-03-31,2.00000,,-2.00000,-0.02000,-2.02000,-0.02000,-2.00000,-2.06400,-2.06400,-2.00000,-2.00000,48.58000,48.58000,-0.04000,-0.04000,4.44210,,,-0.98810,-0.98800,-0.93020,-0.98800,,-0.05350,-0.09260
2014-12-31,3.00000,,-3.00000,0.58000,-2.43000,1.10000,-3.53000,-3.12400,-3.12400,-3.00000,-3.00000,49.58700,49.58700,-0.06000,-0.06000,3.43820,,,-1.32690,-1.32690,-1.23870,-1.32690,,-0.0514,-0.5994
2014-09-30,3.25000,,-3.25000,3.31000,0.06000,2.66000,-2.60000,-2.50200,-2.50200,-3.25000,-3.25000,48.04900,48.04900,-0.05000,-0.05000,2.90570,,,-1.04070,-1.04070,-0.96590,-1.04070,,0.0258,0.2057
2014-06-30,3.71000,,-3.71000,1.36000,-2.34000,1.11000,-3.45000,-3.45100,-3.45100,-3.71000,-3.71000,47.08100,47.08100,-0.07000,-0.07000,4.12000,,,-1.49930,-1.49930,-1.41480,-1.49930,,-0.0036,-0.107
2014-03-31,2.80000,,-2.80000,1.06000,-1.74000,0.47000,-2.21000,-2.23900,-2.23900,-2.80000,-2.80000,47.08100,47.08100,-0.05000,-0.05000,4.43890,,,-0.97820,-0.97820,-0.92520,-0.97820,,-0.04840,-0.12490
2013-12-31,3.24000,,-3.24000,1.44390,-1.79000,-3.35000,1.56000,-2.20800,-2.20800,-3.24000,-3.24000,48.94100,48.94100,-0.05000,-0.05000,3.94050,,,-0.89580,-0.89570,-0.84070,-0.89580,,-0.1042,-0.1725
2013-09-30,2.62000,,-2.62000,2.27000,-0.34000,1.61000,-1.95000,-1.95000,-1.95000,-2.62000,-2.62000,45.56500,45.56500,-0.04000,-0.04000,3.52040,,,-0.83460,-0.83460,-0.78600,-0.83460,,0.0111,-0.288
2013-06-30,2.55000,,-2.55000,-0.74390,-3.30000,6.10000,-9.40000,-9.29400,-9.29400,-2.55000,-2.55000,45.71400,45.71400,-0.20000,-0.20000,4.81480,,,-3.99140,-3.99120,-3.71430,-3.99140,,0.0398,-0.1318
2013-03-31,3.08000,,-3.08000,1.05000,-2.03000,1.42000,-3.45000,-3.43900,-3.43900,-3.08000,-3.08000,45.55600,45.55600,-0.08000,-0.08000,5.68600,,,-1.40210,-1.40200,-1.33670,-1.40200,,-0.05990,-0.20660
2012-12-31,4.06000,,-4.06000,0.53700,-3.52000,-0.52000,-3.00000,-3.02100,-3.02100,-4.06000,-4.06000,42.77100,42.77100,-0.07000,-0.07000,5.11170,,,-1.21490,-1.21490,-1.14540,-1.21490,,-0.0885,-0.3597
2012-09-30,3.12000,,-3.12000,1.28000,-1.84000,3.49000,-5.33000,-5.30600,-5.30600,-3.12000,-3.12000,43.45200,43.45200,-0.12000,-0.12000,3.88220,,,-2.42640,-2.42630,-2.29190,-2.42640,,-0.0189,-0.4421
2012-06-30,5.08000,,-5.08000,2.57000,-2.51000,-0.25000,-2.26000,-2.30200,-2.30200,-5.07800,-5.08000,43.45200,43.45200,-0.05000,-0.05000,5.50780,,0.00300,-1.06210,-1.06210,-1.01050,-1.06210,,-0.0108,-0.2764
2012-03-31,3.58000,,-3.58000,1.56300,-2.02000,-0.10000,-1.92000,-1.91800,-1.91800,-3.57200,-3.58000,43.44900,43.44900,-0.04000,-0.04000,6.19430,,,-0.88240,-0.88240,-0.83790,-0.88240,,0.02050,-0.15930
2011-12-31,4.39000,,-4.37660,0.31000,-4.08000,0.91000,-4.99000,-5.14300,-5.14300,-4.36660,-4.37660,46.75500,46.75500,-0.11000,-0.11000,7.31240,,,-2.33820,-2.33800,-2.22200,-2.33800,,-0.0656,-0.093
2011-09-30,4.20000,,-4.20610,0.01000,-4.19000,-0.40000,-3.79000,-3.79100,-3.79100,-4.19610,-4.20610,41.20700,41.20700,-0.09000,-0.09000,7.81370,,,,-1.85560,-1.78430,-1.85570,,-0.0689,-0.5203
2011-06-30,8.46000,,-8.46720,0.10000,-8.36000,0.01000,-8.37000,-8.22500,-8.22500,-8.46720,-8.46720,41.37800,41.37800,-0.20000,-0.20000,10.43550,,,-3.97380,-3.97360,-3.80650,-3.97360,,0.0648,-0.3502
2011-03-31,3.02000,,-3.02000,-0.18000,-3.20000,-0.02000,-3.18000,-3.18100,-3.18100,-3.02000,-3.02000,41.32200,41.32200,-0.08000,-0.08000,17.27160,,,,-1.78690,-1.73720,-1.78700,,0.00000,
2010-12-31,2.19000,,-2.19000,10.43000,8.23000,2.76000,5.47000,5.63700,5.63700,-2.18000,-2.19000,40.27100,40.27100,0.14000,0.14000,9.52600,,,3.35720,3.35680,3.25910,3.35700,,-0.1286,-0.3914
2010-09-30,0.79000,,-0.79000,0.19000,-0.60000,-0.09000,-0.51000,-0.52500,-0.52500,-0.78000,-0.79000,40.54500,40.54500,-0.01000,-0.01000,5.29580,,,-0.33900,-0.33900,-0.32130,-0.33900,,-0.0397,-0.4619
2010-06-30,1.80000,,-1.80000,0.20000,-1.60000,0.00000,-1.60000,-1.60000,-1.60000,-1.79860,-1.80000,40.54200,40.54200,-0.04000,-0.04000,11.18990,,,-1.02030,-1.02010,-0.97710,-1.02010,,-0.0677,-0.245
2010-03-31,1.02000,,-1.02000,1.09000,0.07000,0.00000,0.07000,0.07200,0.07200,-1.01140,-1.02000,38.61900,38.61900,0.00000,0.00000,15.50130,,,0.04610,0.04610,0.04430,0.04610,,0.02820,-0.01990
2009-12-31,1.11000,,-1.11000,0.07000,-1.04000,0.15000,-1.19000,-1.24200,-1.24200,-1.22000,-1.11000,37.48600,37.48600,-0.03000,-0.03000,7.48390,,,-1.41670,-1.41650,-1.36450,-1.41670,,-0.0029,-0.0933
2009-09-30,1.09000,,-1.09000,0.06000,-1.03000,0.00000,-1.03000,-1.08300,-1.08300,-1.04000,-1.09000,37.54300,37.54300,-0.03000,-0.03000,6.24550,,,-1.18500,-1.18500,-1.13330,-1.18500,,-0.0357,-0.3156
2009-06-30,1.30000,,-1.30000,0.20000,-1.09000,0.00000,-1.09000,-1.16300,-1.16300,-1.25000,-1.30000,37.41100,37.41100,-0.03000,-0.03000,9.67650,,,-1.38060,-1.38040,-1.31530,-1.38040,,-0.0134,-0.0517
2009-03-31,0.94000,,-0.94000,0.14000,-0.80000,0.00000,-0.80000,-0.80300,-0.80300,-0.90000,-0.94000,33.23300,33.23300,-0.02000,-0.02000,37.12500,,,-1.00780,-1.00780,-0.97970,-1.00790,,-0.14830,-0.24850
