Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,515.24400,258.22800,257.01600,169.16400,173.83000,83.18600,,83.18600,21.73400,61.45200,61.45200,60.60200,73.67400,74.49200,0.82000,0.81000,1.52740,33.57420,24.45920,0.00690,2.18860,2.25090,0.17170,2.18860,37.56310,0.601,2.3785
2024-06-30,507.48300,257.27600,250.20700,169.34800,177.24400,72.96300,,72.96300,19.23000,53.73300,53.73300,52.98500,73.65200,74.01800,0.72000,0.72000,1.47960,31.63100,22.97010,0.00650,1.99060,2.04950,0.15170,1.99060,36.10730,1.8285,1.1981
2024-03-31,508.35100,266.61700,241.73400,165.31200,174.52500,67.20900,,67.20900,19.22900,47.98000,47.98000,47.30000,73.38100,73.63700,0.64000,0.64000,1.74750,29.67950,20.88770,0.00650,1.81720,1.87220,0.13670,1.81720,35.31210,0.90300,1.53340
2023-12-31,500.29710,265.99490,234.30210,199.64000,210.11610,24.18610,,24.18600,3.37400,20.81200,20.81200,19.62600,73.32600,73.52300,0.27000,0.27000,2.25920,11.24670,9.12630,0.00600,0.80730,0.83240,0.05820,0.80730,34.66210,0.8966,1.5858
2023-09-30,498.26300,255.69700,242.56600,168.92200,180.13900,62.42700,,62.42700,15.44600,46.98100,46.98100,46.28100,73.25200,73.78900,0.63000,0.63000,2.32960,29.79570,22.08940,0.00590,1.86130,1.92040,0.13280,1.86130,33.91980,2.277,2.9524
2023-06-30,488.90800,249.54300,239.36500,149.50300,160.73500,78.63000,,78.63000,20.63400,57.99600,57.99600,57.11500,73.24200,73.42100,0.78000,0.78000,2.64830,35.12650,25.51510,0.00620,2.29570,2.36850,0.16170,2.29570,33.94210,3.859,3.8309
2023-03-31,456.95100,212.54200,244.40900,161.04700,172.56800,71.84100,,71.84100,18.95900,52.88200,52.88200,52.08400,73.56100,74.00900,0.71000,0.70000,3.33310,31.98320,23.18750,0.00600,2.13110,2.20000,0.14220,2.13110,33.34180,1.91010,1.93820
2022-12-31,428.30310,158.42400,269.87910,175.54000,188.08700,81.79210,,81.79200,17.58500,64.20700,64.20700,62.40300,78.80800,78.80800,0.81000,0.81000,2.59890,35.51990,27.09980,0.00620,2.63580,2.72250,0.17340,2.63580,32.19000,-0.6608,-0.2995
2022-09-30,349.09600,90.18800,258.90800,129.17900,141.82500,117.08300,,117.08300,29.23300,87.85000,87.85000,86.50700,76.69000,77.12400,1.13000,1.12000,2.42490,45.88110,33.89930,0.00700,3.54090,3.65530,0.24010,3.54090,31.97190,3.7846,4.0862
2022-06-30,280.42300,41.55700,238.86600,138.81300,151.39800,87.46800,,87.46800,21.70400,65.76400,65.76400,64.76500,79.04300,79.39400,0.82000,0.82000,1.88590,40.70740,30.14150,0.00590,2.62420,2.70810,0.17990,2.62420,32.15150,7.8438,7.8438
2022-03-31,250.26500,27.32200,222.94300,121.54400,134.15400,88.78900,,88.78900,21.63900,67.15000,67.15000,66.22100,83.77200,83.91000,0.79000,0.79000,1.50820,41.27550,30.78430,0.00590,2.34690,2.41230,0.18480,2.34690,34.04120,5.44980,5.44980
2021-12-31,283.49500,31.85800,251.63700,172.33700,188.10600,63.53100,,63.53100,-61.72400,125.25500,125.25500,122.96600,90.40000,90.40000,1.40000,1.41000,0.93010,25.27180,48.91420,0.00700,4.12330,4.23140,0.34970,4.12330,35.46800,3.028,3.1658
2021-09-30,259.82300,39.22300,220.60000,93.25600,106.20000,114.40000,,114.40000,27.45900,86.94100,86.94100,85.82900,90.84500,91.02800,0.94000,0.94000,1.08230,49.21660,36.92490,0.00660,2.80760,2.87980,0.24620,2.80760,34.38880,4.2017,4.1381
2021-06-30,274.55800,43.49000,231.06800,78.08400,90.91800,140.15000,,140.15000,36.17600,103.97400,103.97400,102.63600,92.00400,92.18500,1.12000,1.11000,1.07640,54.19530,39.68880,0.00720,3.28870,3.37150,0.29120,3.28870,33.90830,2.0662,2.0672
2021-03-31,275.72500,49.18900,226.53600,83.01500,95.23200,131.30400,,131.30400,32.49000,98.81400,98.81400,97.56200,91.87000,91.96400,1.06000,1.06000,1.22280,51.58790,38.33100,0.00720,3.22730,3.31120,0.28090,3.22730,32.82980,4.20160,3.77890
2020-12-31,286.39990,57.75400,228.64590,109.41100,121.68100,106.96490,,106.96500,21.22800,85.73700,85.73700,83.10400,91.70600,91.73100,0.89000,0.89000,1.34950,46.44820,36.08680,0.00660,2.87420,2.95100,0.24490,2.87420,32.05200,2.4734,2.4741
2020-09-30,290.86400,67.09300,223.77100,125.54400,137.85900,85.91200,,85.91200,19.35300,66.55900,66.55900,63.66300,91.22200,91.39300,0.70000,0.70000,1.75270,44.16180,32.72510,0.00560,2.32330,2.38800,0.19000,2.32330,31.00830,3.4294,3.4247
2020-06-30,306.12900,77.44100,228.68800,119.56500,131.78400,96.90400,,96.90400,20.39600,76.50800,76.50800,73.15500,91.20200,91.20300,0.80000,0.80000,1.98650,47.67160,35.98840,0.00590,2.77700,2.85750,0.22020,2.77700,29.81010,2.8337,2.624
