Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,22471.00000,6963.00000,15508.00000,4952.00000,5478.00000,-1798.00000,12170.00000,3338.00000,3338.00000,644.00000,2694.00000,2694.00000,,2694.00000,5669.00000,3823.00000,2407.20000,2427.90000,1.12000,1.11000,1.02880,0.30840,0.50960,69.01340,14.85470,17.01300,14.85470,11.98880,0.12600,0.55250,1.38930,64.77950,3.83990,-19.06450,1.51100,2.65560,29.14390,3.2828,2.8808
2024-06-30,22447.00000,6869.00000,15578.00000,3440.00000,5681.00000,-653.00000,9830.00000,5748.00000,5748.00000,1062.00000,4686.00000,4686.00000,,4686.00000,8195.00000,6413.00000,2406.80000,2422.00000,1.95000,1.93000,1.07200,0.30660,0.58000,69.39900,25.60700,28.56950,25.60700,20.87580,0.12400,0.56450,1.42120,63.32520,6.55040,-37.67790,2.58770,4.54180,29.72270,2.3308,2.0769
2024-03-31,21383.00000,6511.00000,14872.00000,3542.00000,5257.00000,-2404.00000,11158.00000,3714.00000,3714.00000,459.00000,3255.00000,3255.00000,,3255.00000,6048.00000,4233.00000,2408.20000,2430.10000,1.35000,1.34000,1.16990,0.26370,0.48030,69.55060,17.36890,19.79610,17.36890,15.22240,0.12430,0.57200,1.43070,62.90700,4.64870,-369.04760,1.89280,3.42260,29.09350,1.50490,1.25920
2023-12-31,21395.00000,6798.00000,14597.00000,4480.00000,5810.00000,421.00000,9771.00000,4826.00000,4826.00000,694.00000,4132.00000,4132.00000,-83.00000,4049.00000,7183.00000,5340.00000,2533.50000,2560.40000,1.61000,1.58000,1.15580,0.27340,0.42650,68.22620,22.55670,24.95910,22.55670,18.92500,0.12770,0.60800,1.43850,62.56460,6.00810,-210.92390,2.46600,4.36530,28.57160,3.0465,2.4776
2023-09-30,21351.00000,6606.00000,14745.00000,3447.00000,5400.00000,-499.00000,9528.00000,5217.00000,5217.00000,908.00000,4309.00000,4309.00000,21719.00000,26028.00000,7612.00000,5783.00000,2522.90000,2549.70000,10.32000,10.21000,1.21030,0.26780,0.42010,69.06000,24.43450,27.08540,24.43450,121.90530,0.12860,0.58990,1.44280,62.37740,6.04960,5191.56600,2.59480,4.42950,29.58980,3.0217,2.6686
2023-06-30,21519.00000,6462.00000,15057.00000,3703.00000,5396.00000,384.00000,8751.00000,6306.00000,6306.00000,930.00000,5376.00000,5376.00000,-232.00000,5144.00000,8783.00000,6849.00000,2598.40000,2625.70000,1.98000,1.96000,1.11810,0.30730,0.59680,69.97070,29.30430,31.82770,29.30430,23.90450,0.11230,0.50140,1.28260,70.16730,7.03580,-35.19020,2.80460,4.87350,29.40910,1.5831,1.1864
2023-03-31,20894.00000,6687.00000,14207.00000,3455.00000,4906.00000,-6940.00000,15494.00000,-1287.00000,-1287.00000,-796.00000,-491.00000,-491.00000,423.00000,-68.00000,1003.00000,-877.00000,2605.50000,2605.50000,-0.03000,-0.03000,1.06650,0.33010,0.74650,67.99560,-6.15970,-4.19740,-6.15970,-0.32550,0.10660,0.52210,1.27790,70.42690,-0.69280,2.21630,-0.25050,-0.46410,27.27490,1.25000,0.93420
2022-12-31,12548.00000,2907.00000,9641.00000,3485.00000,3107.00000,-413.00000,7156.00000,2485.00000,2485.00000,388.00000,2097.00000,2097.00000,1423.00000,3520.00000,4688.00000,2916.00000,2625.20000,2663.90000,1.34000,1.32000,0.99090,0.25930,0.51610,76.83300,19.80400,23.23880,19.80400,28.05230,0.06700,0.28310,0.89380,100.69410,2.73030,92.46030,1.11910,2.02240,29.38630,2.0025,1.4905
2022-09-30,19996.00000,6172.00000,13824.00000,3485.00000,4975.00000,-226.00000,8652.00000,5172.00000,5172.00000,862.00000,4310.00000,4310.00000,148.00000,4458.00000,7058.00000,5373.00000,2627.90000,2661.30000,1.70000,1.68000,1.43240,0.27010,0.42930,69.13380,25.86520,26.87040,25.86520,22.29450,0.11420,0.52870,1.25840,71.51930,5.77760,489.77270,2.46110,4.21710,28.50680,2.3702,2.0144
2022-06-30,24020.00000,7919.00000,16101.00000,3703.00000,6226.00000,-273.00000,10261.00000,5840.00000,5840.00000,1026.00000,4814.00000,4814.00000,,4814.00000,7686.00000,5942.00000,2629.60000,2667.90000,1.83000,1.80000,1.42450,0.27040,0.42690,67.03160,24.31310,24.73770,24.31310,20.04160,0.13520,0.69240,1.48830,60.47090,6.30460,-2218.43300,2.70870,4.60010,29.04380,2.0911,1.7924
