Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,187.85100,40.92500,146.92600,18.45700,-72.74500,135.49700,11.42900,-18.62300,-7.19400,-4.62000,-2.57400,-2.57400,,-2.57400,58.77200,11.42900,85.52500,85.52500,-0.03000,-0.03000,1.06140,0.79330,3.85630,78.21410,6.08410,6.08410,-3.82960,-1.37020,0.08930,0.54620,1.02120,88.13150,-1.02300,0.36330,-0.12230,-0.21140,2.92460,4.6094,4.2253
2024-06-30,191.19000,38.87900,152.31100,19.98600,-66.36700,122.25000,30.06100,-18.63700,11.42400,2.25100,9.17300,9.17300,,9.17300,69.00700,30.06100,84.51500,87.13000,0.11000,0.11000,1.05020,0.79740,3.94850,79.66470,15.72310,15.72310,5.97520,4.79780,0.09170,0.47730,0.37080,242.72890,3.73510,-1.28000,0.44010,0.75670,2.88500,0.1252,-0.4507
2024-03-31,189.34600,36.21000,153.13600,19.31000,-73.61400,128.38400,24.75200,-18.80000,5.95200,1.39800,4.55400,4.55400,,4.55400,63.26000,24.75200,83.77700,87.28700,0.05000,0.05000,1.04530,0.80710,4.18980,80.87630,13.07240,13.07240,3.14350,2.40510,0.08920,0.46080,0.35700,252.10280,1.96890,-0.61940,0.21450,0.37990,2.75890,0.63150,0.14260
2023-12-31,192.03200,35.77700,156.25500,18.78000,-79.33500,134.73600,21.51900,-19.66200,1.85700,-0.03500,1.89200,1.89200,,1.89200,61.18900,21.51900,87.17600,91.98500,0.02000,0.03000,1.05320,0.81070,4.30910,81.36930,11.20600,11.20600,0.96700,0.98530,0.09040,0.50660,0.34930,257.66880,0.83660,-0.25370,0.08910,0.15840,2.70060,1.4123,0.9043
2023-09-30,206.60000,41.91500,164.68500,16.12000,-61.01400,112.23800,52.44700,-19.92500,32.52200,5.87900,26.64300,26.64300,,26.64300,90.59900,52.44700,87.22100,91.24500,0.31000,0.29000,1.10470,0.79920,3.99880,79.71200,25.38580,25.38580,15.74150,12.89590,0.11080,0.57070,0.58860,152.91550,10.94020,-3.56370,1.42910,2.19670,2.83100,0.7354,0.3094
2023-06-30,208.71700,43.72300,164.99400,16.63700,-61.39000,111.72200,53.27200,-20.13600,33.13600,5.74000,27.39600,27.39600,,27.39600,90.01600,53.27200,88.21300,93.47200,0.31000,0.29000,1.12870,0.80020,4.01860,79.05150,25.52360,25.52360,15.87600,13.12590,0.12190,0.58770,1.04110,86.44770,11.31210,-3.63550,1.60010,2.25960,2.76170,0.6947,0.3674
2023-03-31,200.47200,39.82500,160.64700,16.09600,-59.19200,108.60100,52.04600,-17.97000,34.07600,6.01000,28.06600,28.06600,,28.06600,88.40700,52.04600,88.35500,94.78100,0.32000,0.30000,1.25330,0.79190,3.81050,80.13440,25.96170,25.96170,16.99790,14.00000,0.11500,0.58050,0.98750,91.14120,10.99560,-4.03270,1.60970,2.28860,2.87530,0.33450,0.02060
2022-12-31,205.36300,46.46400,158.89900,17.14100,-55.72900,107.30500,51.59400,-17.23000,34.36400,7.32700,27.03700,27.03700,,27.03700,88.95400,51.59400,90.49400,97.50700,0.31000,0.30000,1.11840,0.81710,4.49360,77.37470,25.12330,25.12330,16.73330,13.16550,0.10710,0.79630,0.53670,167.69130,12.42280,-3.67100,1.40950,2.27270,2.47220,1.2671,0.9162
2022-09-30,204.31800,43.79600,160.52200,16.80300,-56.35400,105.90400,54.61800,-14.88000,39.73800,10.32900,29.40900,29.40900,,29.40900,90.54800,54.61800,90.01400,96.43600,0.33000,0.30000,1.22170,0.81640,4.47550,78.56480,26.73190,26.73190,19.44910,14.39370,0.12240,0.78360,1.05480,85.32160,13.44600,-4.08790,1.76150,2.46800,2.43100,0.7713,0.4239
2022-06-30,197.22200,43.23400,153.98800,14.06400,-55.05100,99.43900,54.54900,-12.29400,42.25500,9.73400,32.52100,32.52100,,32.52100,88.05700,54.54900,91.71000,98.70600,0.35000,0.33000,1.18090,0.82780,4.83520,78.07850,27.65870,27.65870,21.42510,16.48950,0.12140,0.87940,1.17450,76.62880,16.04950,-4.39030,2.00250,2.76450,2.23260,0.7001,0.3248
