Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.26300,2.26300,10.75900,6.30700,-14.76200,0.74200,-14.02000,-14.02000,-14.02000,-14.02000,-14.38100,-14.76200,63.46510,63.46510,-0.22000,-0.22000,1.66510,,,100.00000,-652.31990,-652.31990,-619.53160,-619.53160,0.03030,-66.84470,-66.84470,-18.77900,-66.84470,0.47710,-0.2301,-0.2303
2024-06-30,2.35700,2.35700,11.21600,5.81500,-14.70400,0.77900,-13.92500,-13.92500,-13.92500,-13.92500,-14.25900,-14.70400,57.76020,57.76020,-0.24000,-0.24000,2.01880,,,100.00000,-623.84390,-623.84390,-590.79340,-590.79340,0.02620,-41.67170,-41.67170,-15.49410,-41.67170,0.76030,0.5398,0.5395
2024-03-31,,,10.40000,6.13900,-17.48700,0.28400,-17.20300,-17.20300,-17.20300,-17.20300,-17.04400,-17.48700,27.91260,27.91260,-0.62000,-0.62000,2.19060,,,,,,,,,-66.76890,-66.76890,-20.82460,-66.76890,0.74740,-0.37620,-0.37620
2023-12-31,,,11.73600,6.39400,-18.13000,0.47500,-17.65500,-17.65500,-17.65500,-17.65500,-17.68100,-18.13000,27.49610,27.49610,-0.64000,-0.64000,3.01600,,0.09000,,,,,,,-47.94040,-47.94040,-28.97780,-47.94040,1.33390,-0.4903,-0.4904
2023-09-30,,,11.05100,6.31000,-17.36100,0.61300,-16.74800,-16.74800,-16.74800,-16.74800,-16.90100,-17.36100,27.52380,27.52380,-0.61000,-0.61000,3.80880,,0.09440,,,,,,,-31.90220,-31.90220,-21.51540,-31.90220,1.90700,-0.4827,-0.4826
2023-06-30,,,13.21800,6.89800,-20.11600,0.76100,-19.35500,-19.35500,-19.35500,-19.35500,-19.62400,-20.11600,27.46870,27.46870,-0.70000,-0.70000,4.81340,,0.10600,,,,,,,-28.72640,-28.72640,-20.95630,-28.72640,2.44840,-0.6022,-0.6137
2023-03-31,,,16.13100,7.39500,-23.52600,0.88000,-22.64600,-22.64600,-22.64600,-22.64600,-23.02700,-23.52600,27.43330,27.43330,-0.83000,-0.83000,5.98840,0.01790,0.09690,,,,,,,-26.70770,-26.70770,-20.30940,-26.22890,3.09010,-0.92040,-0.92660
2022-12-31,,,14.99700,8.17000,-23.16700,0.70100,-22.46600,-22.46600,-22.46600,-22.46600,-22.67800,-23.16700,27.39210,27.39210,-0.82000,-0.82000,5.89500,0.02910,0.09310,,,,,,,-21.26520,-21.26520,-16.14340,-20.64660,3.85220,-0.6659,-0.6845
2022-09-30,,,13.03800,7.16800,-20.20600,0.41600,-19.79000,-19.79000,-19.79000,-19.79000,-19.73300,-20.20600,27.39990,27.39990,-0.72000,-0.72000,8.44990,0.03650,0.07740,,,,,,,-15.66930,-15.66930,-12.57190,-15.09780,4.60820,-0.7258,-0.738
2022-06-30,,,16.24600,8.30600,-24.55200,-0.06100,-24.61300,-24.61300,-24.61300,-24.61300,-24.10700,-24.55200,27.38460,27.38460,-0.90000,-0.90000,9.17320,0.04250,0.06740,,,,,,,-17.06660,-17.06660,-13.81770,-16.34210,5.26490,-0.6114,-0.6395
2022-03-31,,,14.92000,6.30400,-21.22400,-0.12900,-21.35300,-21.35300,-21.35300,-21.35300,-20.78400,-21.22400,27.36740,27.36740,-0.78000,-0.78000,14.81280,0.04600,0.05830,,,,,,,-12.85390,-12.85390,-10.87490,-12.26250,6.06810,-0.76130,-0.77060
2021-12-31,,,11.35200,8.20400,-19.55600,-0.14500,-19.70100,-19.70100,-19.70100,-19.70100,-19.16200,-19.55600,5.60630,5.60630,62.76000,62.76000,15.84890,0.04940,0.05190,,,,,,,-10.62460,-10.62460,-9.03470,-10.10010,6.77790,68.8424,69.5913
2021-09-30,,,10.47000,5.49100,-15.96100,-0.29000,-16.25100,-16.25100,-16.25100,-16.25100,-15.57900,-15.96100,0.76390,0.76390,-21.27000,-21.27000,8.20230,0.09980,0.11080,,,,,,,11.90940,-18.80190,-13.46120,-16.92580,110.95380,-25.0361,-25.1557
2021-06-30,,,17.74500,5.26200,-23.00700,-0.17400,-23.18100,-23.18100,-23.18100,-23.18100,-22.63400,-23.00700,0.73650,0.73650,-31.48000,-31.48000,,,,,,,,,,,,,,,-26.1117,-26.6972
2021-03-31,,,11.62100,4.89900,-16.52000,-0.14700,-16.66700,-16.66700,-16.66700,-16.66700,-16.17000,-16.52000,0.70830,0.70830,-23.53000,-23.53000,,,,,,,,,,,,,,,-32.09820,-32.33820
2020-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,38.1714,41.5665
2020-09-30,,,11.46000,3.16300,-14.62300,-0.19600,-14.81900,-14.81900,-14.81900,-14.81900,-14.62300,-14.62300,0.61270,0.61270,-24.19000,-24.19000,,,,,,,,,,,,,,,-38.1714,-41.5665
