Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,-3.29420,-3.29420,0.61920,-2.67500,-2.67500,-2.67500,-2.67500,-3.29420,-3.29420,5.32700,5.32700,-0.23000,-0.23000,0.00850,-0.10110,24.14300,24.14300,-3.98030,24.14300,-2.07990,-0.18420,-0.18420
2023-06-30,-0.79540,-0.79540,0.96220,0.16680,0.16680,0.16680,0.16680,-0.79540,-0.79540,5.32700,5.32700,0.01000,0.01000,0.03860,-0.09060,-2.36060,-2.36060,0.25260,-2.36060,-1.32610,-0.0248,-0.0248
2023-03-31,-1.48090,-1.48090,1.35770,-0.12320,-0.12320,-0.12320,-0.12320,-1.48090,-1.48090,5.32700,5.32700,-0.01000,-0.01000,0.10350,-0.07630,1.95840,1.95840,-0.18820,1.95840,-1.18080,-0.1446,-0.1446
2022-12-31,,,,,,,,,,,,,0.00000,,,,,,,,0.0979,0.0979
2022-09-30,-0.19610,-0.19610,1.42620,1.23000,1.23000,1.23000,1.23000,-0.19610,-0.19610,5.32700,5.32700,0.05000,0.05000,0.93740,,-14.83330,-14.83330,0.57040,-14.83330,-1.55670,-0.09790,-0.09790
2022-06-30,-0.23250,-0.23250,,,,,1.96200,,,5.32700,5.32700,0.07000,0.07000,1.07210,,,,,,-1.61160,-0.0445,-0.0445
2022-03-31,-0.20330,-0.20330,4.17110,3.96780,3.96780,3.96780,3.96780,-0.20330,-0.20330,5.32700,5.32700,0.15000,0.15000,1.22840,,-38.44810,-38.44810,1.84620,-38.44810,-1.93730,-0.0419,-0.0419
2021-12-31,,,,,,,,,,,,,0.00000,,,,,,,,0.1897,0.1897
2021-09-30,-0.17130,-0.17130,2.96810,2.79690,2.79690,2.79690,2.79690,-0.17130,-0.17130,5.32700,5.32700,0.11000,0.11000,42.24230,,-20.98100,-20.98100,1.29820,-20.98100,-2.50240,-0.18970,-0.18970
2021-06-30,-0.34070,-0.34070,,,,,4.66250,,,5.32700,5.32700,0.18000,0.18000,15.14690,,,,,,0.67200,-0.0135,-0.0135
2021-03-31,-0.06950,-0.06950,-0.53400,-0.60350,-0.60350,-0.60350,-0.60350,-0.06950,-0.06950,5.08800,5.08800,-0.05000,-0.05000,310.58050,,-12.07020,-12.07020,-0.27950,-12.07020,0.60030,-0.1298,-0.1298
