Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,173.43100,138.49000,34.94100,36.77700,-1.93600,56.11600,-21.17500,0.44900,-20.72600,0.09000,-20.81600,-20.81600,-20.81600,-3.99900,-21.17500,114.75200,114.75200,-0.18000,-0.18000,2.59130,20.14690,-12.20950,-12.20950,-11.95060,-12.00250,0.20210,65.85360,24.28670,3.70570,-4.49290,-5.16790,-2.42620,-4.49290,4.13810,0.1263,-0.0891
2024-06-30,184.64100,143.12200,41.51900,39.20200,-1.27000,57.70300,-16.18400,1.81400,-14.37000,0.09000,-14.46000,-14.46000,-14.46000,0.82300,-16.18400,113.58100,113.58100,-0.13000,-0.13000,2.72270,22.48630,-8.76510,-8.76510,-7.78270,-7.83140,0.21490,70.22670,28.43260,3.16540,-3.07570,-3.53930,-1.68300,-3.07570,4.11890,0.1681,-0.0008
2024-03-31,157.85000,129.31300,28.53700,36.86500,-1.65500,55.45200,-26.91500,0.93800,-25.97700,0.09000,-26.06700,-26.06700,-26.06700,-10.22000,-26.91500,112.77300,112.77300,-0.23000,-0.23000,3.01940,18.07860,-17.05100,-17.05100,-16.45680,-16.51380,0.18730,69.74810,28.23790,3.18720,-5.54290,-6.38970,-3.09330,-5.54290,4.15400,0.03040,-0.08850
2023-12-31,153.02600,128.24500,24.78110,35.54200,-1.35800,54.07000,-29.28900,1.30000,-27.98900,-0.57500,-27.41400,-27.41400,-27.41400,-12.84300,-29.28900,111.90800,111.90800,-0.25000,-0.25000,3.01500,16.19400,-19.13990,-19.13990,-18.29040,-17.91460,0.17870,61.98410,43.69680,2.05960,-5.68050,-6.53930,-3.20050,-5.68050,4.28450,0.0801,-0.0537
2023-09-30,153.42800,124.31500,29.11300,35.96300,-3.14300,55.60000,-26.48700,1.75000,-24.73700,0.31800,-25.05500,-25.05500,-25.05500,-10.54100,-26.48700,112.18000,112.18000,-0.22000,-0.22000,3.68480,18.97500,-17.26350,-17.26350,-16.12290,-16.33010,0.17440,37.13110,15.51190,5.80200,-5.00770,-5.74900,-2.84760,-5.00770,4.45050,0.1133,-0.0544
2023-06-30,152.52500,121.43600,31.08900,40.35000,-2.46900,62.33500,-31.24600,4.30600,-26.94000,0.31800,-27.25800,-27.25800,-27.25800,-16.49000,-31.24600,111.58500,111.58500,-0.24000,-0.24000,3.92510,20.38290,-20.48580,-20.48580,-17.66270,-17.87120,0.17190,38.61240,19.51450,4.61200,-5.33090,-6.11220,-3.07180,-5.33090,4.56760,0.0713,-0.1512
2023-03-31,125.06200,108.12500,16.93700,34.90700,-3.60400,52.25900,-35.32200,1.98300,-33.33900,0.31800,-33.65700,-33.65700,-33.65700,-21.95200,-35.32200,111.29700,111.29700,-0.30000,-0.30000,4.35220,13.54290,-28.24360,-28.24360,-26.65800,-26.91230,0.13960,84.20950,24.69630,3.64430,-6.44080,-7.37280,-3.75720,-6.44080,4.68900,-0.02810,-0.30540
2022-12-31,118.57000,105.74700,12.82300,43.46700,-4.28900,60.53410,-47.71110,-0.26200,-47.97300,1.28500,-49.25800,-49.25800,-49.25800,-34.84810,-47.71110,110.12800,110.12800,-0.45000,-0.45000,4.77120,10.81470,-40.23880,-40.23870,-40.45960,-41.54340,0.13040,76.46210,36.55060,2.46230,-9.10120,-10.37680,-5.41930,-9.10120,4.87010,-0.1591,-0.4411
2022-09-30,124.02600,104.09700,19.92900,41.90300,-4.80400,72.86000,-52.93100,1.92400,-51.00700,0.02000,-51.02700,-51.02700,-51.02700,-40.99900,-52.93100,110.37500,110.37500,-0.46000,-0.46000,8.68450,16.06840,-42.67730,-42.67730,-41.12610,-41.14220,0.17710,86.60320,6.28710,14.31500,-8.74590,-9.87370,-7.28710,-8.74590,5.26800,-0.0596,-0.2323
2022-06-30,124.91800,101.77500,23.14300,51.79800,-2.71300,65.81600,-42.67300,2.18900,-40.48400,0.02000,-40.50400,-40.50400,-40.50400,-31.32200,-42.67300,109.67900,109.67900,-0.37000,-0.37000,8.78090,18.52660,-34.16080,-34.16080,-32.40850,-32.42450,0.17170,91.36000,6.25220,14.39500,-6.61630,-7.43400,-5.56780,-6.61630,5.56720,-0.0153,-0.2755
2022-03-31,102.59100,89.20000,13.39100,50.19900,-2.53700,63.41300,-50.02200,0.39000,-49.63200,0.02000,-49.65200,-49.65200,-49.65200,-39.25400,-50.02200,109.47200,109.47200,-0.45000,-0.45000,9.56060,13.05280,-48.75870,-48.75870,-48.37850,-48.39800,0.13910,93.30550,4.72030,19.06660,-7.91990,-8.88100,-6.73040,-7.91990,5.72480,-0.15800,-0.32290
2021-12-31,96.42600,84.09200,12.33400,50.12300,-3.48800,60.11400,-47.78000,-18.25400,-66.03400,0.14700,-66.18100,-66.18100,-66.18100,-37.66000,-47.78000,57.90600,57.90600,-1.14000,-1.14000,10.66020,12.79120,-49.55090,-49.55090,-68.48150,-68.63400,0.12640,93.12510,4.98610,18.05020,-10.13310,-11.32700,-8.67780,-10.13310,5.97300,0.7833,2.4715
