Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,55.56500,43.97700,11.58800,20.45200,20.45200,-8.86400,-4.25700,-13.12100,-13.12100,-13.12100,-4.43600,-7.21100,-8.86400,8.88100,8.88100,-0.50000,-0.50000,1.55580,1.56600,-2.88810,20.85490,-15.95250,-15.95250,-23.61380,-7.98340,0.36630,0.75650,1.86280,48.31480,30.01420,23.34620,-8.64860,-16.98840,-1.68920,0.4458,0.3823
2023-06-30,35.36300,30.55100,4.81200,15.44900,15.44900,-10.63700,-3.94900,-14.58600,-14.58600,-14.58600,-4.17300,-8.92800,-10.63700,7.19700,7.19700,-0.58000,-0.58000,2.01110,1.38850,-3.70550,13.60740,-30.07950,-30.07950,-41.24650,-11.80050,0.25470,0.59660,1.54400,58.28890,44.76700,32.36440,-10.50420,-17.39250,-1.25890,-1.4158,-1.4714
2023-03-31,29.79800,24.81000,4.98800,15.73100,15.73100,-10.74300,-2.93400,-13.67700,-13.67700,-13.67700,-3.69300,-9.06900,-10.74300,6.99200,6.99200,-0.53000,-0.53000,2.19330,1.24090,-5.33640,16.73940,-36.05280,-36.05280,-45.89910,-12.39350,0.22730,0.54700,1.49690,60.12280,68.37470,42.09730,-10.43310,-16.47160,-0.77330,-2.28020,-2.35700
2022-12-31,35.65300,30.77000,4.88300,14.13800,14.13800,-9.25500,-2.62700,-11.88200,-11.88200,-11.88200,-2.88000,-7.74600,-9.25500,6.19300,6.19300,-0.46000,-0.46000,1.98950,1.09480,-12.00440,13.69590,-25.95860,-25.95860,-33.32680,-8.07790,0.27130,0.77940,1.75490,51.28430,146.65510,57.71320,-9.03990,-13.90070,-0.31400,-1.2391,-1.2361
2022-09-30,37.55000,35.78200,1.76800,12.41600,12.41600,-10.64800,-2.46900,-13.11700,-13.11700,-13.11700,-3.14800,-9.99900,-10.64800,6.18100,6.18100,-0.51000,-0.51000,2.38860,0.96770,31.01830,4.70840,-28.35690,-28.35690,-34.93210,-8.38350,0.30410,1.01890,2.14450,41.96800,-545.40570,130.11600,-10.62460,-17.60250,0.09340,-3.1324,-3.1486
2022-06-30,30.80900,28.45800,2.35100,12.17000,12.17000,-9.81900,-1.29100,-11.11000,-11.11000,-11.11000,-2.66100,-8.97800,-9.81900,6.17000,6.17000,-0.43000,-0.43000,2.14820,0.81190,4.49920,7.63090,-31.87060,-31.87060,-36.06090,-8.63710,0.25380,0.86980,2.30680,39.01590,-80.66510,-863.24620,-9.15050,-15.17240,0.53490,-3.8749,-3.8721
2022-03-31,37.57600,33.32900,4.24700,12.91400,12.91400,-8.66700,-0.89000,-9.55700,-9.55700,-9.55700,-2.29400,-8.21700,-8.66700,6.17000,6.17000,-0.37000,-0.37000,1.80380,0.44170,0.81400,11.30240,-23.06530,-23.06530,-25.43380,-6.10500,0.38070,1.62510,5.43400,16.56240,-41.28290,-89.61930,-9.68370,-23.04670,0.89910,-1.00310,-1.59420
2021-12-31,25.60800,24.34400,1.26400,42.31900,42.31900,-41.05500,-3.86800,-44.92300,-44.92300,-44.92300,12.46500,-40.55700,-41.05500,6.17000,6.17000,0.93000,0.93000,1.98930,0.36300,0.58680,4.93600,-160.32090,-160.32090,-175.42560,48.67620,0.25070,1.46460,2.85550,31.51830,-144.98310,-242.84020,-43.98010,-92.35820,1.20340,-3.486,-3.6109
2021-09-30,23.01400,20.65900,2.35500,7.93000,7.93000,-5.57500,-6.26000,-11.83500,-11.83500,-11.83500,-11.98100,-5.13200,-5.57500,8.80000,8.80000,-1.36000,-1.36000,0.30870,-0.67000,-1.19390,10.23290,-24.22440,-24.22440,-51.42520,-52.05960,0.52540,2.08780,4.01080,22.43940,19.59790,18.25740,-27.01750,37.76450,-0.83130,-0.7098,-0.8939
2021-06-30,18.68500,16.02300,2.66200,6.78600,6.78600,-4.12400,-1.81000,-5.93400,-5.93400,-5.93400,-6.08000,-3.40000,-4.12400,8.80000,8.80000,-0.69000,-0.69000,,,,14.24670,-22.07120,-22.07120,-31.75810,-32.53950,,,,,,,,,,-0.2196,-0.3077
2021-03-31,16.77800,12.76500,4.01300,6.37100,6.37100,-2.35800,-2.04300,-4.40100,-4.40100,-4.40100,-4.54700,-1.33200,-2.35800,8.80000,8.80000,-0.52000,-0.52000,,,,23.91820,-14.05410,-14.05410,-26.23080,-27.10100,,,,,,,,,,0.07910,0.06550
2020-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,0.0657,0.0677
2020-09-30,9.74500,9.90700,-0.16200,2.79200,2.79200,-2.95400,-1.26200,-4.21600,-4.21600,-4.21600,-4.35200,-2.95400,-2.95400,62.09700,62.09700,-70.10000,-70.10000,,,,-1.66240,-30.31300,-30.31300,-43.26320,-44.65880,,,,,,,,,,-0.0657,-0.0677
