Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,-0.21700,-0.21700,3.12640,2.90940,2.90940,2.90940,2.90940,-0.21700,-0.21700,5.75000,5.75000,0.13000,0.13000,0.08550,-0.26870,-0.29740,-15.10390,-15.10390,1.59180,-19.16180,-3.35000,-0.0154,-0.0154
2024-06-30,-0.19830,-0.19830,2.30570,2.10740,2.10740,2.10740,2.10740,-0.19830,-0.19830,5.75000,5.75000,0.10000,0.10000,0.07300,-0.25480,-0.26500,-10.87310,-10.87310,1.17130,-13.64400,-3.37080,-0.0144,-0.0144
2024-03-31,-0.22320,-0.22320,2.75810,2.53490,2.53490,2.53490,2.53490,-0.22320,-0.22320,5.75000,5.75000,0.12000,0.12000,0.18040,-0.26250,-0.24790,-13.53260,-13.53260,1.42940,-17.08470,-3.25770,-0.03130,-0.03130
2023-12-31,-1.26340,-1.26340,3.40780,2.14440,2.14440,2.14440,2.14440,-1.26340,-1.26340,5.75000,5.75000,0.09000,0.09000,0.21560,-0.24740,-0.21450,-11.56640,-11.56640,1.22830,-14.42760,-3.22430,-0.0828,-0.0828
2023-09-30,-0.21830,-0.21830,2.08490,1.86670,1.86670,1.86670,1.86670,-0.21830,-0.21830,5.75000,5.75000,0.06000,0.06000,0.36940,-0.23470,-0.19010,-10.56580,-10.56580,0.75040,-13.04580,-3.07250,-0.0332,-0.0332
2023-06-30,-0.31150,-0.31150,4.03070,3.71920,3.71920,3.71920,3.71920,-0.31150,-0.31150,5.75000,5.75000,0.13000,0.13000,1.26790,-0.16020,-0.13810,-22.76710,-22.76630,1.51280,-26.41500,-2.84100,-0.0233,-0.0233
2023-03-31,-0.23930,-0.23930,3.95010,3.71080,3.71080,3.71080,3.71080,-0.23930,-0.23930,5.75000,5.75000,0.13000,0.13000,2.33030,-0.24220,-0.19500,-21.53720,-21.53720,1.52500,-26.75270,-2.99640,-0.02120,-0.02120
2022-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,0.1271,0.1271
2022-09-30,-0.25610,-0.25610,6.13910,5.88300,5.88300,5.88300,5.88300,-0.25610,-0.25610,5.75000,5.75000,0.20000,0.20000,4.39210,-0.27160,-0.21360,-37.53070,-37.53060,2.46130,-47.72520,-2.72610,-0.0205,-0.0205
2022-06-30,-0.22540,-0.22540,-0.16000,-0.38540,-0.38540,-0.38540,-0.38540,-0.22540,-0.22540,5.42000,5.42000,-0.02000,-0.02000,5.23700,-0.25470,-0.20300,1.87810,1.87810,-0.16180,2.35640,-3.56880,-0.1066,-0.1066
2022-03-31,,,,,,,,,,,,,0.00000,,,,,,,,,0.00000,
2021-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
