Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.75320,1.87880,-0.12560,2.11550,2.11550,-2.24110,-1.47500,-3.71610,-3.71610,-3.71610,,-3.71610,-3.02850,-2.24110,2.08950,2.08950,-1.77850,-1.77850,0.15110,-1.37270,-0.80470,-7.16260,-127.82660,-127.82660,-211.95850,-211.95850,0.17890,2.53160,10.42100,8.63640,45.54650,45.46250,-37.92230,108.06610,-3.61320,-0.7127,-0.7107
2024-06-30,1.25340,1.09420,0.15920,2.95300,2.95300,-2.79380,-1.75400,-4.54780,-4.54780,-4.54780,,-3.85870,-1.15690,-2.79380,1.41220,1.41220,-2.73000,-2.73000,0.33160,-1.05830,-2.62390,12.69870,-222.89550,-222.89550,-362.83010,-307.85420,0.05990,4.89810,3.44010,26.16210,94.95730,63.54010,-21.73000,195.44920,-2.73990,-2.2955,-2.2677
2024-03-31,1.01790,0.64500,0.37290,4.40540,4.40540,-4.03250,-1.22460,-5.25700,-5.25700,-5.25700,,-4.67020,-3.17280,-4.03250,0.94770,0.94770,-4.93000,-4.93000,0.26930,-0.58690,-1.76340,36.63780,-396.14260,-396.14260,-516.44250,-458.78990,0.05100,2.27430,10.92410,8.23870,79.20230,61.13060,-26.34430,125.68960,-6.05670,-0.97490,-1.00850
2023-12-31,1.95670,3.94120,-1.98450,5.54970,11.52610,-13.51060,-1.48780,-14.99840,-14.99840,-14.99840,,-13.59940,-6.60740,-13.51060,0.77230,0.77230,-17.07590,-17.07590,0.25990,-0.62960,-0.64860,-101.41830,-690.46800,-690.46800,-766.50070,-695.00830,0.11370,25.18150,10.70700,8.40570,236.75900,236.70650,-87.14260,385.81530,-7.77310,-3.5323,-3.6677
2023-09-30,3.96540,4.50140,-0.53600,1.85510,1.85510,-2.39110,-0.29350,-2.68460,-2.68460,-2.68460,-0.92350,-3.60810,-1.99210,-2.39110,0.80290,0.80290,-4.49410,-4.49410,0.45290,0.28040,1.50490,-13.51790,-60.30050,-60.30050,-67.70110,-90.99130,0.15650,11.19230,5.34920,16.82490,-41.83550,-85.05420,-10.59680,-30.10640,8.04700,-1.6332,-1.5773
2023-06-30,5.09710,5.06340,0.03360,5.64450,5.64450,-5.61090,0.05530,-5.55550,-5.55550,-5.55550,,-5.55550,-5.01960,-5.61090,0.74450,0.74450,-7.46000,-7.46000,0.61740,0.21140,0.99900,0.65980,-110.08040,-110.08040,-108.99480,-108.99480,0.18290,6.15140,7.88700,11.41120,-59.57560,-92.29360,-19.93770,-46.98050,11.69390,-2.1134,-2.0619
2023-03-31,5.50390,5.57340,-0.06950,3.19060,3.19060,-3.26010,-0.25940,-3.51940,-3.51940,-3.51940,,-3.51940,-2.71180,-3.26010,0.70020,0.70020,-5.00000,-5.00000,0.72020,0.05740,0.49880,-1.26220,-59.23160,-59.23160,-63.94410,-63.94410,0.19350,429.08670,5.43770,16.55100,-28.56310,-39.19450,-12.37460,-26.92430,17.32300,-1.96900,-2.72750
2022-12-31,4.10410,3.94320,0.16090,3.97980,3.97970,-3.81880,-0.20640,-4.02520,-4.02520,-4.02520,,-3.73290,-2.98280,-3.81880,0.66660,0.66660,-5.48000,-5.48000,0.90150,0.04940,0.23530,3.92120,-93.04850,-93.04850,-98.07760,-90.95560,0.15450,8.46980,3.20520,28.07940,-27.87640,-36.15770,-15.15770,-26.49990,23.76550,-0.1952,-1.3694
2022-09-30,4.13030,4.29540,-0.16520,2.33700,2.33700,-2.50220,-0.04600,-2.54820,-2.54820,-2.54820,,-2.45360,-2.57560,-2.50220,0.67300,0.67300,-3.60000,-3.60000,1.53220,0.03940,0.17800,-3.99910,-60.58190,-60.58190,-61.69470,-59.40510,0.14260,4.79960,2.41050,37.33730,-13.95260,-17.00930,-8.79980,-13.40220,30.36990,-0.1427,-0.4597
2022-06-30,7.55500,6.78300,0.77200,2.09980,2.09980,-1.32790,0.31030,-1.01760,-1.01760,-1.01760,,-1.41540,-0.92580,-1.32790,0.66130,0.66130,-2.20000,-2.20000,1.74310,0.03550,0.13490,10.21790,-17.57590,-17.57590,-13.46920,-18.73420,0.23510,7.30830,3.00970,29.90310,-4.99700,-5.97120,-3.16620,-4.81950,33.79920,-13.5379,-14.649
2022-03-31,8.60460,6.11820,2.48640,2.06750,2.06750,0.41890,0.08280,0.50170,0.50170,0.50170,,-0.71720,0.58440,0.41890,0.59990,0.59990,-1.20000,-1.20000,1.66770,0.03350,0.12640,28.89660,4.86820,4.86820,5.83090,-8.33480,0.22670,5.80280,3.54900,25.35910,2.31930,2.74620,1.32160,2.24160,36.03370,5.42910,3.89210
2021-12-31,8.45260,8.08470,0.36790,2.53860,2.53860,-2.17070,0.00690,-2.16380,-2.16380,-2.16380,,-3.42660,-2.01480,-2.17070,0.46700,0.46700,-6.60000,-6.60000,1.54620,0.03340,0.12530,4.35210,-25.68100,-25.68110,-25.59910,-40.53940,0.24200,6.34680,2.89710,31.06600,-9.96410,-11.81670,-6.19570,-9.63150,36.23260,0.9211,1.4562
2021-09-30,8.84750,9.45430,-0.60680,2.11980,2.11980,-2.72660,-0.02400,-2.75070,-2.75070,-2.75070,,-3.83090,-2.57810,-2.72660,0.44110,0.44110,-8.60000,-8.60000,0.82530,,0.14930,-6.85870,-30.81790,-30.81790,-31.08970,-43.29930,0.35500,11.96630,2.48060,36.28100,-20.96550,-28.43480,-11.03750,-20.96550,29.74210,0.6247,0.8782
2021-06-30,11.85400,9.84260,2.01140,1.93540,1.93550,0.07590,0.07450,0.15040,0.15040,0.15040,,-1.54130,0.23520,0.07590,0.44110,0.44110,-3.40000,-3.40000,1.20520,,,16.96800,0.64060,0.64060,1.26900,-13.00200,0.46560,6.98100,4.35850,20.64910,0.89320,1.12660,0.59090,0.89320,38.17680,2.028,-6.6392
2021-03-31,9.18760,8.63100,0.55660,1.71810,1.71810,-1.16150,0.01710,-1.14440,-1.14440,-1.14440,,-2.03390,-1.01970,-1.16150,0.43720,0.43720,-4.60000,-4.60000,2.28400,,,6.05840,-12.64150,-12.64150,-12.45530,-22.13710,0.33720,9.24010,2.85600,31.51210,-6.25910,-7.75670,-4.19970,-6.25910,41.45220,-4.99310,-6.96490
