Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.15540,,-0.15540,0.50580,0.35040,0.35040,0.35040,0.35040,-0.15540,-0.15540,8.62500,8.62500,0.04000,0.04000,0.07980,-47.97740,-47.97800,0.83610,-47.97740,-0.08470,-0.0034,-0.0034
2024-06-30,0.19340,,-0.19340,0.88850,0.69510,0.69510,0.69510,0.69510,-0.19340,-0.19340,7.62500,7.62500,0.05000,0.05000,0.20040,-116.89160,-117.02170,1.67710,-117.02210,-0.06890,-0.0297,-0.0297
2024-03-31,0.08860,,-0.08860,3.54160,3.45300,3.45300,3.45300,3.45300,-0.08860,-0.08860,8.62500,8.62500,0.25000,0.25000,0.47180,-537.76100,-537.76260,6.01460,-537.76100,-0.07440,-0.01290,-0.01290
2023-12-31,,,-0.75940,1.42890,0.66950,0.66950,0.66950,0.66950,-0.75940,-0.75940,8.62500,8.62500,0.00000,0.00000,0.02370,-8.27170,-8.27170,1.17830,-8.27170,-0.93840,-0.0374,-0.0374
2023-09-30,0.72840,,-0.72840,1.52250,0.79410,0.79410,0.79410,0.79410,-0.72840,-0.72840,8.62500,8.62500,0.09000,0.09000,0.05600,-10.67110,-10.67110,0.64140,-10.67110,-0.86280,-0.0334,-0.0334
2023-06-30,1.52190,,-1.52190,3.14750,1.62560,1.62560,1.62560,1.62560,-1.52190,-1.52190,8.62500,8.62500,0.04000,0.04000,0.12690,-29.47920,-29.47940,1.34110,-29.47920,-0.63940,-0.0505,-0.0505
2023-03-31,0.42070,,-0.42070,2.59750,2.17680,2.17680,2.17680,2.17680,-0.42070,-0.42070,8.62500,8.62500,0.05000,0.05000,0.54840,-57.78320,-57.78340,0.60260,-57.78320,-0.43680,-0.02440,-0.02440
2022-12-31,,,-0.18710,4.57790,4.39080,4.39080,4.39080,4.39080,-0.18710,-0.18710,8.62500,8.62500,0.10000,0.10000,1.09910,-203.63490,-203.63630,1.22760,-203.63490,-0.25000,-0.0066,-0.0066
2022-09-30,0.23520,,-0.23520,3.97090,3.73580,3.73580,3.73580,3.73580,-0.23520,-0.23520,8.62500,8.62500,0.09000,0.09000,1.28350,-104.63810,-104.63900,1.05270,-104.63810,-0.41390,-0.0099,-0.0099
2022-06-30,0.83850,,-0.83850,3.43620,2.59770,2.59770,2.59770,2.59770,-0.83850,-0.83850,8.62500,8.62500,0.06000,0.06000,1.50100,-45.42600,-45.42560,0.73480,-45.42600,-0.66300,-0.0279,-0.0279
2022-03-31,0.30560,,-0.30560,10.83440,10.52870,10.52870,10.52870,10.52870,-0.30560,-0.30560,8.62500,8.62500,0.24000,0.24000,11.19000,-134.89990,-134.90010,2.97960,-134.89990,-0.90490,-0.02830,-0.02830
2021-09-30,,-0.00370,-0.00370,,-0.00370,-0.00370,-0.00370,-0.00370,-0.00370,-0.00370,7.50000,7.50000,0.00000,0.00000,,-17.24430,-17.24430,-2.50890,-17.24430,0.00250,0,0
