Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,12.49100,12.49100,3.17100,5.39800,-4.55100,0.84700,0.84700,,0.84700,0.84700,9.32000,9.32000,21.66600,21.66600,0.04000,0.04000,3.14810,0.56190,1.28270,100.00000,43.21510,74.61370,6.78090,6.78090,0.02210,1.19750,75.15730,0.34590,0.34590,0.15000,0.15150,11.30350,0.65370,0.65370
2021-12-31,13.03900,13.03900,3.81100,5.37300,1.46200,6.83500,6.83500,,6.83500,6.83500,9.22800,9.22800,21.45300,21.45300,0.31000,0.31000,3.20710,0.57110,1.33140,100.00000,41.20720,70.77230,52.41970,52.41970,0.02210,1.37600,65.40690,2.73980,2.73980,1.15760,1.17520,11.51440,0.0233,0.0233
2021-09-30,15.21400,15.21400,4.97800,6.31200,0.92700,7.23900,7.23900,,7.23900,7.23900,10.23600,10.23600,21.54400,21.54400,0.34000,0.34000,3.26430,0.56850,1.31770,100.00000,41.48810,67.28010,47.58120,47.58120,0.02630,1.62040,55.54160,2.93490,2.93490,1.24930,1.26630,11.44870,-0.8509,-0.8509
2021-06-30,12.36400,12.36400,3.36500,5.15700,6.17300,11.33000,11.33000,,11.33000,11.33000,8.99900,8.99900,21.36100,21.36100,0.53000,0.53000,6.92340,0.57880,1.37420,100.00000,41.70980,72.78390,91.63700,91.63700,0.02100,1.79190,50.22650,4.62830,4.62830,1.92180,1.94950,11.36270,0.1728,0.1728
2021-03-31,13.21300,13.21300,3.43400,5.32600,1.72900,7.05500,7.05500,,7.05500,7.05500,9.77900,9.77900,21.30400,21.30400,0.33000,0.33000,3.55750,0.56120,1.27910,100.00000,40.30880,74.01040,53.39440,53.39440,0.02430,2.22290,40.48740,2.98730,2.98730,1.29570,1.31080,11.08540,1.58740,1.58740
2020-12-31,12.55200,12.55200,2.98000,5.32600,3.75100,9.07700,9.07700,,9.07700,9.07700,9.57200,9.57200,20.92400,20.92400,0.49000,0.49000,5.23860,0.59440,1.46530,100.00000,42.43150,76.25880,72.31510,72.31520,0.02150,2.72510,33.02580,3.87190,3.87190,1.55130,1.57060,11.00420,-0.4846,-0.4846
2020-09-30,13.38500,13.38500,3.38300,5.64400,9.54100,15.18500,15.18500,,15.18500,15.18500,10.00200,10.00200,21.30300,21.30300,0.71000,0.71000,4.74110,0.57790,1.36890,100.00000,42.16660,74.72540,113.44790,113.44790,0.02420,2.29900,39.14680,6.58260,6.58260,2.74730,2.77880,10.82820,2.5541,2.5541
2020-06-30,20.64200,20.64200,3.45100,12.63600,1.59800,14.23400,14.23400,,14.23400,14.23400,17.19100,17.19100,20.63700,20.63700,0.69000,0.69000,3.44040,0.62140,1.64110,100.00000,61.21500,83.28170,68.95650,68.95650,0.03500,4.24820,21.18550,6.45250,6.45250,2.41210,2.44310,10.37120,2.3116,2.3116
2020-03-31,15.00200,15.00200,3.39000,6.78200,-43.63200,-36.85000,-36.85000,,-36.85000,-36.85000,11.61200,11.61200,20.44500,20.44500,-1.81000,-1.81000,4.39920,0.66550,1.98920,100.00000,45.20730,77.40300,-245.63390,-245.63390,0.02420,1.56790,57.40040,-17.94480,-17.94480,-5.93960,-6.00330,10.04410,-0.80000,-0.80000
2019-12-31,17.98500,17.98500,5.07800,7.64900,-3.52100,4.12800,4.12800,,4.12800,4.12800,12.90700,12.90700,20.44500,20.44500,0.21000,0.21000,4.07740,0.61380,1.58910,100.00000,42.52990,71.76540,22.95250,22.95250,0.02750,2.06990,43.48120,1.65550,1.65550,0.63020,0.63940,12.19650,2.4808,2.4808
2019-09-30,17.33000,17.33000,4.54300,7.23800,-3.58500,3.65300,3.65300,,3.65300,3.65300,12.78700,12.78700,20.44500,20.44500,0.17000,0.17000,4.22040,0.63130,1.71220,100.00000,41.76570,73.78540,21.07910,21.07910,0.02500,1.61750,55.64110,1.44740,1.44740,0.52730,0.53370,12.34460,-1.1816,-1.1816
2019-06-30,16.71900,16.71900,4.53900,7.07300,-3.08100,3.99200,3.99200,,3.99200,3.99200,12.18000,12.18000,20.44500,20.44500,0.20000,0.20000,4.21440,0.61210,1.57820,100.00000,42.30520,72.85130,23.87700,23.87700,0.02500,1.61850,55.60740,1.56010,1.56010,0.59710,0.60510,12.51590,-1.5054,-1.5054
2019-03-31,16.15900,16.15900,4.73100,7.07400,0.36700,7.44100,7.44100,,7.44100,7.44100,11.42800,11.42800,20.44500,20.44500,0.36000,0.36000,3.73220,0.58230,1.39380,100.00000,43.77750,70.72220,46.04870,46.04860,0.02570,1.80020,49.99320,2.87240,2.87240,1.18390,1.19990,12.67070,-1.71330,-1.71330
2018-12-31,14.83500,14.83500,3.19900,7.80300,-6.63200,1.17100,1.17100,,1.17100,1.17100,11.63600,11.63600,20.33700,20.33700,0.06000,0.06000,3.49630,0.54800,1.21250,100.00000,52.59860,78.43610,7.89350,7.89350,0.02560,1.90830,47.16280,0.45250,0.45250,0.20200,0.20450,12.65670,-3.4352,-3.4352
