Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,606.14500,,606.14500,-155.84400,,49.23100,-7.38400,41.84700,-42.11500,83.96200,83.96200,,83.96200,456.56600,49.23100,42.26400,43.16900,1.99000,1.94000,4.97480,0.48470,0.94040,100.00000,8.12200,8.12200,6.90380,13.85180,0.41910,,7.75770,11.60140,13.31030,32.67370,5.80510,6.85940,15.18440,0.7945,0.7479
2024-06-30,592.16100,,592.16100,-151.68400,,55.67800,-7.33900,48.33900,14.56500,33.77400,33.77400,,33.77400,446.97400,55.67800,42.95500,43.72100,0.79000,0.77000,3.87350,0.50470,1.01900,100.00000,9.40250,9.40250,8.16320,5.70350,0.40540,,8.24660,10.91360,5.80460,16.55460,2.31220,2.87500,13.75050,1.3232,1.2796
2024-03-31,641.87000,,641.87000,-170.48200,,39.81700,-8.25000,31.56700,9.60100,21.96600,21.96600,,21.96600,479.40600,39.81700,43.69500,44.52800,0.50000,0.49000,3.90570,0.50320,1.01280,100.00000,6.20330,6.20330,4.91800,3.42220,0.43910,,8.71690,10.32480,3.75430,10.81990,1.50280,1.86520,13.55190,3.04830,3.00150
2023-12-31,577.40100,,577.40100,-167.88700,,35.36800,-6.85700,28.51100,9.93600,18.57500,18.57500,,18.57500,417.67000,35.36790,46.03400,46.55000,0.45000,0.43000,3.65710,0.50040,1.00160,100.00000,6.12540,6.12540,4.93780,3.21700,0.38720,,5.72840,15.71130,3.14120,9.12300,1.24560,1.56940,13.53970,-1.9538,-2.0093
2023-09-30,582.87700,,582.87700,-146.14900,,54.88400,-6.77500,48.10900,13.09700,35.01200,35.01200,,35.01200,444.70900,54.88400,45.51500,46.13300,0.77000,0.76000,3.75600,0.49740,0.98960,100.00000,9.41610,9.41610,8.25370,6.00680,0.39140,,7.61300,11.82180,5.85350,17.09890,2.35110,2.94200,13.37460,1.9618,1.905
2023-06-30,592.84600,,592.84600,-148.67500,,59.29700,-7.28300,52.01400,14.79600,37.21800,37.21800,,37.21800,452.08700,59.29700,46.47400,46.89600,0.80000,0.79000,3.74650,0.49910,0.99660,100.00000,10.00210,10.00210,8.77360,6.27790,0.39970,,8.13730,11.06010,6.26940,19.12300,2.50950,3.14010,12.98730,1.1094,1.0509
2023-03-31,655.14000,,655.14000,-143.62300,,76.07800,-8.49100,67.58700,19.55400,48.03300,48.03300,,48.03300,519.49600,76.07800,47.85400,48.13900,1.00000,1.00000,3.40190,0.50280,1.01110,100.00000,11.61250,11.61250,10.31640,7.33170,0.43400,,9.37620,9.59880,8.21370,26.67860,3.18190,4.08420,12.51110,3.27010,3.23530
2022-12-31,612.09690,,612.09690,-150.64800,,62.43210,-8.70100,53.73100,17.64600,36.08500,36.08500,,36.08500,469.85400,62.43210,51.92100,52.07500,0.72000,0.72000,3.37070,0.50880,1.03590,100.00000,10.19970,10.19970,8.77820,5.89530,0.41030,,7.34060,12.26060,6.32560,22.55470,2.41870,3.10700,11.87600,-0.9454,-0.9828
2022-09-30,625.82100,,625.82100,-166.42100,,36.81100,-9.46300,27.34800,11.34300,16.00500,16.00500,,16.00500,477.97600,36.81100,50.46100,50.54700,0.32000,0.32000,3.31750,0.51040,1.04270,100.00000,5.88200,5.88200,4.36990,2.55740,0.41960,,9.26990,9.70880,2.82540,10.65100,1.07310,1.38320,11.32180,2.661,2.6166
2022-06-30,649.44400,,649.44400,-173.39400,,36.93700,-9.60800,27.32900,7.84500,19.48400,19.48400,,19.48400,484.58900,36.93700,52.88000,52.96100,0.37000,0.37000,3.25810,0.51460,1.06030,100.00000,5.68750,5.68750,4.20810,3.00010,0.43930,,7.83690,11.48410,3.49950,15.62470,1.31790,1.69860,11.01080,1.1761,1.1144
