Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,-0.94700,-0.94700,2.82900,-2.26700,-6.04300,-7.39900,-13.44200,0.02800,-13.47000,-13.47000,,-13.47000,-5.78400,-6.04300,2.97700,2.97700,-4.52000,-4.52000,1.06310,-0.09310,-0.08510,100.00000,638.12040,638.12040,1419.43000,1422.38600,-0.01890,,,12.00420,12.00420,-26.93950,13.12140,-38.44160,3.3809,3.3774
2023-06-30,1.92000,1.92000,4.43700,-0.79900,-4.18800,0.39000,-3.79800,0.01600,-3.81400,-3.81400,,-3.81400,-3.12100,-3.31600,3.00090,3.00090,-1.27060,-1.27060,1.64190,-0.77910,-0.43790,100.00000,-218.12500,-172.70830,-197.81250,-198.64580,0.01940,,,3.88490,3.88490,-3.85190,6.91140,-32.71990,-3.8607,-4.0804
2023-03-31,2.13100,2.13100,3.71900,-0.85500,-3.52500,0.57200,-2.95300,0.03500,-2.98800,-2.98800,,-2.98800,-2.25400,-2.44300,3.02110,3.02110,-0.98820,-0.98820,1.56680,-0.84790,-0.45890,100.00000,-165.41530,-114.64100,-138.57340,-140.21590,0.02060,,,3.17120,3.17120,-2.89200,5.86020,-31.52710,-2.29850,-2.30870
2022-12-31,2.52600,2.52600,4.88700,-0.60600,-2.96700,-0.96000,-3.92700,0.19200,-4.11900,-4.11900,,-4.11900,-2.82100,-2.96700,3.25980,3.25980,-1.22710,-1.20940,1.23430,-1.35090,-0.57460,100.00000,-117.45850,-117.45840,-155.46320,-163.06410,0.02150,,,4.58230,4.58230,-3.50120,10.77230,-50.38680,-1.533,-1.5514
2022-09-30,1.90600,1.90600,3.40000,-0.35600,-1.85000,-1.99000,-3.84000,0.14600,-3.98600,-3.98600,,-3.98600,-1.73300,-1.85000,3.02090,3.02090,-1.32000,-1.32000,0.23410,,,100.00000,-97.06190,-97.06190,-201.46900,-209.12910,0.01650,,,4.64220,4.64220,-3.44580,4.64220,-28.42330,-3.1102,-3.1102
2022-06-30,0.53300,0.53300,4.07100,-0.27000,-3.80800,-0.31700,-4.12500,0.00700,-4.13200,-4.13200,,-4.13200,-3.69200,-3.80800,3.50720,3.50720,-1.17650,-1.17650,28.62450,,,100.00000,-714.44650,-714.44650,-773.92120,-775.23450,0.00800,3.13530,28.70540,5.22520,5.22520,-6.16600,5.22520,-22.54800,-2.4744,-2.4744
2022-03-31,,,3.27600,-0.42400,-3.70000,0.00800,-3.69200,0.00500,-3.69700,-3.69700,,1.42500,-3.58700,-3.70000,3.49630,3.69580,0.40590,0.38820,13.38000,,,,,,,,,,,4.92850,4.92850,-4.93030,4.92850,-21.40940,-1.18490,-1.18490
2021-12-31,,,3.68500,-2.55500,-6.24000,-0.05300,-6.29300,2.09800,-8.39100,-8.39100,0.00000,-8.41400,-6.13400,-6.24000,3.40360,3.67600,-4.32940,-3.10590,10.96560,,,,,,,,,,,10.96460,10.96460,-10.29870,10.96460,-21.89520,-1.715,-1.7166
2021-09-30,,,3.83500,-1.35300,-5.18800,-1.29500,-6.48300,-0.78600,-5.69700,-5.69700,,10.40400,-5.08100,-5.18800,3.49450,3.71890,2.97650,2.80000,25.12990,,,,,,,,,,,8.35710,8.35700,-6.41820,8.35700,-19.50390,-1.5632,-1.5637
2021-06-30,,,2.92100,,-2.92100,4.81600,1.89500,-0.33300,2.22800,2.22800,,2.22800,-2.80200,-2.92100,3.48630,3.73290,0.64120,0.59410,34.05460,,,,,,,,,,,-2.83490,-2.83490,2.30400,-2.83490,-15.58670,-0.8956,-0.8878
