Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.98430,0.59060,-1.57490,0.27060,-1.30430,-1.30430,-1.30430,-1.30430,-1.57490,-1.57490,3.52000,3.52000,-0.37000,-0.37000,5.40550,,,-26.36610,-26.36610,-21.48850,-26.36610,1.40330,-0.3004,-0.3004
2024-06-30,1.13100,0.65780,-1.78880,0.07350,-1.71530,-1.71530,-1.71530,-1.71530,-1.78880,-1.78880,3.50300,3.50300,-0.50000,-0.50000,6.59020,,,-28.16450,-28.16450,-23.89080,-28.16450,1.73000,-0.4332,-0.4332
2024-03-31,0.96610,0.75730,-1.72340,0.08220,-1.64120,-1.64120,-1.64120,-1.64120,-1.72340,-1.72340,3.19600,3.19600,-0.50000,-0.50000,6.21000,,,-21.94990,-21.94990,-18.41530,-21.94990,2.13830,-0.51800,-0.51800
2023-12-31,1.03560,0.87640,-1.91200,0.09810,-1.81390,-1.81390,-1.81390,-1.81390,-1.91200,-1.91200,2.76480,2.76480,-0.61000,-0.61000,4.17240,,,-32.46220,-32.46230,-24.69540,-32.46230,1.87450,-0.607,-0.607
2023-09-30,1.31650,0.74950,-2.06600,0.11230,-1.95370,-1.95370,-1.95370,-1.95370,-2.06600,-2.06600,2.82400,2.82400,-0.69000,-0.69000,4.32340,,,-29.55130,-29.55130,-22.73600,-29.55130,2.32830,-0.6062,-0.6062
2023-06-30,1.59470,0.73350,-2.32820,0.12820,-2.20000,-2.20000,-2.20000,-2.20000,-2.32820,-2.32820,2.68400,2.68400,-0.80000,-0.80000,4.11750,,,-28.07260,-28.07260,-21.27940,-28.07260,2.81940,-0.7627,-0.7627
2023-03-31,1.65340,0.87170,-2.52500,0.09050,-2.43460,-2.43460,-2.43460,-2.43460,-2.52500,-2.52500,2.62120,2.62120,-0.95000,-0.95000,4.08030,,,-27.21800,-27.21800,-20.57530,-27.21800,3.38250,-0.86640,-0.86640
2022-12-31,2.10300,0.80600,-2.90900,0.01270,-2.89630,-2.89630,-2.89630,-2.89630,-2.90900,-2.90900,2.54360,2.54360,-1.15000,-1.15000,4.20780,,,-28.70600,-28.70600,-21.89730,-28.70600,3.89650,-0.5186,-0.5186
2022-09-30,1.73220,0.67510,-2.40730,0.00770,-2.39960,-2.39960,-2.39960,-2.39960,-2.40730,-2.40730,2.55100,2.55100,-0.95000,-0.95000,7.50780,,,-19.18200,-19.18200,-16.61220,-19.18200,4.86540,-0.8278,-0.8278
2022-06-30,2.07850,0.68490,-2.76330,0.00040,-2.76290,-2.76290,-2.76290,-2.76290,-2.76330,-2.76330,2.52640,2.52640,-1.10000,-1.10000,7.61440,,,-19.03240,-19.03240,-16.50780,-19.03240,5.71490,-0.5166,-0.5166
2022-03-31,1.67790,0.77930,-2.45720,0.00050,-2.45670,-2.45670,-2.45670,-2.45670,-2.45720,-2.45720,2.52080,2.52080,-0.95000,-0.95000,16.76970,,,-14.47950,-14.47950,-13.59830,-14.47950,6.72170,-0.97890,-0.97890
2021-12-31,1.98270,0.69840,-2.68110,0.00050,-2.68060,-2.68060,-2.68060,-2.68060,-2.68110,-2.68110,2.49420,2.49420,-1.00000,-1.00000,12.98390,,,-14.15230,-14.15230,-13.06230,-14.15230,7.51750,-0.8335,-0.8335
2021-09-30,1.82730,0.63170,-2.45900,0.00060,-2.45840,-2.45840,-2.45840,-2.45840,-2.45900,-2.45900,2.51660,2.51660,-1.00000,-1.00000,18.10440,,,-11.55430,-11.55430,-10.91810,-11.55430,8.44940,-0.7701,-0.7701
2021-06-30,1.47640,0.61600,-2.09240,0.01220,-2.08020,-2.08020,-2.08020,-2.08020,-2.09240,-2.09240,2.51400,2.51400,-0.85000,-0.85000,22.09820,,,-8.90730,-8.90730,-8.50530,-8.90730,9.27980,-0.5319,-0.5319
