Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,16.65300,16.65300,6.14500,-3.16400,7.34400,-13.22700,-5.88300,-0.00300,-5.88000,-5.88000,,-5.88000,8.66800,7.34400,54.46400,54.46400,-0.11000,-0.11000,0.70440,2.38280,44.10020,44.10020,-35.32700,-35.30900,0.00860,-1.04300,-1.04300,-0.30300,-0.30830,10.33800,0.1546,0.1546
2024-06-30,16.79700,16.79700,6.68300,-2.22600,7.88800,-14.01300,-6.12500,,-6.12500,-6.12500,,-6.12500,8.69700,7.88800,54.42600,54.42600,-0.11000,-0.11000,0.69890,2.50150,46.96080,46.96080,-36.46480,-36.46480,0.00810,-1.05190,-1.05190,-0.29590,-0.31670,10.68000,0.1591,0.1591
2024-03-31,18.69200,18.69200,6.51400,-2.03700,10.14100,-22.46200,-12.32100,0.00200,-12.32300,-12.32300,,-12.32300,10.79100,10.14100,54.39600,54.39600,-0.23000,-0.23000,0.69580,2.46150,54.25320,54.25320,-65.91590,-65.92660,0.00890,-2.05010,-2.05010,-0.58380,-0.62370,11.04480,0.20920,0.20920
2023-12-31,17.55200,17.55200,6.56800,-2.03800,8.94600,-48.44700,-39.50100,-0.08700,-39.41400,-39.41400,,-39.41400,9.42900,8.94600,54.28200,54.28200,-0.73000,-0.73000,0.70730,2.58370,50.96860,50.96860,-225.05120,-224.55560,0.00770,-6.29770,-6.29770,-1.72890,-1.84330,11.55790,0.1922,0.1922
2023-09-30,23.88300,23.88300,6.12200,-0.48000,17.28100,-8.11300,9.16800,-0.01600,9.18400,9.18400,,9.18400,16.88100,17.28100,54.08500,54.79600,0.17000,0.17000,0.69260,2.40660,72.35690,72.35690,38.38710,38.45410,0.01010,1.34470,1.34470,0.38860,0.41330,12.61560,0.2437,0.2437
2023-06-30,24.99000,24.99000,7.10700,,17.88300,-20.12700,-2.24400,-0.04600,-2.19800,-2.19800,,-2.19800,16.91500,17.88300,54.34700,54.34700,-0.04000,-0.04000,0.69370,2.41640,71.56060,71.56060,-8.97960,-8.79550,0.01040,-0.31800,-0.31800,-0.09160,-0.09740,12.76770,0.2199,0.2199
2023-03-31,26.50100,26.50100,6.19800,,20.30300,-26.63200,-6.32900,0.11000,-6.43900,-6.43900,,-6.43900,19.04700,20.30300,54.59200,54.59200,-0.12000,-0.12000,0.68790,2.34960,76.61220,76.61220,-23.88210,-24.29720,0.01080,-0.89640,-0.89640,-0.26340,-0.27980,13.15410,0.20620,0.20620
2022-12-31,30.40900,30.40900,7.83400,,22.57500,-19.40200,3.17300,0.26400,2.90900,2.90900,,2.90900,21.06700,22.57500,51.68000,52.12600,0.03000,0.02000,0.68590,2.32300,74.23790,74.23790,10.43440,9.56620,0.01210,0.38910,0.38910,0.11530,0.12220,13.73040,0.3295,0.3659
2022-09-30,27.27100,27.27100,7.13700,,20.13400,-19.48500,0.64900,0.00500,0.64400,0.64400,,0.64400,18.49500,20.13400,54.41600,54.84700,0.01000,0.01000,0.70340,2.50770,73.82930,73.82930,2.37980,2.36150,0.01000,0.08400,0.08400,0.02360,0.02490,14.09080,0.1954,0.1428
2022-06-30,25.14600,25.14600,7.24900,,17.89700,-7.76800,10.12900,0.09800,10.03100,10.03100,,10.03100,16.82400,17.89700,50.56300,50.99900,0.20000,0.20000,0.70470,2.38690,71.17240,71.17240,40.28080,39.89100,0.00930,1.27620,1.27620,0.37200,0.37680,14.43840,0.2313,0.1788
