Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4.03200,2.09400,1.93800,12.96700,13.29600,26.26300,-24.32500,2.99700,-21.32800,-21.32800,-21.32800,-21.32800,-22.14800,-24.32500,61.18630,61.18630,-0.35000,-0.35000,18.36210,48.06550,-603.29860,-603.29860,-528.96830,-528.96830,0.01050,0.30190,0.62510,143.97320,-6.18690,-6.18690,-5.56250,-6.18690,5.78550,-0.2485,-0.286
2024-06-30,3.07200,1.34100,1.73100,12.73400,16.09300,28.82700,-27.09600,4.24600,-22.85000,-22.85000,-22.85000,-22.85000,-25.99100,-27.09600,64.57640,64.57640,-0.35000,-0.35000,17.59050,56.34770,-882.03110,-882.03110,-743.81510,-743.81510,0.00760,0.17690,0.53890,167.02150,-6.26540,-6.26540,-5.61960,-6.26540,5.76820,-0.1559,-0.1741
2024-03-31,3.06600,1.70500,1.36100,12.26500,14.28800,26.55300,-25.19200,4.51300,-20.67900,-20.67900,-20.67900,-20.67900,-21.34700,-25.19200,64.58610,64.58610,-0.32000,-0.32000,25.26500,44.39010,-821.65690,-821.65690,-674.46190,-674.46190,0.00730,0.29350,0.49850,180.52840,-5.39140,-5.39140,-4.90070,-5.39140,5.90660,-0.16190,-0.17360
2023-12-31,4.43800,2.43700,2.00100,11.16500,13.06800,24.23300,-22.23200,4.43300,-17.79900,-17.79900,-17.79900,-17.79900,-23.65500,-22.23200,63.85050,63.85050,-0.27000,-0.27000,24.99720,45.08790,-500.94660,-500.94630,-401.05920,-401.05920,0.01020,0.54260,0.66080,136.19650,-4.48450,-4.48450,-4.07980,-4.48450,6.17280,-0.1606,-0.1894
2023-09-30,4.16200,2.00600,2.15600,13.23200,14.76900,28.00100,-25.84500,4.75700,-21.08800,-21.08800,-21.08800,-21.08800,-27.55400,-25.84500,63.92970,63.92970,-0.33000,-0.33000,27.65000,51.80200,-620.97550,-620.97550,-506.67940,-506.67940,0.00940,0.47480,0.53730,167.50120,-5.19820,-5.19820,-4.74040,-5.19820,6.34100,-0.224,-0.2897
2023-06-30,4.00800,1.72700,2.28100,14.14800,16.07400,30.22200,-27.94100,4.51000,-23.43100,-23.43100,-23.43100,-23.43100,-29.65000,-27.94100,63.76260,63.76260,-0.37000,-0.37000,21.21990,56.91120,-697.13080,-697.13080,-584.60580,-584.60580,0.00870,0.32810,0.63630,141.44460,-5.60390,-5.60390,-5.08050,-5.60390,6.54030,-0.2363,-0.2543
2023-03-31,4.05300,1.98500,2.06800,14.47400,15.03900,29.51300,-27.44500,3.48600,-23.95900,-23.95900,-23.95900,-23.95900,-28.57400,-27.44500,63.54310,63.54310,-0.38000,-0.38000,31.25530,51.02390,-677.15270,-677.15270,-591.14240,-591.14240,0.00860,0.53390,0.56420,159.50410,-5.53340,-5.53340,-5.06760,-5.53340,6.79310,-0.30420,-0.30610
2022-12-31,4.60500,2.31000,2.29500,12.63000,14.61400,27.24400,-24.94900,2.42400,-22.52500,-22.52500,-22.52500,-22.52500,-24.98600,-24.94900,62.43360,62.43360,-0.36000,-0.36000,34.56630,49.83710,-541.78080,-541.78080,-489.14240,-489.14240,0.00940,0.49920,0.65620,137.15960,-5.03920,-5.03920,-4.61650,-5.03920,7.04910,-0.2296,-0.3094
2022-09-30,3.95500,2.01000,1.94500,11.56400,15.44700,27.01100,-25.06600,1.08600,-23.98000,-23.98000,-23.98000,-23.98000,-24.13500,-25.06600,62.53900,62.53900,-0.38000,-0.38000,33.08400,49.17830,-633.78000,-633.78000,-606.32110,-606.32110,0.00790,0.33980,0.62010,145.13780,-5.23850,-5.23850,-4.79400,-5.23850,7.30830,-0.2124,-0.2526
2022-06-30,3.62100,2.01200,1.60900,10.87100,14.17200,25.04300,-23.43400,0.61900,-22.81500,-22.81500,-22.81500,-22.81500,-22.40800,-23.43400,62.37660,62.37660,-0.37000,-0.37000,31.06740,44.43520,-647.16930,-647.16930,-630.07450,-630.07450,0.00700,0.29420,0.69880,128.79870,-4.83320,-4.83320,-4.41890,-4.83320,7.53940,-0.2226,-0.2469
2022-03-31,3.31200,2.06800,1.24400,10.73200,14.29800,25.03000,-23.78600,0.14000,-23.64600,-23.64600,-23.64600,-23.64600,-22.59700,-23.78600,62.00350,62.00350,-0.38000,-0.38000,41.02010,37.56040,-718.17630,-718.17630,-713.94930,-713.94930,0.00630,0.58250,0.74280,121.16850,-4.86090,-4.86090,-4.48620,-4.86090,7.80920,-0.30890,-0.32630
2021-12-31,3.06600,1.63300,1.43300,8.21400,13.09200,21.30600,-19.87300,0.13400,-19.73900,-19.73900,-19.73900,-19.73900,-18.65900,-19.87300,60.86400,60.86400,-0.33000,-0.33000,30.67120,46.73840,-648.17340,-648.17350,-643.80300,-643.80300,0.00570,0.39400,0.73990,121.64390,-3.92490,-3.92490,-3.66120,-3.92490,8.10950,-0.2057,-0.228
2021-09-30,2.15500,0.98600,1.16900,7.74500,11.85500,19.60000,-18.43100,0.04600,-18.38500,-18.38500,-18.38500,-18.38500,-17.34400,-18.43100,61.13350,61.13350,-0.30000,-0.30000,53.83300,54.24590,-855.26680,-855.26680,-853.13230,-853.13230,0.00410,0.38560,0.84840,106.07890,-3.56850,-3.56850,-3.48310,-3.56850,8.35630,-0.1412,-0.1843
2021-06-30,1.33400,0.58600,0.74800,6.93500,10.48400,17.41900,-16.67100,0.05500,-16.61600,-16.61600,-16.61600,-16.61600,-15.85100,-16.67100,60.84170,60.84170,-0.27000,-0.27000,62.87560,56.07200,-1249.70000,-1249.70000,-1245.57700,-1245.57700,0.00250,0.21950,0.79640,113.00600,-3.15870,-3.15870,-3.09390,-3.15870,8.56420,-0.1663,-0.2006
2021-03-31,0.06200,,0.06200,6.22700,10.33300,,-16.49800,0.06900,-16.42900,-16.42900,-16.42900,-16.42900,-15.86400,-16.49800,59.88780,59.88780,-0.27000,-0.27000,72.50370,100.00000,-26609.68000,-26609.68000,-26498.39000,-26498.39000,0.00010,,0.12090,744.67740,-3.06640,-3.06640,-3.01100,-3.06640,8.73880,-0.24830,-0.26230
2020-12-31,0.33600,,0.33600,5.42200,7.95500,,-13.04100,0.10500,-12.93600,-12.93600,-12.93600,-12.93600,-12.49100,-13.04100,23.89300,23.89300,-0.54000,-0.54000,53.51220,100.00000,-3881.25000,-3881.25000,-3850.00000,-3850.00000,0.00080,,1.28240,70.17860,-2.99720,-2.99720,-2.92460,-2.99720,7.28320,0.62,0.8587
2020-09-30,0.07200,,0.07200,4.76200,3.72600,,-8.41600,0.18700,-8.22900,-8.22900,-8.22900,-8.22900,-7.90000,-8.41600,10.28540,10.28540,-0.80000,-0.80000,,100.00000,-11688.89000,-11688.89000,-11429.17000,-11429.17000,,,,,,,,,,-0.4778,-0.5419
2020-06-30,0.07100,,0.07100,4.53600,1.90200,,-6.36700,0.25000,-6.11700,-6.11700,-6.11700,-6.11700,-5.88900,-6.36700,9.71840,9.71840,-0.63000,-0.63000,,100.00000,-8967.60400,-8967.60400,-8615.49300,-8615.49300,,,,,,,,,,-0.4466,-0.6922
2020-03-31,0.17700,,0.17700,4.22200,1.78000,,-5.82500,0.33200,-5.49300,-5.49300,-5.49300,-5.49300,-5.50200,-5.82500,8.94430,8.94430,-0.61000,-0.61000,,100.00000,-3290.96000,-3290.96000,-3103.39000,-3103.39000,,,,,,,,,,-0.56730,-0.68610
2019-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
