Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,131.40950,131.40950,46.35540,-46.66850,27.92820,27.92820,5.80000,22.12820,22.12820,,22.12820,44.78950,38.38560,5.46900,5.54900,4.05000,3.99000,19.52770,0.54740,1.20950,100.00000,21.25280,29.21070,21.25280,16.83910,0.12530,27.55770,3.26590,5.30060,5.51840,2.10910,2.39900,72.35070,9.7063,9.5464
2024-06-30,129.52730,129.52730,61.41230,-45.41900,12.92720,12.92720,2.97970,9.94740,9.94740,,9.94740,29.04420,22.69590,5.48000,5.56800,1.82000,1.79000,17.01630,0.53830,1.16590,100.00000,9.98030,17.52210,9.98030,7.67980,0.12350,32.78670,2.74500,2.35380,2.45510,0.94880,1.08670,72.27830,8.69450,8.52890
2024-03-31,159.26490,159.26490,71.61820,-29.27620,46.61380,46.61370,11.55450,35.05920,35.05920,,35.05920,65.41830,58.37060,5.74860,5.86200,6.13000,6.02000,15.97750,0.53890,1.16870,100.00000,29.26810,36.65000,29.26810,22.01320,0.15080,51.52160,1.74680,8.26040,8.63560,3.31890,3.80890,71.46440,14.2872,14.0364
2023-12-31,137.74940,137.74940,65.90930,-40.63200,19.51820,19.51820,2.85330,16.66480,16.66480,,16.66480,37.98180,31.20810,5.77300,5.86000,2.89000,2.84000,20.46310,0.58970,1.43730,100.00000,14.16930,22.65570,14.16930,12.09790,0.12300,80.23660,1.12170,4.09440,4.30010,1.48850,1.67990,67.02110,10.3279,10.1209
2023-09-30,136.87530,136.87530,62.94750,-40.46310,20.92150,20.92150,4.83910,16.08240,16.08240,,16.08240,40.10860,33.46470,5.78000,5.93900,2.78000,2.71000,17.35900,0.57770,1.36810,100.00000,15.28510,24.44910,15.28510,11.74970,0.12380,,,3.92230,4.12910,1.45450,1.65630,65.63520,10.5864,10.3452
2023-06-30,139.32380,139.32380,68.12520,-46.60200,12.35430,12.35430,2.81560,9.53870,9.53870,,9.53870,30.92310,24.59660,5.77300,5.89100,1.65000,1.62000,18.20160,0.59600,1.47500,100.00000,8.86740,17.65430,8.86730,6.84650,0.12510,,,2.40340,2.54170,0.85630,0.97110,63.60380,10.13860,9.88520
2023-03-31,160.83670,160.83670,73.17770,-45.41210,30.06150,30.06150,5.43010,24.63150,24.63150,,24.63150,48.77580,42.24690,5.74900,5.89900,4.28000,4.21000,17.03240,0.60710,1.54520,100.00000,18.69070,26.26700,18.69070,15.31460,0.14390,,,6.39400,6.79360,2.20450,2.51220,61.82420,14.2743,14.0878
2022-12-31,146.53220,146.53220,64.95140,-59.60870,7.90160,7.90160,2.09710,5.80460,5.80460,,5.80460,29.32280,21.97210,5.76200,5.85700,1.01000,0.99000,20.53030,0.66770,2.00910,100.00000,5.39240,14.99470,5.39240,3.96130,0.12040,52.51970,1.71360,1.61410,1.72830,0.47700,0.53640,57.73420,11.2838,11.0696
2022-09-30,151.25820,151.25820,69.69430,-68.62020,-0.08870,-0.08870,0.54890,-0.63760,-0.63760,,-0.63760,19.62460,12.94370,5.72600,5.72600,-0.11000,-0.11000,18.27180,0.67680,2.09400,100.00000,-0.05860,8.55740,-0.05860,-0.42150,0.12130,,,-0.17880,-0.19220,-0.05110,-0.05780,56.76240,13.7325,13.4214
2022-06-30,157.91830,157.91830,71.65040,-85.82230,-10.72870,-10.72870,-2.16220,-8.56650,-8.56650,,-8.56650,7.97690,0.44560,5.74100,5.74100,-1.49000,-1.49000,17.66620,0.68690,2.19440,100.00000,-6.79380,0.28220,-6.79380,-5.42460,0.12350,,,-2.41900,-2.61240,-0.66970,-0.75730,56.38070,10.13370,9.94740
