Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3011.60000,1793.00000,1218.60000,-1512.40000,1512.40000,-293.79980,-293.80000,-100.40000,-193.40000,-193.40000,-220.00000,-293.79980,-293.79980,230.70000,230.70000,-0.95000,-0.95000,0.25850,0.35190,-9.75560,-9.75560,-9.75560,-7.30510,0.00930,-1.71430,-2.34140,-0.05990,-1.27120,49.20120,5.1074,5.0291
2024-06-30,4310.80000,2101.80000,2209.00000,-1765.10000,1765.10000,443.89990,443.90000,87.10000,356.80000,356.80000,353.10000,443.89990,443.89990,233.80000,236.60000,1.51000,1.49000,0.26230,0.36010,10.29740,10.29740,10.29740,8.19110,0.01400,3.22630,4.42120,0.11560,2.38010,47.60800,6.08,6.0035
2024-03-31,4053.30000,2099.00000,1954.30000,-1327.20000,1327.20000,627.09990,627.10000,95.10000,532.00000,532.00000,532.50000,627.09990,627.09990,236.00000,239.40000,2.26000,2.22000,0.25930,0.35460,15.47130,15.47130,15.47130,13.13740,0.01310,4.73710,6.46750,0.17230,3.50880,47.78220,2.44030,2.37010
2023-12-31,2690.80000,2491.50000,199.29980,-1306.50000,1306.50000,-1107.20100,-1107.20000,-268.00000,-839.20010,-839.20010,-871.70000,-1107.20100,-1107.20100,241.30000,244.60000,-3.61000,-3.55000,0.26390,0.36420,-41.14760,-41.14770,-41.14760,-32.39560,0.00880,-7.65570,-10.64520,-0.27510,-5.63500,46.36180,3.8451,3.7314
2023-09-30,4598.70000,1731.60000,2867.10000,-1262.20000,1262.20000,1604.90000,1604.90000,354.80000,1250.10000,1250.10000,1246.20000,1604.90000,1604.90000,241.10000,244.30000,5.17000,5.10000,0.26820,0.36870,34.89900,34.89900,34.89900,27.09900,0.01600,11.65820,16.34350,0.43410,8.53130,44.74250,4.3364,4.2461
2023-06-30,3557.30000,1857.20000,1700.10000,-1246.50000,1246.50000,453.60030,453.60000,59.90000,393.70000,393.70000,388.80000,453.60030,453.60030,242.70000,245.50000,1.60000,1.58000,0.27760,0.38690,12.75130,12.75130,12.75120,10.92960,0.01190,3.78940,5.44330,0.13160,2.73740,42.93180,4.4664,4.3824
2023-03-31,2819.00000,1797.10000,1021.90000,-1234.40000,1234.40000,-212.50000,-212.50000,-78.00000,-134.50000,-134.50000,-140.10000,-212.50000,-212.50000,243.40000,243.40000,-0.58000,-0.58000,0.31360,0.45930,-7.53810,-7.53810,-7.53810,-4.96980,0.00940,-1.31080,-1.89730,-0.04490,-0.89970,42.20810,2.85660,2.72760
2022-12-31,3150.80000,1918.50000,1232.30000,-1234.70000,1234.69900,-2.39940,-2.40000,-11.20000,8.79980,8.79980,-16.20000,-2.39940,-2.39990,251.10000,255.30000,-0.03000,-0.04000,0.28520,0.40700,-0.07620,-0.07620,-0.07620,-0.51420,0.01080,0.08780,0.12780,0.00300,0.06280,41.13240,4.4499,4.337
2022-09-30,4625.30000,1826.10000,2799.20000,-1158.80000,1158.80000,1640.40000,1640.40000,328.80000,1311.60000,1311.60000,1315.70000,1640.40000,1640.40000,248.00000,251.90000,5.31000,5.22000,0.29560,0.42660,35.46580,35.46580,35.46580,28.44570,0.01640,13.82330,20.44460,0.46420,9.73770,38.74360,4.7059,4.565
2022-06-30,6664.50000,1467.70000,5196.80000,-1226.20000,1226.20000,3970.60000,3970.60000,836.70000,3133.90000,3133.90000,3118.70000,3970.60000,3970.60000,252.60000,256.30000,12.35000,12.17000,0.27870,0.39240,59.57840,59.57840,59.57840,46.79570,0.02270,28.28790,39.44940,1.06880,20.40390,44.33210,3.1529,3.0475
