Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,65.61000,11.12900,54.48100,31.89700,43.36100,75.25800,-20.77700,6.04700,-14.73000,0.16800,-14.89800,-14.89800,-14.89800,-20.00000,-20.77700,378.43700,378.43700,-0.04000,-0.04000,17.52830,,83.03770,-31.66740,-31.66740,-22.45090,-22.70690,0.12670,2.22300,40.48560,-3.26680,-3.27770,-2.87790,-3.26680,1.20940,-0.0355,-0.0361
2024-06-30,63.29200,10.28000,53.01200,31.10200,70.92600,102.02800,-49.01600,6.55100,-42.46500,0.31600,-42.78100,-42.78100,-42.78100,-47.87300,-49.01600,388.09000,388.09000,-0.11000,-0.11000,15.07370,,83.75780,-77.44420,-77.44420,-67.09380,-67.59310,0.11680,2.25180,39.96760,-9.05770,-9.09110,-7.89220,-9.05770,1.24550,-0.0142,-0.0144
2024-03-31,53.14600,9.97800,43.16800,31.31900,46.59800,77.91700,-34.74900,6.68700,-28.06200,0.19900,-28.26100,-28.26100,-28.26100,-33.36200,-34.74900,392.21900,392.21900,-0.07000,-0.07000,16.51870,,81.22530,-65.38400,-65.38400,-52.80170,-53.17620,0.08390,2.03960,44.12620,-5.21960,-5.23960,-4.46400,-5.21960,1.38520,-0.03470,-0.03480
2023-12-31,55.55700,10.53900,45.01800,40.25000,52.42200,92.67200,-47.65400,7.16600,-40.48800,0.04200,-40.53000,-40.53000,-40.53000,-46.24100,-47.65400,379.25400,379.25400,-0.11000,-0.11000,16.01030,,81.03030,-85.77500,-85.77490,-72.87650,-72.95210,0.08490,2.11780,42.49640,-7.25620,-7.28900,-6.19190,-7.25620,1.43820,-0.0401,-0.0401
2023-09-30,56.09200,10.72300,45.36900,39.64900,50.09600,89.74500,-44.37600,6.54900,-37.82700,0.28900,-38.11600,-38.11600,-38.11600,-42.92500,-44.37600,381.48200,381.48200,-0.10000,-0.10000,16.76540,,80.88320,-79.11290,-79.11290,-67.43740,-67.95270,0.08370,1.87030,48.12080,-6.64990,-6.68440,-5.68810,-6.64990,1.49450,-0.0469,-0.0472
2023-06-30,56.88900,10.43800,46.45100,37.11700,50.77600,87.89300,-41.44200,6.16300,-35.27900,0.12400,-35.40300,-35.40300,-35.40300,-39.98800,-41.44200,375.89600,375.89600,-0.09000,-0.09000,15.96890,,81.65200,-72.84710,-72.84710,-62.01370,-62.23170,0.08320,2.00430,44.90270,-6.07170,-6.10740,-5.17560,-6.07170,1.54410,-0.0325,-0.0328
2023-03-31,49.77100,9.91300,39.85800,32.98200,45.68800,78.67000,-38.81200,5.39700,-33.41500,0.30100,-33.71600,-33.71600,-33.71600,-37.36100,-38.81200,373.02500,373.02500,-0.09000,-0.09000,18.46930,,80.08280,-77.98110,-77.98110,-67.13750,-67.74230,0.07160,1.77470,50.71330,-5.65300,-5.68970,-4.85270,-5.65300,1.59250,-0.03680,-0.03690
2022-12-31,53.27000,9.85700,43.41300,32.01600,47.72800,79.74400,-36.33100,4.21600,-32.11500,1.29300,-33.40800,-33.40800,-33.40800,-34.84400,-36.33100,378.73100,378.73100,-0.08000,-0.08000,18.03820,,81.49620,-68.20160,-68.20160,-60.28720,-62.71450,0.07610,1.78940,50.29660,-5.46720,-5.50570,-4.77560,-5.46720,1.64390,-0.0518,-0.0543
2022-09-30,53.95400,9.88200,44.07200,33.39800,47.06600,80.46400,-36.39200,1.99400,-34.39800,0.31900,-34.71700,-34.71700,-34.71700,-34.92700,-36.39200,377.75600,377.75600,-0.09000,-0.09000,18.52940,,81.68440,-67.45010,-67.45010,-63.75430,-64.34560,0.07560,2.00100,44.97670,-5.56850,-5.61090,-4.86280,-5.56850,1.68870,-0.035,-0.0374
2022-06-30,54.54100,10.18700,44.35400,32.69900,49.91000,82.60900,-38.25500,1.44500,-36.81000,0.03300,-36.84300,-36.84300,-36.84300,-36.88100,-38.25500,385.12700,385.12700,-0.10000,-0.10000,21.24770,,81.32230,-70.13990,-70.13990,-67.49050,-67.55100,0.06880,2.08470,43.17250,-5.25230,-5.29120,-4.64510,-5.25230,1.81880,-0.0586,-0.0603
2022-03-31,51.00000,9.05500,41.94500,28.96000,46.21100,75.17100,-33.22600,0.30600,-32.92000,0.02800,-32.94800,-32.94800,-32.94800,-31.89600,-33.22600,381.87700,381.87700,-0.09000,-0.09000,21.42380,,82.24510,-65.14900,-65.14900,-64.54900,-64.60390,0.06200,2.31280,38.91350,-4.52790,-4.56300,-4.00730,-4.52790,1.88400,-0.01440,-0.01610
2021-12-31,59.32700,8.50500,50.82200,27.48400,52.60300,80.08700,-29.26500,0.00300,-29.26200,0.06100,-29.32300,-29.32300,-29.32300,-28.29500,-29.26500,146.33700,146.33700,,0.00000,22.73660,,85.66420,-49.32830,-49.32830,-49.32320,-49.42610,0.07060,1.99940,45.01440,-3.93610,-3.96830,-3.49050,-3.93610,1.94180,-0.0375,-0.0219
2021-09-30,52.70500,7.37100,45.33400,25.46100,38.95300,64.41400,-19.08000,-0.25600,-19.33600,0.02700,-19.36300,-19.36300,-19.36300,-18.03300,-19.08000,106.38700,106.38700,-0.18000,-0.18000,0.66430,0.00000,86.01460,-36.20150,-36.20150,-36.68720,-36.73850,0.12610,,,76.89830,76.89840,-4.63350,76.89830,-4.10570,-0.0646,-0.0792
2021-06-30,45.77800,6.60000,39.17800,23.33100,37.31500,60.64600,-21.46800,-0.00100,-21.46900,0.03000,-21.49900,-21.49900,-21.49900,-20.39600,-21.46800,103.13300,103.13300,-0.21000,-0.21000,9.60550,-0.00020,85.58260,-46.89590,-46.89590,-46.89810,-46.96360,0.10940,,,73.68290,73.68280,-5.13770,73.68290,-4.75750,-0.1588,-0.2009
2021-03-31,34.38700,6.33700,28.05000,20.82000,32.22300,53.04300,-24.99300,-0.10800,-25.10100,0.03900,-25.14000,-25.14000,-25.14000,-23.91000,-24.99300,97.87300,97.87300,-0.26000,-0.26000,3.23910,-0.00500,81.57150,-72.68150,-72.68150,-72.99560,-73.10900,0.08200,,,97.00490,97.00490,-5.99540,97.00490,-4.22570,-0.08940,-0.10880
2020-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
