Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1116.03400,629.94310,486.09100,76.20500,246.03600,,325.19500,160.89600,15.17000,176.06600,30.58300,145.48300,145.48300,,145.48300,180.58500,160.89600,152.46000,153.67200,0.95000,0.95000,2.21200,43.55520,14.41680,14.41680,15.77600,13.03570,0.30620,1.21030,1.77350,50.74670,6.88870,9.01730,3.99190,6.88870,13.90910,1.0899,0.9946
2024-06-30,1088.21700,621.95900,466.25800,75.30700,234.36300,,312.75900,153.49900,13.89200,167.39100,25.55800,141.83300,141.83300,,141.83300,173.08400,153.49900,153.30000,154.97800,0.93000,0.92000,2.39080,42.84610,14.10560,14.10560,15.38210,13.03350,0.29530,1.35330,1.84050,48.89890,6.30670,8.11660,3.84900,6.30670,14.69740,1.13580,1.04170
2024-03-31,1011.48700,574.51010,436.97650,75.42100,224.10400,,306.75990,130.21660,13.57900,143.79600,-23.81900,167.61500,167.61500,,167.61500,153.03160,130.21670,156.77600,158.17100,1.07000,1.07000,2.42320,43.20150,12.87380,12.87380,14.21630,16.57120,0.28060,1.35970,1.86720,48.20070,7.50410,9.70520,4.64990,7.50410,14.71100,1.4851,1.4212
2023-12-31,1255.47300,728.69300,526.78000,72.70400,228.88600,,304.70500,222.07510,13.01500,235.09000,-9.59400,244.68400,244.68400,,244.68400,241.88810,222.07510,155.93300,157.44000,1.57000,1.55000,2.24440,41.95870,17.68860,17.68860,18.72520,19.48940,0.34300,1.62920,1.83070,49.16070,11.17230,14.63070,6.68550,11.17230,14.12990,2.8411,2.7701
2023-09-30,1057.00800,618.38600,438.62210,68.55900,211.89400,,281.98300,156.63910,10.81200,167.45100,30.33400,137.11700,137.11700,,137.11700,178.95810,156.63910,157.91100,158.93400,0.87000,0.86000,2.29290,41.49660,14.81910,14.81910,15.84200,12.97220,0.30860,1.16030,1.60910,55.93200,6.60080,8.80210,4.00340,6.60080,13.22450,1.4162,1.2991
2023-06-30,974.49900,598.85700,375.64200,70.55900,220.48200,,297.23700,78.40500,-3.14600,75.25900,12.53200,62.72700,62.72700,,62.72700,101.73000,78.40500,158.85900,160.15500,0.39000,0.39000,2.60940,38.54720,8.04570,8.04570,7.72280,6.43680,0.28330,1.04630,1.73210,51.95920,2.81780,3.65770,1.82350,2.81780,14.03380,1.49730,1.39590
2023-03-31,960.07690,616.21300,343.86390,70.63000,213.49700,,305.01970,38.84420,13.84700,52.69100,11.19600,41.49500,41.49500,,41.49500,64.68920,38.84410,162.30200,163.70400,0.27000,0.26000,2.48090,35.81630,4.04600,4.04590,5.48820,4.32210,0.26960,0.90240,1.52300,59.09360,1.83800,2.38510,1.16530,1.83800,14.16790,1.3106,1.1717
2022-12-31,1269.92500,792.65700,477.26800,65.64000,226.41900,,300.52300,176.74490,6.07100,182.81600,42.66300,140.15300,140.15300,,140.15300,202.08390,176.74490,161.24400,162.52900,0.87000,0.86000,2.30680,37.58240,13.91770,13.91770,14.39580,11.03630,0.33960,0.99370,1.58260,56.86880,6.20510,8.07880,3.74820,6.20510,14.06080,1.7247,1.5757
2022-09-30,1148.95100,710.17100,438.78000,69.00900,228.68000,,311.37900,127.40110,-21.93800,105.46300,23.37200,82.09100,82.09100,,82.09100,152.07810,127.40110,163.18600,164.32800,0.50000,0.50000,2.19650,38.18960,11.08850,11.08850,9.17910,7.14490,0.31520,0.80700,1.48690,60.52980,3.78550,4.98980,2.25220,3.78550,13.37270,0.441,0.2824
2022-06-30,1159.86500,700.26200,459.60300,75.51700,265.23800,,344.12400,115.47900,7.07300,122.55200,21.71600,100.83600,100.83600,,100.83600,140.33400,115.47900,164.67900,166.40600,0.61000,0.61000,2.28100,39.62560,9.95620,9.95620,10.56610,8.69380,0.30290,0.76330,1.64080,54.85100,4.26840,5.50620,2.63300,4.26840,14.39980,-0.21430,-0.33190
2022-03-31,1229.99400,736.08700,493.90720,78.40800,283.37400,0.00000,365.13800,128.76900,2.95200,131.72100,23.51600,108.20500,108.20500,,108.20500,157.69900,128.76880,167.44700,170.41400,0.65000,0.64000,2.16230,40.15520,10.46910,10.46910,10.70910,8.79720,0.30480,0.78880,1.82060,49.43470,4.51090,5.79630,2.68140,4.51090,14.51570,0.5795,0.4319
2021-12-31,1632.78200,974.77200,658.01000,75.52900,308.41900,1.11000,395.25900,262.75090,-3.39500,259.35600,49.34500,210.01100,210.01100,,210.01100,298.41890,262.75090,167.09000,169.70700,1.26000,1.24000,2.05440,40.29990,16.09220,16.09220,15.88430,12.86220,0.39230,1.16800,1.93040,46.62300,8.86890,11.48020,5.04640,8.86890,14.22470,2.209,2.1091
2021-09-30,1306.26700,764.10400,542.16300,68.66100,289.89800,0.92500,362.75200,179.41100,-6.50200,172.90900,33.45300,139.45600,139.45600,,139.45600,211.04800,179.41100,168.38900,171.34300,0.83000,0.81000,2.08650,41.50480,13.73460,13.73460,13.23690,10.67590,0.33870,0.92320,1.79410,50.16330,6.16330,8.15620,3.61640,6.16330,13.48640,-0.3696,-0.5027
2021-06-30,1312.05800,743.13200,568.92600,69.24600,292.85600,1.47400,365.84500,203.08110,8.75100,211.83200,24.99100,186.84100,186.84100,,186.84100,232.38600,203.08110,168.37200,172.02000,1.11000,1.09000,2.11020,43.36140,15.47810,15.47810,16.14500,14.24030,0.32840,0.95450,2.40340,37.44620,7.87530,10.31970,4.67630,7.87530,14.06350,-0.66840,-0.81090
2021-03-31,1535.92500,824.65610,711.26870,69.00900,341.99990,,416.18690,295.08200,-11.11000,283.97200,58.22500,225.74690,225.74700,,225.74700,318.01500,295.08220,168.52300,171.77500,1.35000,1.31000,1.87850,46.30890,19.21200,19.21200,18.48870,14.69780,0.37080,1.24740,2.50880,35.87430,9.98090,13.14750,5.44970,9.98090,13.06590,3.1122,2.9361
2020-12-31,1667.30200,918.29200,749.01000,53.91000,242.09100,,300.94700,448.06300,6.79400,454.85700,72.33400,382.52300,382.52300,,382.52300,469.86000,448.06300,169.05000,172.58700,2.26000,2.22000,1.89810,44.92350,26.87350,26.87350,27.28100,22.94260,0.43730,1.92590,1.86300,48.30820,18.20010,23.94570,10.03220,18.20010,12.44660,3.0541,2.9486
2020-09-30,1257.15800,687.43500,569.72300,53.37900,190.46100,,248.17000,321.55290,1.66200,323.21500,56.30100,266.91400,266.91400,,266.91400,339.51390,321.55290,168.64500,171.38200,1.58000,1.56000,1.79060,45.31830,25.57780,25.57780,25.71000,21.23150,0.40610,1.74160,1.67450,53.74620,15.64590,22.36760,8.62160,15.64590,10.10950,1.6267,1.5371
2020-06-30,791.89400,486.16100,305.73300,49.72500,162.30900,-5.71600,222.30600,83.42690,2.64900,86.07600,14.00300,72.07300,72.07300,,72.07300,103.30590,83.42690,167.61200,170.12700,0.43000,0.42000,1.90200,38.60780,10.53510,10.53510,10.86960,9.10130,0.30300,1.79280,1.58280,56.86060,4.59800,6.87890,2.75750,4.59800,9.30710,0.69860,0.62620
2020-03-31,709.24820,432.37210,276.87610,50.09400,166.65000,,244.73080,32.14530,37.97300,70.11800,-143.80200,213.92000,213.92000,,213.92000,51.78430,32.14520,166.83700,169.38100,1.29000,1.27000,1.98070,39.03800,4.53230,4.53230,9.88620,30.16150,0.30010,1.88600,1.79670,50.09090,14.36410,22.25070,9.05110,14.36410,8.92330,0.5988,0.5347
2019-12-31,902.68700,568.23400,334.45300,43.29200,157.29400,,205.62500,128.82800,3.16400,131.99200,14.46700,117.52500,117.52500,,117.52500,147.81900,128.82800,167.06300,169.68500,0.70000,0.69000,1.76200,37.05080,14.27160,14.27160,14.62210,13.01950,0.38470,1.84800,1.69900,52.97280,9.05580,15.44130,5.00880,9.05580,7.49710,1.0642,1.0084
2019-09-30,719.69100,447.61500,272.07600,41.96400,158.20300,,204.02100,68.05500,2.28000,70.33500,-2.59800,72.93300,72.93300,,72.93300,85.50700,68.05500,166.66200,169.02700,0.44000,0.43000,1.74450,37.80460,9.45610,9.45610,9.77290,10.13390,0.33380,1.32310,1.54450,58.27110,6.24670,10.14950,3.38230,6.24670,6.99530,0.6298,0.5781
2019-06-30,644.22500,405.24900,238.97600,42.24300,145.19200,,191.50910,47.46690,4.41400,51.88100,6.53600,45.34500,45.34500,,45.34500,65.13590,47.46690,166.30200,168.79700,0.27000,0.27000,1.88390,37.09510,7.36810,7.36810,8.05320,7.03870,0.30860,1.36440,1.53820,58.50980,3.78500,6.10950,2.17200,3.78500,6.92080,0.21630,0.16100
2019-03-31,624.30810,391.33300,232.97510,42.11000,143.18500,,190.74830,42.22680,3.15900,45.38600,3.26500,42.12100,42.12100,,42.12100,59.98680,42.22690,165.60900,168.96500,0.26000,0.24000,1.88130,37.31730,6.76380,6.76380,7.26980,6.74680,0.30840,1.33340,1.62870,55.25770,3.58070,5.90210,2.08090,3.58070,7.09230,0.1873,0.1422
2018-12-31,864.38800,540.40590,323.98210,40.59100,156.74600,,200.59810,123.38400,-1.26500,122.11900,9.30900,112.81000,112.81000,,112.81000,141.03900,123.38400,165.70700,168.90700,0.68000,0.67000,1.62280,37.48110,14.27420,14.27420,14.12780,13.05090,0.39910,1.58000,1.78520,50.41530,9.96480,17.06460,5.20880,9.96480,6.83010,1.0444,0.9854
2018-09-30,691.14600,435.02900,256.11700,39.54200,147.00700,,190.98500,65.13200,5.24700,70.37900,6.20300,64.17600,64.17600,,64.17600,81.77600,65.13200,165.63000,169.23400,0.39000,0.38000,1.50120,37.05690,9.42380,9.42380,10.18290,9.28540,0.34450,1.21250,1.50350,59.86000,6.34050,11.99380,3.19890,6.34050,5.84710,0.5017,0.4449
2018-06-30,608.48000,384.54300,223.93700,38.98700,140.05700,,191.48610,32.45090,0.79800,33.24900,-5.21700,38.46600,38.46600,,38.46600,48.04290,32.45090,165.31700,168.75600,0.23000,0.23000,1.81940,36.80270,5.33310,5.33310,5.46430,6.32170,0.32030,1.41030,1.57820,57.02590,3.64520,5.51780,2.02510,3.64520,6.09600,0.07280,0.02100
2018-03-31,592.42610,380.19120,212.23490,37.61600,132.95900,0.00000,173.12800,39.10690,0.32900,39.43600,5.03200,34.40400,34.40400,,34.40400,55.13790,39.10690,-82.01900,-84.48550,-0.42000,-0.40000,2.03760,35.82470,6.60110,6.60110,6.65670,5.80730,0.33990,1.46280,2.75690,32.64480,3.27480,5.00380,1.97370,3.27480,6.06890,0.5346,0.4626
2017-12-31,812.02100,536.42000,275.60100,34.39800,138.44400,,175.33790,100.26310,0.55000,100.81300,20.04000,80.77300,80.77300,,80.77300,115.52810,100.26310,164.24800,169.07900,0.49000,0.48000,1.77210,33.94010,12.34740,12.34740,12.41510,9.94720,0.44350,1.92280,2.30850,38.98640,8.01930,12.63460,4.41180,8.01930,6.13390,1.1154,1.0538
2017-09-30,632.47000,404.73300,227.73700,36.64700,132.65200,2.93000,168.79900,58.93800,1.50700,60.44500,4.08700,56.35800,56.35800,,56.35800,72.80300,58.93800,164.12000,169.07800,0.34000,0.33000,1.72300,36.00760,9.31870,9.31870,9.55700,8.91080,0.38280,1.22490,2.27640,39.53630,6.11370,10.12110,3.41130,6.11370,5.60860,0.4044,0.3625
2017-06-30,529.94600,336.27800,193.66800,35.09900,127.78700,1.97800,162.24300,31.42500,0.14600,31.57100,-5.43600,37.00700,37.00700,,37.00700,43.16600,31.42500,163.40700,168.33900,0.23000,0.22000,2.06860,36.54490,5.92980,5.92980,5.95740,6.98320,0.33380,1.20360,2.39430,37.58990,3.89410,5.64490,2.33120,3.89410,5.79800,-0.00520,-0.06490
2017-03-31,510.55190,312.77310,197.77880,33.65800,124.66800,-1.83300,161.46090,36.31790,1.92300,38.24100,-1.18400,39.42500,39.42500,,39.42500,47.70890,36.31790,-81.02900,-82.77000,-0.48000,-0.48000,2.02700,38.73830,7.11350,7.11350,7.49010,7.72200,0.34070,1.23430,2.75710,32.64330,4.60510,7.05520,2.63070,4.60510,5.27230,0.2916,0.2403
2016-12-31,666.70700,419.94400,246.76300,32.28400,126.63400,9.92500,150.48700,96.27600,2.83600,99.11200,1.64700,97.46500,97.46500,,97.46500,107.89000,96.27600,161.97700,165.90100,0.60000,0.59000,,37.01220,14.44050,14.44050,14.86590,14.61890,,,,,,,,,,0.8955,0.8438
2016-09-30,564.30400,357.43100,206.87300,32.63200,119.08200,,153.46200,53.41100,-0.77300,52.63800,5.59300,47.04500,47.04500,,47.04500,66.08100,53.41100,162.22200,165.54900,0.29000,0.28000,,36.65990,9.46490,9.46490,9.32800,8.33680,,,,,,,,,,0.4514,0.4118
2016-06-30,479.86400,311.23800,168.62600,31.95100,109.52700,,142.77100,25.85500,-0.85700,24.99800,3.05700,21.94100,21.94100,,21.94100,40.66800,25.85500,162.13000,164.30300,0.14000,0.13000,,35.14040,5.38800,5.38800,5.20940,4.57230,,,,,,,,,,0.10360,0.05410
