Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,4.18990,1.63760,-5.82750,0.04940,-5.77810,-5.77810,-5.77810,-5.77810,-5.82090,-5.82750,8.88300,8.88300,-0.65000,-0.65000,0.85380,,,,,,,,,,1088.97900,1088.98700,-132.01350,1088.98700,-0.07110,-0.37,-0.37
2024-06-30,,,3.07580,1.97470,-5.05050,0.09090,-4.95960,-4.95960,-4.95960,-4.95960,-5.04400,-5.05050,7.53600,7.53600,-0.66000,-0.66000,2.32220,,,,,,,,,,-97.31120,-97.31120,-56.18810,-97.31120,0.70630,-0.574,-0.574
2024-03-31,,,2.75130,2.03110,-4.78240,0.13270,-4.64960,-4.64960,-4.64960,-4.64960,-4.77580,-4.78240,6.34100,6.34100,-0.73000,-0.73000,2.55320,,,,,,,,,,-68.61260,-68.61260,-42.00940,-68.61260,1.04630,-0.60980,-0.60980
2023-12-31,0.00000,0.00000,3.00300,1.40060,-4.40360,0.22560,-4.17790,-4.17790,-4.17790,-4.17790,-4.39700,-4.40360,5.33300,5.33300,-0.90000,-0.90000,4.13280,,,,,,,0.00000,,,-38.05760,-38.05760,-28.80020,-38.05760,1.77460,-1.0153,-1.0156
2023-09-30,0.07960,0.07960,3.22560,1.62290,-4.76890,0.17370,-4.59520,-4.59520,-4.59520,-4.59520,-4.76230,-4.76890,6.16300,6.16300,-0.75000,-0.75000,6.40110,,100.00000,-5993.38500,-5993.38500,-5775.11200,-5775.11200,0.00440,,,-30.59820,-30.59820,-25.69920,-30.59820,2.80180,-0.6658,-0.6658
2023-06-30,0.11640,0.11640,4.53570,1.78310,-6.20240,0.42440,-5.77800,-5.77800,-5.77800,-5.77800,-6.04320,-6.20240,6.16200,6.16200,-0.94000,-0.94000,8.04370,,100.00000,-5328.06500,-5328.06500,-4963.46200,-4963.46200,0.00520,1.46240,61.54420,-29.68480,-29.68480,-25.85520,-29.68480,3.67880,-0.4076,-0.4099
2023-03-31,0.06450,0.06450,2.85410,1.92540,-4.71490,0.23720,-4.47780,-4.47780,-4.47780,-4.47780,-4.70990,-4.71490,4.58500,4.58500,-0.98000,-0.98000,10.37030,,100.00000,-7307.62000,-7307.62000,-6940.03200,-6940.03200,0.00230,1.00000,90.00000,-17.68400,-17.68400,-15.89930,-17.68400,4.89100,-1.30250,-1.30250
2022-12-31,0.06360,0.06360,3.05420,1.34440,-4.33500,0.05590,-4.27910,-4.27910,-4.27910,-4.27910,-4.32990,-4.33500,4.22300,4.22300,-1.04020,-1.04020,6.59490,,100.00000,-6819.64400,-6819.64400,-6731.66800,-6731.66700,0.00250,1.59390,56.46560,-20.34210,-20.34220,-17.15990,-20.34220,4.98000,-0.8429,-0.8429
2022-09-30,0.00730,0.00730,2.98170,1.53870,-4.51310,0.01850,-4.49460,-4.49460,-4.49460,-4.49460,-4.51310,-4.51310,4.22400,4.22400,-1.06000,-1.06000,8.71040,,100.00000,-61899.59000,-61899.59000,-61645.36000,-61645.36000,0.00030,0.52670,170.86540,-17.88080,-17.88080,-15.72560,-17.88080,5.97720,-1.3032,-1.3506
2022-06-30,0.00660,0.00660,2.98220,1.66430,-4.63990,,-4.63990,-4.63990,-4.63990,-4.63990,-4.63990,-4.63990,4.22400,4.22400,-1.10000,-1.10000,7.56060,,100.00000,-70817.14000,-70817.14000,-70817.14000,-70817.14000,0.00020,1.00000,90.00000,-15.72750,-15.72750,-13.64990,-15.72750,7.01540,-1.0263,-1.0365
2022-03-31,0.04600,0.04600,3.01700,1.66960,-4.64060,0.00000,-4.64060,-4.64060,-4.64060,-4.64060,-4.64060,-4.64060,4.20170,4.20170,-1.07980,-1.07980,8.76430,,100.00000,-10081.46000,-10081.46000,-10081.47000,-10081.47000,0.00120,0.95950,93.80290,-13.64510,-13.64510,-12.08820,-13.64510,8.08720,-0.93630,-0.93630
2021-12-31,0.00190,0.00190,3.39030,1.65310,-5.04150,-0.00020,-5.04160,-5.04160,-5.04160,-5.04160,-5.04150,-5.04150,3.03550,3.03550,-0.89980,-0.89980,10.47490,0.00650,,,,,,0.00000,0.01760,5099.26200,-13.12390,-13.12390,-11.87100,-13.12390,9.16110,-2.2762,-2.2762
2021-09-30,0.32850,0.32850,3.15460,1.64490,-4.47100,-0.00020,-4.47120,-4.47120,-4.47120,-4.47120,-4.47100,-4.47100,4.19150,4.19150,-1.07980,-1.07980,16.94020,0.00580,100.00000,-1361.21700,-1361.21700,-1361.26500,-1361.26500,0.00720,1.51030,59.59160,-10.35920,-10.35920,-9.74770,-10.35920,10.29290,1.5749,1.5749
2021-06-30,1.36300,1.36300,2.38240,1.60900,-2.62840,-0.00780,-2.63620,-2.63620,-2.63620,-2.63620,-2.62840,-2.62840,2.04070,2.04070,-1.31970,-1.31970,25.73220,,100.00000,-192.83170,-192.83170,-193.40480,-193.40480,0.02770,2.32370,38.73140,-5.60240,-5.60240,-5.35640,-5.60240,11.23100,-1.6613,-1.6613
2021-03-31,1.40720,1.40720,2.43190,1.60060,-2.62530,-0.01180,-2.63710,-2.63710,-2.63710,-2.63710,-2.62530,-2.62530,1.67600,1.67600,-1.55970,-1.55970,3.30810,0.12380,100.00000,-186.56450,-186.56450,-187.40290,-187.40290,0.11850,4.22860,21.28370,-32.81330,-32.81340,-22.20870,-32.81340,4.79220,-2.34740,-2.34740
2020-12-31,0.17000,0.17000,0.22740,1.14400,-1.20140,-0.00710,-1.20800,-1.20800,-1.20800,-1.20800,-1.20140,-1.20140,1.38140,1.38140,-0.89980,-0.89980,3.13070,0.00430,99.58820,-706.70590,-706.70590,-710.58820,-710.58820,0.01150,,,-12.34620,-12.34620,-8.17170,-12.34620,5.83970,-0.6835,-0.6835
2020-09-30,0.03770,0.03770,0.12060,0.58080,-0.66370,-0.00690,-0.67060,-0.67060,-0.67060,-0.67060,-0.66370,-0.66370,1.36680,1.36680,-0.47990,-0.47990,,,100.00000,-1761.43600,-1761.43600,-1779.72100,-1779.72100,,,,,,,,,0.0556,0.0556
2020-06-30,0.21960,0.21960,0.26320,0.37030,-0.41390,-0.00790,-0.42190,-0.42190,-0.42190,-0.42190,-0.41390,-0.41390,1.36390,1.36390,-0.29990,-0.29990,,,100.00000,-188.50150,-188.50150,-192.12100,-192.12100,,,,,,,,,-0.0021,-0.0021
2020-03-31,0.27080,0.27080,0.28310,0.52770,-0.54000,-0.00740,-0.54740,-0.54740,-0.54740,-0.54740,-0.54000,-0.54000,1.36390,1.36390,-0.41990,-0.41990,,,100.00000,-199.42430,-199.42430,-202.16630,-202.16630,,,,,,,,,-0.18730,-0.18730
2019-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
